"id","u_type","u_value","b_type","b_value","event_no","caption","image","created_at"
1,1,1,3,1,0,,,"2010-06-24 05:44:25 UTC"
2,1,1,3,1,0,,,"2010-06-24 05:44:25 UTC"
3,1,2,3,1,0,,,"2010-06-24 05:44:25 UTC"
4,1,2,3,2,0,,,"2010-06-24 05:44:25 UTC"
5,1,3,3,3,0,,,"2010-06-24 05:44:25 UTC"
6,2,1,4,1,0,,,"2010-06-24 05:44:25 UTC"
7,2,1,4,1,0,,,"2010-06-24 05:44:25 UTC"
8,2,1,4,1,0,,,"2010-06-24 05:44:25 UTC"
9,2,2,4,1,0,,,"2010-06-24 05:44:25 UTC"
10,2,3,4,1,0,,,"2010-06-24 05:44:25 UTC"
11,5,1,1,1,0,,,"2010-06-24 05:44:25 UTC"
12,5,1,2,2,0,,,"2010-06-24 05:44:25 UTC"
13,5,1,1,2,0,,,"2010-06-24 05:44:25 UTC"
14,5,2,2,3,0,,,"2010-06-24 05:44:25 UTC"
15,5,3,4,2,0,,,"2010-06-24 05:44:25 UTC"
16,1,1,2,1,0,,,"2010-06-24 05:44:25 UTC"
17,1,1,2,1,0,,,"2010-06-24 05:44:25 UTC"
18,1,2,2,1,0,,,"2010-06-24 05:44:25 UTC"
19,1,2,2,2,0,,,"2010-06-24 05:44:25 UTC"
20,1,3,2,3,0,,,"2010-06-24 05:44:25 UTC"
21,3,1,4,1,0,,,"2010-06-24 05:44:25 UTC"
22,3,1,4,1,0,,,"2010-06-24 05:44:25 UTC"
23,3,1,4,1,0,,,"2010-06-24 05:44:25 UTC"
24,3,2,4,1,0,,,"2010-06-24 05:44:25 UTC"
25,3,3,4,1,0,,,"2010-06-24 05:44:25 UTC"
26,1,4,5,1,0,,,"2010-06-24 05:44:25 UTC"
27,2,4,5,1,0,,,"2010-06-24 05:44:25 UTC"
28,1,5,5,2,0,,,"2010-06-24 05:44:25 UTC"
29,2,5,5,2,0,,,"2010-06-24 05:44:25 UTC"
30,4,2,5,3,0,,,"2010-06-24 05:44:25 UTC"
31,1,1,3,1,0,,,"2010-06-24 05:44:25 UTC"
32,1,1,3,1,0,,,"2010-06-24 05:44:25 UTC"
33,1,2,3,1,0,,,"2010-06-24 05:44:26 UTC"
34,1,2,3,2,0,,,"2010-06-24 05:44:26 UTC"
35,1,3,3,3,0,,,"2010-06-24 05:44:26 UTC"
36,2,1,4,1,0,,,"2010-06-24 05:44:26 UTC"
37,2,1,4,1,0,,,"2010-06-24 05:44:26 UTC"
38,2,1,4,1,0,,,"2010-06-24 05:44:26 UTC"
39,2,2,4,1,0,,,"2010-06-24 05:44:26 UTC"
40,2,3,4,1,0,,,"2010-06-24 05:44:26 UTC"
41,5,1,1,4,0,,,"2010-06-24 05:44:26 UTC"
42,5,1,2,4,0,,,"2010-06-24 05:44:26 UTC"
43,5,2,1,5,0,,,"2010-06-24 05:44:26 UTC"
44,5,2,2,5,0,,,"2010-06-24 05:44:26 UTC"
45,5,3,4,2,0,,,"2010-06-24 05:44:26 UTC"
46,1,1,2,1,0,,,"2010-06-24 05:44:26 UTC"
47,1,1,2,1,0,,,"2010-06-24 05:44:26 UTC"
48,1,2,2,1,0,,,"2010-06-24 05:44:26 UTC"
49,1,2,2,2,0,,,"2010-06-24 05:44:26 UTC"
50,1,3,2,3,0,,,"2010-06-24 05:44:26 UTC"
51,3,1,4,1,0,,,"2010-06-24 05:44:26 UTC"
52,3,1,4,1,0,,,"2010-06-24 05:44:26 UTC"
53,3,1,4,1,0,,,"2010-06-24 05:44:26 UTC"
54,3,2,4,1,0,,,"2010-06-24 05:44:26 UTC"
55,2,4,2,4,0,,,"2010-06-24 05:44:26 UTC"
56,1,6,1,6,0,,,"2010-06-24 05:44:26 UTC"
57,3,5,3,5,0,,,"2010-06-24 05:44:26 UTC"
58,4,3,4,3,0,,,"2010-06-24 05:44:26 UTC"
59,3,3,5,5,0,,,"2010-06-24 05:44:26 UTC"
60,1,5,2,5,0,,,"2010-06-24 05:44:26 UTC"
61,1,1,1,1,0,"This card can be used as a Sword 1.","card_ev_100.swf","2010-06-24 05:44:26 UTC"
62,1,1,1,1,0,"This card can be used as a Sword 1.","card_ev_100.swf","2010-06-24 05:44:26 UTC"
63,1,1,1,1,0,"This card can be used as a Sword 1.","card_ev_100.swf","2010-06-24 05:44:26 UTC"
64,1,1,1,1,0,"This card can be used as a Sword 1.","card_ev_100.swf","2010-06-24 05:44:26 UTC"
65,1,1,1,1,0,"This card can be used as a Sword 1.","card_ev_100.swf","2010-06-24 05:44:26 UTC"
66,1,1,1,1,0,"This card can be used as a Sword 1.","card_ev_100.swf","2010-06-24 05:44:26 UTC"
67,1,1,1,1,0,"This card can be used as a Sword 1.","card_ev_100.swf","2010-06-24 05:44:26 UTC"
68,1,1,1,1,0,"This card can be used as a Sword 1.","card_ev_100.swf","2010-06-24 05:44:26 UTC"
69,1,1,1,1,0,"This card can be used as a Sword 1.","card_ev_100.swf","2010-06-24 05:44:26 UTC"
70,1,1,1,1,0,"This card can be used as a Sword 1.","card_ev_100.swf","2010-06-24 05:44:26 UTC"
71,1,1,1,1,0,"This card can be used as a Sword 1.","card_ev_100.swf","2010-06-24 05:44:26 UTC"
72,1,1,1,1,0,"This card can be used as a Sword 1.","card_ev_100.swf","2010-06-24 05:44:26 UTC"
73,1,1,1,1,0,"This card can be used as a Sword 1.","card_ev_100.swf","2010-06-24 05:44:26 UTC"
74,1,1,1,1,0,"This card can be used as a Sword 1.","card_ev_100.swf","2010-06-24 05:44:26 UTC"
75,1,1,1,1,0,"This card can be used as a Sword 1.","card_ev_100.swf","2010-06-24 05:44:26 UTC"
76,1,1,1,1,0,"This card can be used as a Sword 1.","card_ev_100.swf","2010-06-24 05:44:26 UTC"
77,1,1,1,1,0,"This card can be used as a Sword 1.","card_ev_100.swf","2010-06-24 05:44:26 UTC"
78,1,1,1,1,0,"This card can be used as a Sword 1.","card_ev_100.swf","2010-06-24 05:44:26 UTC"
79,1,1,1,1,0,"This card can be used as a Sword 1.","card_ev_100.swf","2010-06-24 05:44:26 UTC"
80,1,1,1,1,0,"This card can be used as a Sword 1.","card_ev_100.swf","2010-06-24 05:44:26 UTC"
81,1,1,1,1,0,"This card can be used as a Sword 1.","card_ev_100.swf","2010-06-24 05:44:26 UTC"
82,1,1,1,1,0,"This card can be used as a Sword 1.","card_ev_100.swf","2010-06-24 05:44:26 UTC"
83,1,1,1,1,0,"This card can be used as a Sword 1.","card_ev_100.swf","2010-06-24 05:44:26 UTC"
84,1,1,1,1,0,"This card can be used as a Sword 1.","card_ev_100.swf","2010-06-24 05:44:26 UTC"
85,1,1,1,1,0,"This card can be used as a Sword 1.","card_ev_100.swf","2010-06-24 05:44:26 UTC"
86,1,1,1,1,0,"This card can be used as a Sword 1.","card_ev_100.swf","2010-06-24 05:44:26 UTC"
87,1,1,1,1,0,"This card can be used as a Sword 1.","card_ev_100.swf","2010-06-24 05:44:26 UTC"
88,1,1,1,1,0,"This card can be used as a Sword 1.","card_ev_100.swf","2010-06-24 05:44:26 UTC"
89,1,1,1,1,0,"This card can be used as a Sword 1.","card_ev_100.swf","2010-06-24 05:44:26 UTC"
90,1,1,1,1,0,"This card can be used as a Sword 1.","card_ev_100.swf","2010-06-24 05:44:26 UTC"
91,1,1,1,1,0,"This card can be used as a Sword 1.","card_ev_100.swf","2010-06-24 05:44:26 UTC"
92,1,1,1,1,0,"This card can be used as a Sword 1.","card_ev_100.swf","2010-06-24 05:44:26 UTC"
93,1,1,1,1,0,"This card can be used as a Sword 1.","card_ev_100.swf","2010-06-24 05:44:26 UTC"
94,1,1,1,1,0,"This card can be used as a Sword 1.","card_ev_100.swf","2010-06-24 05:44:26 UTC"
95,1,1,1,1,0,"This card can be used as a Sword 1.","card_ev_100.swf","2010-06-24 05:44:26 UTC"
96,1,1,1,1,0,"This card can be used as a Sword 1.","card_ev_100.swf","2010-06-24 05:44:26 UTC"
97,1,2,1,2,0,"This card can be used as a Sword 2.","card_ev_100.swf","2010-06-24 05:44:26 UTC"
98,1,2,1,2,0,"This card can be used as a Sword 2.","card_ev_100.swf","2010-06-24 05:44:26 UTC"
99,1,2,1,2,0,"This card can be used as a Sword 2.","card_ev_100.swf","2010-06-24 05:44:26 UTC"
100,1,2,1,2,0,"This card can be used as a Sword 2.","card_ev_100.swf","2010-06-24 05:44:26 UTC"
101,1,2,1,2,0,"This card can be used as a Sword 2.","card_ev_100.swf","2010-06-24 05:44:26 UTC"
102,1,2,1,2,0,"This card can be used as a Sword 2.","card_ev_100.swf","2010-06-24 05:44:26 UTC"
103,1,2,1,2,0,"This card can be used as a Sword 2.","card_ev_100.swf","2010-06-24 05:44:26 UTC"
104,1,2,1,2,0,"This card can be used as a Sword 2.","card_ev_100.swf","2010-06-24 05:44:26 UTC"
105,1,2,1,2,0,"This card can be used as a Sword 2.","card_ev_100.swf","2010-06-24 05:44:26 UTC"
106,1,2,1,2,0,"This card can be used as a Sword 2.","card_ev_100.swf","2010-06-24 05:44:26 UTC"
107,1,2,1,2,0,"This card can be used as a Sword 2.","card_ev_100.swf","2010-06-24 05:44:26 UTC"
108,1,2,1,2,0,"This card can be used as a Sword 2.","card_ev_100.swf","2010-06-24 05:44:26 UTC"
109,1,2,1,2,0,"This card can be used as a Sword 2.","card_ev_100.swf","2010-06-24 05:44:26 UTC"
110,1,2,1,2,0,"This card can be used as a Sword 2.","card_ev_100.swf","2010-06-24 05:44:26 UTC"
111,1,2,1,2,0,"This card can be used as a Sword 2.","card_ev_100.swf","2010-06-24 05:44:26 UTC"
112,1,2,1,2,0,"This card can be used as a Sword 2.","card_ev_100.swf","2010-06-24 05:44:26 UTC"
113,1,2,1,2,0,"This card can be used as a Sword 2.","card_ev_100.swf","2010-06-24 05:44:26 UTC"
114,1,2,1,2,0,"This card can be used as a Sword 2.","card_ev_100.swf","2010-06-24 05:44:26 UTC"
115,1,2,1,2,0,"This card can be used as a Sword 2.","card_ev_100.swf","2010-06-24 05:44:26 UTC"
116,1,2,1,2,0,"This card can be used as a Sword 2.","card_ev_100.swf","2010-06-24 05:44:26 UTC"
117,1,2,1,2,0,"This card can be used as a Sword 2.","card_ev_100.swf","2010-06-24 05:44:26 UTC"
118,1,2,1,2,0,"This card can be used as a Sword 2.","card_ev_100.swf","2010-06-24 05:44:26 UTC"
119,1,2,1,2,0,"This card can be used as a Sword 2.","card_ev_100.swf","2010-06-24 05:44:26 UTC"
120,1,2,1,2,0,"This card can be used as a Sword 2.","card_ev_100.swf","2010-06-24 05:44:26 UTC"
121,1,2,1,2,0,"This card can be used as a Sword 2.","card_ev_100.swf","2010-06-24 05:44:26 UTC"
122,1,2,1,2,0,"This card can be used as a Sword 2.","card_ev_100.swf","2010-06-24 05:44:26 UTC"
123,1,2,1,2,0,"This card can be used as a Sword 2.","card_ev_100.swf","2010-06-24 05:44:26 UTC"
124,1,2,1,2,0,"This card can be used as a Sword 2.","card_ev_100.swf","2010-06-24 05:44:26 UTC"
125,1,2,1,2,0,"This card can be used as a Sword 2.","card_ev_100.swf","2010-06-24 05:44:26 UTC"
126,1,2,1,2,0,"This card can be used as a Sword 2.","card_ev_100.swf","2010-06-24 05:44:26 UTC"
127,1,2,1,2,0,"This card can be used as a Sword 2.","card_ev_100.swf","2010-06-24 05:44:26 UTC"
128,1,2,1,2,0,"This card can be used as a Sword 2.","card_ev_100.swf","2010-06-24 05:44:26 UTC"
129,1,2,1,2,0,"This card can be used as a Sword 2.","card_ev_100.swf","2010-06-24 05:44:26 UTC"
130,1,2,1,2,0,"This card can be used as a Sword 2.","card_ev_100.swf","2010-06-24 05:44:26 UTC"
131,1,2,1,2,0,"This card can be used as a Sword 2.","card_ev_100.swf","2010-06-24 05:44:26 UTC"
132,1,2,1,2,0,"This card can be used as a Sword 2.","card_ev_100.swf","2010-06-24 05:44:26 UTC"
133,1,3,1,3,0,"This card can be used as a Sword 3.","card_ev_100.swf","2010-06-24 05:44:26 UTC"
134,1,3,1,3,0,"This card can be used as a Sword 3.","card_ev_100.swf","2010-06-24 05:44:26 UTC"
135,1,3,1,3,0,"This card can be used as a Sword 3.","card_ev_100.swf","2010-06-24 05:44:26 UTC"
136,1,3,1,3,0,"This card can be used as a Sword 3.","card_ev_100.swf","2010-06-24 05:44:26 UTC"
137,1,3,1,3,0,"This card can be used as a Sword 3.","card_ev_100.swf","2010-06-24 05:44:26 UTC"
138,1,3,1,3,0,"This card can be used as a Sword 3.","card_ev_100.swf","2010-06-24 05:44:26 UTC"
139,1,3,1,3,0,"This card can be used as a Sword 3.","card_ev_100.swf","2010-06-24 05:44:26 UTC"
140,1,3,1,3,0,"This card can be used as a Sword 3.","card_ev_100.swf","2010-06-24 05:44:26 UTC"
141,1,3,1,3,0,"This card can be used as a Sword 3.","card_ev_100.swf","2010-06-24 05:44:27 UTC"
142,1,3,1,3,0,"This card can be used as a Sword 3.","card_ev_100.swf","2010-06-24 05:44:27 UTC"
143,1,3,1,3,0,"This card can be used as a Sword 3.","card_ev_100.swf","2010-06-24 05:44:26 UTC"
144,1,3,1,3,0,"This card can be used as a Sword 3.","card_ev_100.swf","2010-06-24 05:44:26 UTC"
145,1,3,1,3,0,"This card can be used as a Sword 3.","card_ev_100.swf","2010-06-24 05:44:26 UTC"
146,1,3,1,3,0,"This card can be used as a Sword 3.","card_ev_100.swf","2010-06-24 05:44:26 UTC"
147,1,3,1,3,0,"This card can be used as a Sword 3.","card_ev_100.swf","2010-06-24 05:44:26 UTC"
148,1,3,1,3,0,"This card can be used as a Sword 3.","card_ev_100.swf","2010-06-24 05:44:26 UTC"
149,1,3,1,3,0,"This card can be used as a Sword 3.","card_ev_100.swf","2010-06-24 05:44:26 UTC"
150,1,3,1,3,0,"This card can be used as a Sword 3.","card_ev_100.swf","2010-06-24 05:44:26 UTC"
151,1,3,1,3,0,"This card can be used as a Sword 3.","card_ev_100.swf","2010-06-24 05:44:27 UTC"
152,1,3,1,3,0,"This card can be used as a Sword 3.","card_ev_100.swf","2010-06-24 05:44:27 UTC"
153,1,3,1,3,0,"This card can be used as a Sword 3.","card_ev_100.swf","2010-06-24 05:44:26 UTC"
154,1,3,1,3,0,"This card can be used as a Sword 3.","card_ev_100.swf","2010-06-24 05:44:26 UTC"
155,1,3,1,3,0,"This card can be used as a Sword 3.","card_ev_100.swf","2010-06-24 05:44:26 UTC"
156,1,3,1,3,0,"This card can be used as a Sword 3.","card_ev_100.swf","2010-06-24 05:44:26 UTC"
157,1,3,1,3,0,"This card can be used as a Sword 3.","card_ev_100.swf","2010-06-24 05:44:26 UTC"
158,1,3,1,3,0,"This card can be used as a Sword 3.","card_ev_100.swf","2010-06-24 05:44:26 UTC"
159,1,3,1,3,0,"This card can be used as a Sword 3.","card_ev_100.swf","2010-06-24 05:44:26 UTC"
160,1,3,1,3,0,"This card can be used as a Sword 3.","card_ev_100.swf","2010-06-24 05:44:26 UTC"
161,1,3,1,3,0,"This card can be used as a Sword 3.","card_ev_100.swf","2010-06-24 05:44:27 UTC"
162,1,3,1,3,0,"This card can be used as a Sword 3.","card_ev_100.swf","2010-06-24 05:44:27 UTC"
163,1,3,1,3,0,"This card can be used as a Sword 3.","card_ev_100.swf","2010-06-24 05:44:26 UTC"
164,1,3,1,3,0,"This card can be used as a Sword 3.","card_ev_100.swf","2010-06-24 05:44:26 UTC"
165,1,3,1,3,0,"This card can be used as a Sword 3.","card_ev_100.swf","2010-06-24 05:44:26 UTC"
166,1,3,1,3,0,"This card can be used as a Sword 3.","card_ev_100.swf","2010-06-24 05:44:26 UTC"
167,1,3,1,3,0,"This card can be used as a Sword 3.","card_ev_100.swf","2010-06-24 05:44:26 UTC"
168,1,3,1,3,0,"This card can be used as a Sword 3.","card_ev_100.swf","2010-06-24 05:44:26 UTC"
169,1,4,1,4,0,"This card can be used as a Sword 4.","card_ev_100.swf","2010-06-24 05:44:27 UTC"
170,1,4,1,4,0,"This card can be used as a Sword 4.","card_ev_100.swf","2010-06-24 05:44:27 UTC"
171,1,4,1,4,0,"This card can be used as a Sword 4.","card_ev_100.swf","2010-06-24 05:44:27 UTC"
172,1,4,1,4,0,"This card can be used as a Sword 4.","card_ev_100.swf","2010-06-24 05:44:27 UTC"
173,1,4,1,4,0,"This card can be used as a Sword 4.","card_ev_100.swf","2010-06-24 05:44:27 UTC"
174,1,4,1,4,0,"This card can be used as a Sword 4.","card_ev_100.swf","2010-06-24 05:44:27 UTC"
175,1,4,1,4,0,"This card can be used as a Sword 4.","card_ev_100.swf","2010-06-24 05:44:27 UTC"
176,1,4,1,4,0,"This card can be used as a Sword 4.","card_ev_100.swf","2010-06-24 05:44:27 UTC"
