"id","content"
1,"Bring it on, if you want to die."
2,"Here it comes, think you're ready?"
3,"Do you really think you can defeat me, Izac?"
4,"Death is not the end... right?"
5,"I'm not afraid of death, at last I'll get some peace."
6,"You know I can't lose. It's just fate."
7,"Have you seen it? That dark world..."
8,"Eternal war, that's what I want!"
9,"Those who live by the sword, die by the sword. That's all there is to it!"
10,"Go ahead kid, draw your sword."
11,"It's judgment time. Don't worry, you'll only suffer a moment."
12,"My blood will cost you."
13,"Why don't we have a quick match, Eva?"
14,"Let's finish everything here."
15,"I know this stink..."
16,"..."
17,"Well, well... Fancy meeting you here, Jead."
18,"I'll show you oblivion."
19,"I have just the word for you, Grunwald. Compassion!"
20,"I'm sorry little girl but I will not let you get in my way."
21,"I have so much to ask you... after this match."
22,"You shall rot in my light."
23,"I like it here more than anywhere else in the world."
24,"I'm owe you a debt. Time to pay it back!"
25,"We're going to come back here, right Eva?"
26,"Calm down! When the time has come, you will know."
27,"Do you honestly know the meaning of [Retribution]?"
28,"I fight for the mission. What is your reason for fighting?"
29,"This is not the end, Evarist."
30,"You will face the darkness... A darkness darker than death."
31,"Well well... I hope this will be a useful experiment."
32,"Show me what you've got!"
33,"Time for some some fun!"
34,"Haven't seen you in a while... Gotten any better?"
35,"We shall have an excellent time together."
36,"It's been a long time but never again. Prepare to die!"
37,"Get way annoying brat!"
38,"I will show no mercy if you stand in my way."
39,"I was looking for you... my dear sister!"
40,"Sprout? Is that you?"
41,"Don't you just love the sweet smell of a cold grave?"
42,"If you dare stand against me, I'll make you sleep under this cold ground forever!"
43,"Bringer of death, it's time for your own."
44,"I'm in quite a hurry, I don't have time to play games with an idiot like you."
45,"It's my pleasure to fight against you."
46,"Situation green. Proceed to eliminate the enemy."
47,"Fate deals you cards, but it's up to you to use them."
48,"Do I need to teach you how to play too?"
49,"Luck flows, just try to go with it."
50,"In any game there is good luck and there is bad luck, but by the end of the game everything is balances."
51,"There are many paths to choose, but you only have one future."
52,"Go away you filthy barbarian!"
53,"I wonder what the entrails of a doll look like."
54,"I will give you a traitor's death."
55,"What's the matter, having another episode?"
56,"This one monitors the whole, there is no one who cannot be seen."
57,"A match? Certainly."
58,"I know it's rude, but please have a match with me, Mrs. Redgrave?"
59,"You are possessed by a chaos demon. You're a fool not to know it."
60,"The fire will burn everything. Everything."
61,"It would be nice if this became a real fight."
