"id","quest_map_id","name","caption","ap","kind","difficulty","rarity","story_no","quest_land_id_0_0","next_0_0","quest_land_id_0_1","next_0_1","quest_land_id_0_2","next_0_2","quest_land_id_1_0","next_1_0","quest_land_id_1_1","next_1_1","quest_land_id_1_2","next_1_2","quest_land_id_2_0","next_2_0","quest_land_id_2_1","next_2_1","quest_land_id_2_2","next_2_2","quest_land_id_3_0","next_3_0","quest_land_id_3_1","next_3_1","quest_land_id_3_2","next_3_2","quest_land_id_4_0","next_4_0","quest_land_id_4_1","next_4_1","quest_land_id_4_2","next_4_2"
1,1,"Giant Bats of the Evening","Huge bats flutter through this valley looking for their nest.",0,0,1,1,0,0,0,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,210,"Swarm of Bats","Huge bats flutter through this valley looking for their nest.",0,0,1,1,0,0,0,204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,"Swarm of Giant Bats","Huge bats flutter through this valley looking for their nest.",1,2,1,1,0,0,0,201,2,0,0,0,0,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2,"Zwerge of the Hill","Zwerge have been known to attack people near this hill far outside town.",0,0,1,1,0,0,0,5,2,0,0,0,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2,"Zwerge's March","Zwerge have been known to attack people near this hill far outside town.",0,0,1,1,0,0,0,201,2,0,0,0,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2,"The Zwerge's Feast","Zwerge have been known to attack people near this hill far outside town.",1,2,1,2,0,0,0,104,2,0,0,0,0,9,2,0,0,0,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,3,"The Bottomless Swamp","When magical energy concentrates at the waterside, rare daemons appear.",1,0,1,1,0,0,0,101,2,0,0,0,0,301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,3,"Midnight Lakeside","When magical energy concentrates at the waterside, rare monsters appear.",1,0,1,1,0,0,0,301,2,0,0,0,0,304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,3,"The Evil Pond","When magical energy concentrates at the waterside, rare monsters appear.",2,2,1,2,1,0,0,101,2,0,0,0,0,201,2,0,0,0,0,310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,4,"Enchanted Pond 1","A pond at the entrance to the Black Forest.",1,0,2,1,0,0,0,1,2,0,0,0,0,13,2,0,0,0,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,4,"Enchanted Pond 2","A pond at the entrance to the Black Forest.",1,0,2,1,0,0,0,104,2,0,0,0,0,14,2,0,0,0,0,301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,4,"Enchanted Pond 3","A pond at the entrance to the Black Forest.",1,0,2,1,0,0,0,310,1,0,0,0,0,0,0,304,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
13,4,"Lure 1","These monsters like to lure people deeper into the forest.",1,0,2,1,0,0,0,201,6,0,0,6,2,201,2,0,0,0,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,4,"Lure 2","These monsters like to lure people deeper into the forest.",1,0,2,1,0,0,0,204,3,0,0,0,0,307,2,10,2,0,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,4,"Lure 3","These monsters like to lure people deeper into the forest.",1,0,2,2,0,0,0,207,5,0,0,13,4,0,0,104,1,101,0,0,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0
16,4,"Flying Hunters 1","These monsters are said to glide through the empty skies.",1,0,2,2,0,0,0,301,6,0,0,22,4,401,2,0,0,104,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,4,"Flying Hunters 2","These monsters are said to glide through the empty skies.",1,0,2,2,0,0,0,304,6,0,0,1,4,404,2,0,0,107,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,4,"Flying Hunters 3","These monsters are said to glide through the empty skies.",1,0,2,2,0,0,0,307,7,0,0,1,2,10,2,304,2,0,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,4,"Manhunters 1","These animals hunt human flesh.",1,0,2,2,0,0,0,401,2,0,0,0,0,501,2,0,0,0,0,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,4,"Manhunters 2","These animals hunt human flesh.",1,0,2,3,0,0,0,404,7,0,0,201,4,2,2,204,2,210,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,4,"Manhunters 3","These animals hunt human flesh.",1,0,2,3,0,0,0,401,5,0,0,207,2,0,0,6,2,0,0,5,5,0,0,401,0,0,0,310,0,0,0,0,0,0,0
22,4,"Wandering Beasts 1","These beasts roam in packs to protect the Black Forest.",1,0,2,3,0,0,0,101,6,0,0,9,2,801,2,0,0,0,0,204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,4,"Wandering Beasts 2","These beasts roam in packs to protect the Black Forest.",1,0,2,3,0,0,0,101,6,0,0,13,6,801,6,0,0,104,0,204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,4,"Wandering Beasts 3","These beasts roam in packs to protect the Black Forest.",1,0,2,3,0,0,0,101,3,0,0,0,0,801,3,801,3,0,0,804,0,201,0,0,0,0,0,0,0,0,0,0,0,0,0
25,4,"The Scent of Flowers 1","Those who smell these flowers become confused and easy prey.",1,0,2,4,0,0,0,204,6,0,0,10,6,104,6,0,0,101,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,4,"The Scent of Flowers 2","Those who smell these flowers become confused and easy prey.",1,0,2,4,0,0,0,207,5,0,0,1,2,0,0,107,2,0,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,4,"The Scent of Flowers 3","Those who smell these flowers become confused and easy prey.",1,0,2,4,0,0,0,201,7,0,0,104,2,104,2,404,2,0,0,204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,4,"Subhuman Colony 1","They say that a colony of subhumans dwells deep in the forest.",1,0,2,4,0,0,0,801,7,0,0,1,2,104,2,204,1,0,0,5,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0
29,4,"Subhuman Colony 2","They say that a colony of subhumans dwells deep in the forest.",1,0,2,4,0,0,0,807,3,0,0,0,0,104,6,401,6,5,4,103,4,0,0,104,0,0,0,0,0,0,0,0,0,0,0
30,4,"Subhuman Colony 3","They say that a colony of subhumans dwells deep in the forest.",1,0,2,5,0,0,0,804,2,0,0,0,0,104,5,0,0,10001,0,0,0,404,0,0,0,0,0,0,0,0,0,0,0,0,0
31,4,"Purple Swamp 1","A purple swamp where monsters are said to spawn.",1,0,2,5,0,104,6,0,0,0,0,301,5,104,5,0,0,10011,0,0,0,407,0,0,0,0,0,0,0,0,0,0,0,0,0
32,4,"Purple Swamp 2","A purple swamp where monsters are said to spawn.",1,0,2,5,0,0,0,10,5,0,0,304,4,0,0,104,1,10021,2,0,0,6,2,0,0,104,0,0,0,0,0,0,0,0,0
33,4,"Purple Swamp 3","A purple swamp where monsters are said to spawn.",1,0,2,5,0,0,0,0,0,301,3,0,0,104,3,307,3,0,0,10031,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0
34,4,"Treasure Bush 1","This map harbors hidden treasure!",1,0,0,8,0,0,0,1,7,0,0,6,6,14,6,2,6,8,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,4,"Treasure Bush 2","This map harbors hidden treasure!",1,0,0,9,0,0,0,1,2,0,0,0,0,8,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,4,"Treasure Bush 3","This map harbors hidden treasure!",1,0,0,10,0,0,0,1,3,0,0,0,0,17,6,18,6,8,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,4,"Ruler of the Black Forest 1","Defeat the ruler of the forest ruler and his servants!",2,2,4,5,0,0,0,101,7,0,0,10001,4,6,2,104,1,104,2,304,2,201,2,0,0,1005,0,0,0,0,0,0,0,0,0
38,4,"Ruler of the Black Forest 2","Defeat the ruler of the forest ruler and his servants!",2,2,4,6,0,0,0,201,7,0,0,10001,2,5,2,104,1,0,0,304,2,501,2,0,0,1008,0,0,0,0,0,0,0,0,0
