"id","lot_kind","article_kind","article_id","order","rarity","visible","image_url","description","num"
1,1,0,54,517,5,0,,"54 Bag of Precious Stones (Green)",1
2,1,0,55,516,5,0,,"55 Bag of Precious Stones (Blue)",1
3,1,0,10,515,5,0,,"10 Copy Ticket",1
4,1,0,3,514,5,0,,"3 Witches' Potion *3",3
5,1,0,8,513,5,0,,"8 Skip Star *3",3
6,1,0,21,512,5,0,,"21 Morpheus' Door",1
7,1,0,27,511,5,0,,"27 Diary of a Doll",1
8,1,0,37,510,5,0,,"37 Closet of Mysteries",1
9,1,4,303,509,5,0,,"303 Marseus L3",1
10,1,4,323,508,5,0,,"323 Luka L3",1
11,1,4,333,507,5,0,,"333 Stacia L3",1
12,1,4,343,506,5,0,,"343 Voland L3",1
13,1,4,353,505,5,0,,"353 C.C. L3",1
14,1,4,363,504,5,0,,"363 Cobb L3",1
15,1,4,373,503,5,0,,"373 Evelyn L3",1
16,1,4,393,502,5,0,,"393 Karenberg L3",1
17,1,4,403,501,5,0,,"403 Nenem L3",1
18,1,4,413,500,5,0,,"413 Konrad L3",1
19,1,4,603,411,4,0,,"603 Alicetaria L3",1
20,1,4,613,410,4,0,,"613 Hugo L3",1
21,1,4,623,409,4,0,,"623 Ariane L3",1
22,1,4,633,408,4,0,,"633 Gregor L3",1
23,1,4,643,407,4,0,,"643 Leta L3",1
24,1,4,653,406,4,0,,"653 Epsilon L3",1
25,1,4,663,405,4,0,,"663 Paulette L3",1
26,1,4,673,404,4,0,,"673 Juhani L3",1
27,1,4,683,403,4,0,,"683 Noella L3",1
28,1,4,693,402,4,0,,"693 Raul L3",1
29,1,4,703,401,4,0,,"703 Jamie L3",1
30,1,4,713,400,4,0,,"713 Servaas L3",1
31,1,1,45,304,3,0,,"45 Amethyst dress",1
32,1,1,46,303,3,0,,"46 Blue Dress",1
33,1,1,47,302,3,0,,"47 Ruby Dress",1
34,1,2,6,301,3,0,,"6 Sword 6",1
35,1,2,14,300,3,0,,"14 Gun 6",1
36,1,4,723,200,2,0,,"723 Veronica L3",1
37,1,4,606,102,1,0,,"606 Alicetaria R1",1
38,1,4,516,101,1,0,,"516 Linnaeus R1",1
39,1,4,237,100,1,0,,"237 Riesz R2",1
40,0,1,392,507,5,0,,"392 Ada Doll",1
41,0,1,394,506,5,0,,"394 Luka Doll",1
42,0,1,702,505,5,0,,"702 Paulette Doll ",1
43,0,1,426,504,5,0,,"426 Belinda Stacking Doll",1
44,0,1,701,503,5,0,,"701 Jamie Stacking Doll",1
45,0,0,3,502,5,0,,"3 Witches' Potion",1
46,0,0,24,501,5,0,,"24 Demon's Compass",1
47,0,0,8,500,5,0,,"8 Skip Star",1
48,0,1,48,415,4,0,,"48　Hair Ribbon",1
49,0,1,53,414,4,0,,"53　Marine Ribbon",1
50,0,1,54,413,4,0,,"54　Obsidian Ribbon",1
51,0,0,7,412,4,0,,"7 White Heath 5 *2",2
52,0,0,4,411,4,0,,"4 Lucky Four-Leaf Clover *2",2
53,0,0,12,410,4,0,,"12 Greater Sands of Time *2",2
54,0,4,181,409,4,0,,"181 Rosso L1",1
55,0,4,191,408,4,0,,"191 Ada L1",1
56,0,4,211,407,4,0,,"211 Salgado L1",1
57,0,4,221,406,4,0,,"221 Redgrave L1",1
