"id","name","price","description","rm_item_type","item_id","num","order","state","image_url","tab","extra_id","view_frame","sale_type","deck_image_url","usd"
1,"Witch's Secret Potion (1)",1,"A mysterious concoction which restores full AP.",0,3,1,3,0,"item_id003.png",11,0,0,0,,1
2,"Witch's Secret Potion (10)",7.5,"A mysterious concoction which restores full AP.",0,3,10,4,0,"item_id003_.png",11,0,0,0,,7.5
3,"Lucky Four-Leaf Clover (1)",0.5,"Reroll the dice in the bonus game.",0,4,1,8,0,"item_id004.png",11,0,0,0,,0.5
4,"Lucky Four-Leaf Clover (10)",4,"Reroll the dice in the bonus game.",0,4,10,9,0,"item_id004_.png",11,0,0,0,,4
5,"White Heath 5 (1)",0.6,"If you rolled within 5 points of the target, this item lets you roll again.",0,7,1,10,0,"item_id007.png",11,0,0,0,,0.6
6,"White Heath 5 (10)",5,"If you rolled within 5 points of the target, this item lets you roll again.",0,7,10,11,0,"item_id007_.png ",11,0,0,0,,5
7,"Skip Star",1,"Complete the bonus game.",0,8,1,12,0,"item_id008.png",11,0,0,0,,1
8,"Skip Star (10)",7.5,"Complete the bonus game.",0,8,10,13,0,"item_id008_.png",11,0,0,0,,7.5
9,"Greater Sands of Time (1)",0.6,"You will find all the quests you are searching for with this item.",0,12,1,14,0,"item_id012.png",11,0,0,0,,0.6
10,"Greater Sands of Time (10)",5,"You will find all the quests you are searching for with this item.",0,12,10,15,0,"item_id012_.png",11,0,0,0,,5
11,"Elixir (1)",0.3,"Fully recover a mid-quest character's HP.",0,17,1,16,0,"item_id013.png",11,0,0,0,,0.3
12,"Elixir (10)",2.5,"Fully recover a mid-quest character's HP.",0,17,10,17,0,"item_id013_.png",11,0,0,0,,2.5
13,"Träumerei's Portal",2,"Adds 10 to your quest's rate of progression.",0,22,1,18,0,"item_id022.png",11,0,0,0,,2
14,"Daemon Slayer's Word (1)",7.5,"Advance 1 quest area.",0,23,1,19,0,"item_id024.png",11,0,0,0,,7.5
15,"Ghost Compass (1)",1.5,"If you achieve the requires progression level, this area's boss quest will appear.",0,24,1,20,0,"item_id023.png",11,0,0,0,,1.5
16,"ExShadowLand Pass 1 (5)",2,"Find Shadow Land's hidden area. (0 minutes)",0,31,5,21,0,"item_id031_5.png ",11,0,0,0,,2
17,"ExShadowLand Pass 2 (5)",3.5,"Find Shadow Land's hidden area. (2 hours)",0,32,5,22,0,"item_id032_5.png",11,0,0,0,,3.5
18,"ExShadowLand Pass 3 (5)",5,"Find Shadow Land's hidden area. (3 days)",0,33,5,23,0,"item_id033_5.png",11,0,0,0,,5
19,"Rare Card Ticket (10)",6.5,"Lottery ticket (10).",0,9,10,0,0,"item_id009_10.png",11,0,0,0,,6.5
20,"Rare Card Ticket (30 + 4 + α)",18,"Lottery ticket (30 + 4), Seal of Hades (1)",0,9,34,1,1,"item_id009_30.png",11,78,0,0,,18
21,"Rare Card Ticket (50 + 8 + α)",30,"Lottery ticket (50 + 8), Seal of Hades (2)",0,9,58,2,1,"item_id009_50.png",11,79,0,0,,30
22,"ExMoonLand Pass 1 (5)",2.5,"Find Moon Land's hidden area. (0 minutes)",0,34,5,24,0,"item_id034_5.png ",11,0,0,0,,2.5
23,"ExMoonLand Pass 2 (5)",4,"Find Moon Land's hidden area. (2 hours)",0,35,5,25,0,"item_id035_5.png",11,0,0,0,,4
24,"ExMoonLand Pass 3 (5)",5.5,"Find Moon Land's hidden area. (3 days)",0,36,5,26,0,"item_id036_5.png",11,0,0,0,,5.5
25,"Memory Fragment (1)",1.5,"A fragment of memory packed with one's life's works.",4,10006,1,0,0,"chara_id10006.png",11,0,0,0,,1.5
26,"Memory Fragment (12)",15,"A fragment of memory packed with one's life's works.",4,10006,12,1,0,"chara_id10006_12.png",11,0,0,0,,15
27,"Time Fragment (1)",2,"A fragment of time itself, necessary to reverse the flow of a moment.",4,10007,1,2,0,"chara_id10007.png",11,0,0,0,,2
28,"Time Fragment (12)",20,"A fragment of time itself, necessary to reverse the flow of a moment.",4,10007,12,3,0,"chara_id10007_12.png",11,0,0,0,,20
29,"Soul Fragment (1)",2.5,"A fragment of a lost soul.",4,10008,1,4,0,"chara_id10008.png",11,0,0,0,,2.5
30,"Soul Fragment (12)",25,"A fragment of a lost soul.",4,10008,12,5,0,"chara_id10008_12.png",11,0,0,0,,25
31,"Settler's Bracelet I",2,"Allows you to search for 1 additional quest simultaneously. Effective for 30 days.",0,9,1,3,0,"item_id013.png",11,0,0,0,,2
32,"Settler's Bracelet II",3.5,"Allows you to search for 2 additional quests simultaneously. Effective for 30 days.",0,9,1,4,0,"item_id013.png",11,0,0,0,,3.5
33,"Settler's Bracelet III",4.5,"Allows you to search for 3 additional quests simultaneously. Effective for 30 days.",0,9,1,5,0,"item_id013.png",11,0,0,0,,4.5
