"id","quest_map_id","name","caption","ap","kind","difficulty","rarity","story_no","quest_land_id_0_0","next_0_0","quest_land_id_0_1","next_0_1","quest_land_id_0_2","next_0_2","quest_land_id_1_0","next_1_0","quest_land_id_1_1","next_1_1","quest_land_id_1_2","next_1_2","quest_land_id_2_0","next_2_0","quest_land_id_2_1","next_2_1","quest_land_id_2_2","next_2_2","quest_land_id_3_0","next_3_0","quest_land_id_3_1","next_3_1","quest_land_id_3_2","next_3_2","quest_land_id_4_0","next_4_0","quest_land_id_4_1","next_4_1","quest_land_id_4_2","next_4_2"
1,1,"Enorme Chauve-souris nocturne","D'énormes Chauves-souris tournoient dans la vallée à la recherche de leur nid.",0,0,1,1,0,0,0,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,210,"Chauves-souris","D'énormes Chauves-souris tournoient dans la vallée à la recherche de leur nid.",0,0,1,1,0,0,0,204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,"Enormes Chauves-souris ","D'énormes Chauves-souris tournoient dans la vallée à la recherche de leur nid.",1,2,1,1,0,0,0,201,2,0,0,0,0,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2,"Nains sur la Colline","On dit que des Nains attaquent les passants sur cette colline solitaire.",0,0,1,1,0,0,0,5,2,0,0,0,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2,"Procession de Nains","On dit que des Nains attaquent les passants sur cette colline solitaire.",0,0,1,1,0,0,0,201,2,0,0,0,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2,"Fête des Nains","On dit que des Nains attaquent les passants sur cette colline solitaire.",1,2,1,2,0,0,0,104,2,0,0,0,0,9,2,0,0,0,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,3,"Marais sans Fond","D'étranges démons apparaissent dans ces marais ensorcelés. ",1,0,1,1,0,0,0,101,2,0,0,0,0,301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,3,"Bord du Lac de Minuit","D'étranges démons apparaissent dans ces marais ensorcelés. ",1,0,1,1,0,0,0,301,2,0,0,0,0,304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,3,"Etang maléfique","D'étranges démons apparaissent dans ces marais ensorcelés. ",2,2,1,2,1,0,0,101,2,0,0,0,0,201,2,0,0,0,0,310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,4,"Etang enchanté 1","Etang à l'entrée de la Forêt Noire.",1,0,2,1,0,0,0,1,2,0,0,0,0,13,2,0,0,0,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,4,"Etang enchanté 2","Etang à l'entrée de la Forêt Noire.",1,0,2,1,0,0,0,104,2,0,0,0,0,14,2,0,0,0,0,301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,4,"Etang enchanté 3","Etang à l'entrée de la Forêt Noire.",1,0,2,1,0,0,0,310,1,0,0,0,0,0,0,304,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
