"id","name","price","description","rm_item_type","item_id","num","order","state","image_url","tab","extra_id","view_frame","sale_type","deck_image_url","usd"
1,"Potion de Sorcière * 1",1,"Votre Avatar récupère tous ses AP",0,3,1,3,0,"item_id003.png",11,0,0,0,,1
2,"Potion de Sorcière * 10",7.5,"Votre Avatar récupère tous ses AP",0,3,10,4,0,"item_id003_.png",11,0,0,0,,7.5
3,"Trèfle * 1",0.5,"Vous bénéficiez d'un nouvel essai pour lancer les Dés",0,4,1,8,0,"item_id004.png",11,0,0,0,,0.5
4,"Trèfle * 10",4,"Vous bénéficiez d'un nouvel essai pour lancer les Dés",0,4,10,9,0,"item_id004_.png",11,0,0,0,,4
5,"Landes Brumeuses 5",0.6,"Si le total des Dés est de moins de [5], vous pourrez sauter le jeu bonus",0,7,1,10,0,"item_id007.png",11,0,0,0,,0.6
6,"Landes Brumeuses 5 * 10",5,"Si le total des Dés est de moins de [5], vous pourrez sauter le jeu bonus",0,7,10,11,0,"item_id007_.png ",11,0,0,0,,5
7,"Skip Star",1,"Possibilité de sauter le jeu bonus",0,8,1,12,0,"item_id008.png",11,0,0,0,,1
8,"Skip Star * 10",7.5,"Possibilité de sauter le jeu bonus",0,8,10,13,0,"item_id008_.png",11,0,0,0,,7.5
9,"Grand Saut Temporel * 1",0.6,"Obtenir des Quêtes de suite",0,12,1,14,0,"item_id012.png",11,0,0,0,,0.6
10,"Grand Saut Temporel * 10",5,"Obtenir des Quêtes de suite",0,12,10,15,0,"item_id012_.png",11,0,0,0,,5
11,"Elixir * 1",0.3,"Récupérer tous vos HP durant la Quête",0,17,1,16,0,"item_id013.png",11,0,0,0,,0.3
12,"Elixir * 10",2.5,"Récupérer tous vos HP durant la Quête",0,17,10,17,0,"item_id013_.png",11,0,0,0,,2.5
13,"Porte de Träumerei ",2,"Votre niveau d'achèvement de la Quête est augmenté de 10.",0,22,1,18,0,"item_id022.png",11,0,0,0,,2
