"id","kind","cond","items","prerequisite","exclusion","loop","caption","success_cond","explanation","event_start_at","event_end_at"
1,0,1,"3/9/1/0",0,,0,"Avatar Baru!",0,,"2011-09-14 05:31:00 UTC",
2,0,2,"3/9/1/0",1,,0,"Avatar mencapai LV 3.",3,,"2011-09-14 05:31:00 UTC",
3,0,3,"3/9/1/0",2,,0,"Avatar mencapai LV 5.",5,,"2011-09-14 05:31:00 UTC",
4,0,4,"3/9/1/0",3,,0,"Avatar mencapai LV 10.",10,,"2011-09-14 05:31:00 UTC",
5,0,5,"3/9/1/0",4,,0,"Avatar mencapai LV 15.",15,,"2011-09-14 05:31:00 UTC",
6,0,6,"3/9/1/0",5,,0,"Avatar mencapai LV 20.",20,,"2011-09-14 05:31:00 UTC",
7,0,7,"3/9/2/0",6,,0,"Avatar mencapai LV 30.",30,,"2011-09-14 05:31:00 UTC",
8,0,8,"3/9/2/0",7,,0,"Avatar mencapai LV 40.",40,,"2011-09-14 05:31:00 UTC",
9,0,9,"3/9/2/0",8,,0,"Avatar mencapai LV 50.",50,,"2011-09-14 05:31:00 UTC",
10,0,10,"3/9/2/0",9,,0,"Avatar mencapai LV 60.",60,,"2011-09-14 05:31:00 UTC",
11,0,11,"3/9/3/0",10,,0,"Avatar mencapai LV 70.",70,,"2011-09-14 05:31:00 UTC",
12,0,12,"3/9/3/0",11,,0,"Avatar mencapai LV 80.",80,,"2011-09-14 05:31:00 UTC",
13,0,13,"3/9/3/0",12,,0,"Avatar mencapai LV 90.",90,,"2011-09-14 05:31:00 UTC",
14,0,14,"3/9/5/0",13,,0,"Avatar mencapai LV 100.",100,,"2011-09-14 05:31:00 UTC",
15,0,15,"3/9/5/0",14,,0,"Avatar mencapai LV 110.",110,,"2011-09-14 05:31:00 UTC",
16,0,16,"3/9/5/0",15,,0,"Avatar mencapai LV 120.",120,,"2011-09-14 05:31:00 UTC",
17,0,17,"3/9/5/0",16,,0,"Avatar mencapai LV 130.",130,,"2011-09-14 05:31:00 UTC",
18,0,18,"3/9/5/0",17,,0,"Avatar mencapai LV 140.",140,,"2011-09-14 05:31:00 UTC",
19,0,19,"3/9/10/0",18,,0,"Avatar mencapai LV 150.",150,,"2011-09-14 05:31:00 UTC",
20,1,20,"3/8/1/0",0,,0,"Menang Duel!",1,,"2011-09-14 05:31:00 UTC",
21,1,21,"3/8/1/0",20,,0,"Menang 10 Duel.",10,,"2011-09-14 05:31:00 UTC",
22,1,22,"3/8/1/0",21,,0,"Menang 30 Duel.",30,,"2011-09-14 05:31:00 UTC",
23,1,23,"3/8/1/0",22,,0,"Menang 50 Duel.",50,,"2011-09-14 05:31:00 UTC",
24,1,24,"4/80/1",23,,0,"Menang 100 Duel.",100,,"2011-09-14 05:31:00 UTC",
25,1,25,"3/8/2/0",24,,0,"Menang 250 Duel.",250,,"2011-09-14 05:31:00 UTC",
26,1,26,"4/81/1",25,,0,"Menang 500 Duel.",500,,"2011-09-14 05:31:00 UTC",
27,1,27,"3/8/2/0",26,,0,"Menang 750 Duel.",750,,"2011-09-14 05:31:00 UTC",
28,1,28,"4/82/1",27,,0,"Menang 1000 Duel.",1000,,"2011-09-14 05:31:00 UTC",
29,1,29,"3/8/4/0",28,,0,"Menang 1500 Duel.",1500,,"2011-09-14 05:31:00 UTC",
30,1,30,"3/8/5/0",29,,0,"Menang 2000 Duel.",2000,,"2011-09-14 05:31:00 UTC",
31,2,31,"3/3/1/0+5/0/3000/0",0,,0,"Menyelesaikan peta pertama.",0,"Menyelesaikan [Witch Valley].","2011-09-14 05:31:00 UTC",
32,2,32,"4/86/1",31,,0,"Menyelesaikan HexRealm.",0,"Menyelesaikan [HexRealm].","2011-09-14 05:31:00 UTC",
33,2,33,"4/87/1",32,,0,"Menyelesaikan ShadowLand.",0,"Menyelesaikan [ShadowLand].","2011-09-14 05:31:00 UTC",
34,2,34,"4/88/1",33,,0,"Menyelesaikan MoonLand.",0,"Menyelesaikan [MoonLand].","2011-09-14 05:31:00 UTC",
35,2,35,"4/138/1",34,,0,"Menyelesaikan Anemonea.",0,"Menyelesaikan [Anemonea].","2011-09-14 05:31:00 UTC",
36,2,36,"4/230/1+4/231/1",35,,0,"Menyelesaikan Angelland.",0,"Menyelesaikan [Angelland].","2011-09-14 05:31:00 UTC",
37,3,37,"3/3/1/0",0,,0,"Mengirimkan 1 Invite.",1,,"2011-09-14 05:31:00 UTC",
38,3,38,"3/9/1/0",37,,0,"Mengirimkan 5 Invite.",5,,"2011-09-14 05:31:00 UTC",
39,3,39,"3/27/1",38,,0,"Mengirimkan 10 Invite.",10,,"2011-09-14 05:31:00 UTC",
40,3,40,"3/9/3/0",39,,0,"Mengirimkan 30 Invite.",30,,"2011-09-14 05:31:00 UTC",
41,3,41,"3/28/1",40,,0,"Mengirimkan 50 Invite.",50,,"2011-09-14 05:31:00 UTC",
42,3,42,"3/9/5/0",41,,0,"Mengirimkan 100 Invite.",100,,"2011-09-14 05:31:00 UTC",
43,4,43,"4/96/1",0,,0,"Mengumpulkan 5 kepingan Anniversary Coin.",0,,"2011-09-14 05:31:00 UTC","2011-11-02 03:00:00 UTC"
44,4,44,"4/95/1",43,,0,"Mengumpulkan 10 kepingan Anniversary Coin.",0,,"2011-09-14 05:31:00 UTC","2011-11-02 03:00:00 UTC"
45,4,45,"4/94/1",44,,0,"Mengumpulkan 15 kepingan Anniversary Coin.",0,,"2011-09-14 05:31:00 UTC","2011-11-02 03:00:00 UTC"
