"id","lot_kind","article_kind","article_id","order","rarity","visible","image_url","description","num"
1,1,1,51,509,5,0,,"白色夏裝",1
2,1,1,52,508,5,0,,"黑色夏裝",1
3,1,0,54,507,5,0,,"綠之寶石袋",1
4,1,0,55,506,5,0,,"青之寶石袋",1
5,1,0,3,505,5,0,,"魔女秘藥x3",3
6,1,0,8,504,5,0,,"跳越星x3",3
7,1,0,21,503,5,0,,"墨菲斯之門",1
8,1,0,27,502,5,0,,"人偶的日記本",1
9,1,0,37,501,5,0,,"神秘衣櫃",1
10,1,0,10,500,5,0,,"複製券",1
11,1,4,53,413,4,0,,"庫勒尼西L3",1
12,1,4,63,412,4,0,,"傑多L3",1
13,1,4,73,411,4,0,,"阿奇波爾多L3",1
14,1,4,83,410,4,0,,"馬庫斯L3",1
15,1,4,93,409,4,0,,"布列依斯L3",1
16,1,4,103,408,4,0,,"雪莉L3",1
17,1,4,113,407,4,0,,"艾茵L3",1
18,1,4,123,406,4,0,,"伯恩哈德L3",1
19,1,4,133,405,4,0,,"弗雷特里西L3",1
20,1,4,143,404,4,0,,"瑪格莉特L3",1
21,1,2,5,403,4,0,,"劍5卡",1
22,1,2,13,402,4,0,,"槍5卡",1
23,1,2,6,401,4,0,,"劍6卡",1
24,1,2,14,400,4,0,,"槍6卡",1
25,1,4,263,308,3,0,,"佛羅倫斯L3",1
26,1,4,273,307,3,0,,"帕茉L3",1
27,1,4,373,306,3,0,,"伊芙琳L3",1
28,1,4,393,305,3,0,,"凱倫貝克L3",1
29,1,4,403,304,3,0,,"音音夢L3",1
30,1,4,413,303,3,0,,"康拉德L3",1
31,1,4,423,302,3,0,,"碧姬媞L3",1
32,1,4,433,301,3,0,,"庫恩L3",1
33,1,4,443,300,3,0,,"夏洛特L3",1
34,1,4,453,200,2,0,,"泰瑞爾L3",1
35,1,4,216,102,1,0,,"薩爾卡多 R1",1
36,1,4,226,101,1,0,,"蕾格烈芙 R1",1
37,1,4,237,100,1,0,,"里斯 R2",1
38,0,1,284,511,5,0,,"帕茉的手提公仔",1
39,0,1,285,510,5,0,,"碧姬媞的手提公仔",1
40,0,1,44,507,5,0,,"娃娃的鞋子",1
41,0,1,55,506,5,0,,"海藍涼鞋",1
42,0,1,56,505,5,0,,"黑曜涼鞋",1
43,0,0,8,502,5,0,,"跳越星",1
44,0,0,3,501,5,0,,"魔女秘藥",1
45,0,0,24,500,5,0,,"妖魔的指南針",1
46,0,1,48,405,4,0,,"髮帶",1
47,0,1,53,404,4,0,,"海藍緞帶",1
48,0,1,54,403,4,0,,"黑曜緞帶",1
49,0,0,7,402,4,0,,"白色石楠5 x2",2
50,0,0,4,401,4,0,,"幸運四葉草x2",2
51,0,0,12,400,4,0,,"超時空沙漏x2",2
52,0,3,11,312,3,0,,"詛咒短劍",1
53,0,3,12,311,3,0,,"詛咒彈藥",1
54,0,3,13,310,3,0,,"詛咒戒指",1
55,0,4,51,309,3,0,,"庫勒尼西L1",1
56,0,4,61,308,3,0,,"傑多L1",1
57,0,4,71,307,3,0,,"阿奇波爾多L1",1
58,0,4,81,306,3,0,,"馬庫斯L1",1
59,0,4,91,305,3,0,,"布列依斯L1",1
60,0,4,101,304,3,0,,"雪莉L1",1
61,0,4,111,303,3,0,,"艾茵L1",1
62,0,4,121,302,3,0,,"伯恩哈德L1",1
63,0,4,131,301,3,0,,"弗雷特里西L1",1
64,0,4,141,300,3,0,,"瑪格莉特L1",1
65,0,4,261,208,2,0,,"佛羅倫斯L1",1
66,0,4,271,207,2,0,,"帕茉L1",1
67,0,4,371,206,2,0,,"伊芙琳L1",1
68,0,4,391,205,2,0,,"凱倫貝克L1",1
69,0,4,401,204,2,0,,"音音夢L1",1
70,0,4,411,203,2,0,,"康拉德L1",1
71,0,4,421,202,2,0,,"碧姬媞L1",1
72,0,4,431,201,2,0,,"庫恩L1",1
73,0,4,441,200,2,0,,"夏洛特L1",1
74,0,4,451,103,1,0,,"泰瑞爾L1",1
75,0,3,17,102,1,0,,"黑的槍劍",1
76,0,3,19,101,1,0,,"黑的短劍",1
77,0,3,21,100,1,0,,"黑的彈藥",1
78,2,0,55,505,5,0,,"青之寶石袋",1
79,2,0,56,504,5,0,,"赤之寶石袋",1
80,2,0,42,503,5,0,,"魔女衣櫃",1
81,2,0,10,502,5,0,,"複製券",1
82,2,0,8,501,5,0,,"跳越星x5",5
83,2,0,12,500,5,0,,"超時空沙漏x7",7
84,2,2,63,410,4,0,,"劍3·移動1卡",1
85,2,2,64,409,4,0,,"劍4·移動1卡",1
86,2,2,65,408,4,0,,"劍5·移動1卡",1
87,2,2,66,407,4,0,,"劍3·盾1卡",1
88,2,2,72,406,4,0,,"槍3·移動1卡",1
89,2,2,73,405,4,0,,"槍4·移動1卡",1
90,2,2,74,404,4,0,,"槍5·移動1卡",1
91,2,2,75,403,4,0,,"槍3·盾1卡",1
92,2,2,81,402,4,0,,"移動1·特殊1卡",1
93,2,2,82,401,4,0,,"移動2·特殊2卡",1
94,2,2,83,400,4,0,,"移動3·特殊3卡",1
95,2,3,113,314,3,0,,"調整政府型",1
96,2,3,116,313,3,0,,"機械斧槍",1
97,2,3,26,312,3,0,,"永恆之棘",1
98,2,3,29,311,3,0,,"迅牙",1
99,2,3,32,310,3,0,,"血腥之尾",1
100,2,3,35,309,3,0,,"魯比亞那之劍",1
101,2,4,296,308,3,0,,"布朗寧 R1",1
102,2,4,306,307,3,0,,"瑪爾瑟斯 R1",1
103,2,4,6,306,3,0,,"艾伯李斯特 R1",1
104,2,4,16,305,3,0,,"艾依查庫 R1",1
105,2,4,26,304,3,0,,"古魯瓦爾多 R1",1
106,2,4,36,303,3,0,,"阿貝爾 R1",1
