"id","name","price","description","rm_item_type","item_id","num","order","state","image_url","tab","extra_id","view_frame","sale_type","deck_image_url","twd","hkd","usd"
1,"Magic Potion",30,"Mengisi penuh AP.",0,3,1,3,0,"item_id003.png",0,0,0,0,,30,7.83,1
2,"Magic Potion x10",225,"Mengisi penuh AP.",0,3,10,4,0,"item_id003_.png",0,0,0,0,,225,58.76,7.5
3,"Lucky Clover",15,"Melempar ulang dadu di Bonus Game.",0,4,1,8,0,"item_id004.png",2,0,0,0,,15,3.92,0.5
4,"Lucky Clover x10",120,"Melempar ulang dadu di Bonus Game.",0,4,10,9,0,"item_id004_.png",2,0,0,0,,120,31.34,4
5,"White Heath 5",18,"Melanjutkan bonus game jika jumlah dadu dibawah 5.",0,7,1,10,0,"item_id007.png",2,0,0,0,,18,4.7,0.6
6,"White Heath 5 x10",150,"Melanjutkan bonus game jika jumlah dadu dibawah 5.",0,7,10,11,0,"item_id007_.png ",2,0,0,0,,150,39.17,5
7,"Skip Star",30,"Kemampuan untuk melewati bonus game.",0,8,1,12,0,"item_id008.png",9,0,0,0,,30,7.83,1
8,"Skip Star x10",225,"Kemampuan untuk melewati bonus game.",0,8,10,13,0,"item_id008_.png",9,0,0,0,,225,58.76,7.5
9,"Hourglass",18,"Menyelesaikan pencarian Quest.",0,12,1,14,0,"item_id012.png",1,0,0,0,,18,4.7,0.6
10,"Hourglass x10",150,"Menyelesaikan pencarian Quest.",0,12,10,15,0,"item_id012_.png",1,0,0,0,,150,39.17,5
11,"Elixir",9,"Memulihkan HP didalam Quest.",0,17,1,16,0,"item_id013.png",5,0,0,0,,9,2.35,0.3
12,"Elixir x10",75,"Memulihkan HP didalam Quest.",0,17,10,17,0,"item_id013_.png",5,0,0,0,,75,19.59,2.5
13,"Traumerei Door",60,"Mengisi Quest progress 10 poin.",0,22,1,18,0,"item_id022.png",9,0,0,0,,60,15.67,2
14,"Paladin Testament",225,"Melanjutkan ke area berikutnya.",0,23,1,19,0,"item_id024.png",1,0,0,0,,225,58.76,7.5
15,"Demon Compass",45,"Memunculkan Quest Boss saat menyelesaikan Quest.",0,24,1,20,0,"item_id023.png",1,0,0,0,,45,11.75,1.5
16,"ExShadowLand Pass 1 x5",60,"Mencari daerah tersembunyi di ExShadowLand (0 Menit).",0,31,5,21,0,"item_id031_5.png ",9,0,0,0,,60,15.67,2
17,"ExShadowLand Pass 2 x5",105,"Mencari daerah tersembunyi di ExShadowLand (2 Jam).",0,32,5,22,0,"item_id032_5.png",9,0,0,0,,105,27.42,3.5
18,"ExShadowLand Pass 3 x5",150,"Mencari daerah tersembunyi di ExShadowLand (3 Hari).",0,33,5,23,0,"item_id033_5.png",9,0,0,0,,150,39.17,5
19,"Ticket x10",195,"10 Tiket untuk mendapatkan kartu langka.",0,9,10,0,0,"item_id009_10.png",7,0,0,0,,195,50.92,6.5
20,"Ticket x30 + 4 + α",540,"34 Tiket untuk mendapatkan kartu langka + Hades Seal",0,9,34,1,1,"item_id009_30.png",7,78,0,0,,540,141.01,18
21,"Ticket x50 + 4 + α",900,"58 Tiket untuk mendapatkan kartu langka + 2 Hades Seal",0,9,58,2,1,"item_id009_50.png",7,79,0,0,,900,235.02,30
