"id","u_type","u_value","b_type","b_value","event_no","caption","image"
1,1,1,3,1,0,,
2,1,1,3,1,0,,
3,1,2,3,1,0,,
4,1,2,3,2,0,,
5,1,3,3,3,0,,
6,2,1,4,1,0,,
7,2,1,4,1,0,,
8,2,1,4,1,0,,
9,2,2,4,1,0,,
10,2,3,4,1,0,,
11,5,1,1,1,0,,
12,5,1,2,2,0,,
13,5,1,1,2,0,,
14,5,2,2,3,0,,
15,5,3,4,2,0,,
16,1,1,2,1,0,,
17,1,1,2,1,0,,
18,1,2,2,1,0,,
19,1,2,2,2,0,,
20,1,3,2,3,0,,
21,3,1,4,1,0,,
22,3,1,4,1,0,,
23,3,1,4,1,0,,
24,3,2,4,1,0,,
25,3,3,4,1,0,,
26,1,4,5,1,0,,
27,2,4,5,1,0,,
28,1,5,5,2,0,,
29,2,5,5,2,0,,
30,4,2,5,3,0,,
31,1,1,3,1,0,,
32,1,1,3,1,0,,
33,1,2,3,1,0,,
34,1,2,3,2,0,,
35,1,3,3,3,0,,
36,2,1,4,1,0,,
37,2,1,4,1,0,,
38,2,1,4,1,0,,
39,2,2,4,1,0,,
40,2,3,4,1,0,,
41,5,1,1,4,0,,
42,5,1,2,4,0,,
43,5,2,1,5,0,,
44,5,2,2,5,0,,
45,5,3,4,2,0,,
46,1,1,2,1,0,,
47,1,1,2,1,0,,
48,1,2,2,1,0,,
49,1,2,2,2,0,,
50,1,3,2,3,0,,
51,3,1,4,1,0,,
52,3,1,4,1,0,,
53,3,1,4,1,0,,
54,3,2,4,1,0,,
55,2,4,2,4,0,,
56,1,6,1,6,0,,
57,3,5,3,5,0,,
58,4,3,4,3,0,,
59,3,3,5,5,0,,
60,1,5,2,5,0,,
61,1,1,1,1,0,"このカードは剣1として扱う","card_ev_100.swf"
62,1,1,1,1,0,"このカードは剣1として扱う","card_ev_100.swf"
63,1,1,1,1,0,"このカードは剣1として扱う","card_ev_100.swf"
64,1,1,1,1,0,"このカードは剣1として扱う","card_ev_100.swf"
65,1,1,1,1,0,"このカードは剣1として扱う","card_ev_100.swf"
66,1,1,1,1,0,"このカードは剣1として扱う","card_ev_100.swf"
67,1,1,1,1,0,"このカードは剣1として扱う","card_ev_100.swf"
68,1,1,1,1,0,"このカードは剣1として扱う","card_ev_100.swf"
69,1,1,1,1,0,"このカードは剣1として扱う","card_ev_100.swf"
70,1,1,1,1,0,"このカードは剣1として扱う","card_ev_100.swf"
71,1,1,1,1,0,"このカードは剣1として扱う","card_ev_100.swf"
72,1,1,1,1,0,"このカードは剣1として扱う","card_ev_100.swf"
73,1,1,1,1,0,"このカードは剣1として扱う","card_ev_100.swf"
74,1,1,1,1,0,"このカードは剣1として扱う","card_ev_100.swf"
75,1,1,1,1,0,"このカードは剣1として扱う","card_ev_100.swf"
76,1,1,1,1,0,"このカードは剣1として扱う","card_ev_100.swf"
77,1,1,1,1,0,"このカードは剣1として扱う","card_ev_100.swf"
78,1,1,1,1,0,"このカードは剣1として扱う","card_ev_100.swf"
79,1,1,1,1,0,"このカードは剣1として扱う","card_ev_100.swf"
80,1,1,1,1,0,"このカードは剣1として扱う","card_ev_100.swf"
81,1,1,1,1,0,"このカードは剣1として扱う","card_ev_100.swf"
82,1,1,1,1,0,"このカードは剣1として扱う","card_ev_100.swf"
83,1,1,1,1,0,"このカードは剣1として扱う","card_ev_100.swf"
84,1,1,1,1,0,"このカードは剣1として扱う","card_ev_100.swf"
85,1,1,1,1,0,"このカードは剣1として扱う","card_ev_100.swf"
86,1,1,1,1,0,"このカードは剣1として扱う","card_ev_100.swf"
87,1,1,1,1,0,"このカードは剣1として扱う","card_ev_100.swf"
88,1,1,1,1,0,"このカードは剣1として扱う","card_ev_100.swf"
89,1,1,1,1,0,"このカードは剣1として扱う","card_ev_100.swf"
90,1,1,1,1,0,"このカードは剣1として扱う","card_ev_100.swf"
91,1,1,1,1,0,"このカードは剣1として扱う","card_ev_100.swf"
92,1,1,1,1,0,"このカードは剣1として扱う","card_ev_100.swf"
93,1,1,1,1,0,"このカードは剣1として扱う","card_ev_100.swf"
94,1,1,1,1,0,"このカードは剣1として扱う","card_ev_100.swf"
95,1,1,1,1,0,"このカードは剣1として扱う","card_ev_100.swf"
96,1,1,1,1,0,"このカードは剣1として扱う","card_ev_100.swf"
97,1,2,1,2,0,"このカードは剣2として扱う","card_ev_100.swf"
98,1,2,1,2,0,"このカードは剣2として扱う","card_ev_100.swf"
99,1,2,1,2,0,"このカードは剣2として扱う","card_ev_100.swf"
100,1,2,1,2,0,"このカードは剣2として扱う","card_ev_100.swf"
101,1,2,1,2,0,"このカードは剣2として扱う","card_ev_100.swf"
102,1,2,1,2,0,"このカードは剣2として扱う","card_ev_100.swf"
103,1,2,1,2,0,"このカードは剣2として扱う","card_ev_100.swf"
104,1,2,1,2,0,"このカードは剣2として扱う","card_ev_100.swf"
105,1,2,1,2,0,"このカードは剣2として扱う","card_ev_100.swf"
106,1,2,1,2,0,"このカードは剣2として扱う","card_ev_100.swf"
107,1,2,1,2,0,"このカードは剣2として扱う","card_ev_100.swf"
