"id","name","item_no","kind","sub_kind","duration","cond","image","image_frame","effect_image","caption","created_at","name_en","name_fr","name_kr","name_scn","name_tcn","name_ina","name_thai","caption_en","caption_fr","caption_kr","caption_scn","caption_tcn","caption_ina","caption_thai"
1,"妖精の薬",0,0,"1+4",0,,"item_c_a000.swf",1,"cutinchara01_skl00.swf","アバターの行動力を3回復します。","2010-03-10 07:42:04 UTC","Fairy Potion","Potion de Fée","요정의 묘약","精灵之药","精靈之藥","Potion","โอสถภูต","Recover 3 AP.","Votre Avatar récupère 3 AP","아바타의 행동력(AP)을 +3 회복합니다.","恢复3点虚拟人物的行动力。","恢復3點虛擬人物的行動力。","Memulihkan 3 AP.","ฟื้น AP ให้อวาตาร์ 3 แต้ม"
2,"古の妙薬",1,0,"1+4",0,,"item_c_a000.swf",2,"cutinchara01_skl00.swf","アバターの行動力を10回復します。","2010-04-06 04:53:16 UTC","Ancient Potion","Potion Ancestrale","신비의 묘약","古代妙药","古代妙藥","Ancient Potion","ยาวิเศษโบราณ","Recover 10 AP.","Votre Avatar récupère 10 AP","아바타의 행동력(AP)을 +10 회복합니다.","恢复10点虚拟人物的行动力。","恢復10點虛擬人物的行動力。","Memulihkan 10 AP.","ฟื้น AP ให้อวาตาร์ 10 แต้ม"
3,"魔女の秘薬",2,0,"1+4",0,,"item_c_a000.swf",3,"cutinchara01_skl00.swf","アバターの行動力を全回復します。","2010-04-06 04:53:16 UTC","Witches' Potion","Potion de Sorcière","마녀의 묘약","魔女秘药","魔女秘藥","Magic Potion","ยาเสน่ห์ของแม่มด","A mysterious concoction which restores full AP.","Votre Avatar récupère tous ses AP","아바타의 행동력(AP)을 전부 회복합니다.","完全恢复虚拟人物的行动力。","完全恢復虛擬人物的行動力。","Memulihkan penuh AP.","ฟื้น AP ให้อวาตาร์ทั้งหมด"
4,"ラッキークローバー",3,2,,0,,"item_c_b000.swf",1,"cutinchara01_skl00.swf","ボーナスゲームのダイスを振り直すことができます。","2010-04-06 04:53:16 UTC","Lucky Four-Leaf Clover","Trèfle","행운의 클로버","幸运四叶草","幸運四葉草","Lucky Clover","ลักกี้โคลเวอร์","Reroll the dice in the bonus game.","Vous bénéficiez d'un nouvel essai pour lancer les Dés","주사위를 다시 던질수 있습니다. (보너스게임 전용)","可以重投奖励游戏的骰子","可以重投獎勵遊戲的骰子","Berkesempatan melempar dadu lagi.","สามารถทอยลูกเต๋าซ้ำได้ในโบนัสเกม"
5,"ホワイトヒース1",4,2,,0,,"item_c_b001.swf",1,"cutinchara01_skl00.swf","ダイスの差分が[1]以下の場合、ボーナスゲームをスキップできます。","2010-04-06 04:53:16 UTC","White Heath 1","Landes Brumeuses 1","화이트 히스1","白色石楠1","白色石楠1","White Heath 1","ไวท์เฮลธ์ 1","If the bonus game dice are within at most 1 point of the target, skip ahead anyway.","Si le total des Dés est de moins de [1], vous pourrez sauter le jeu bonus","주사위의 차가 1이하일때 성공으로 간주합니다. (보너스게임 전용)","骰子的差小于1时,可以继续进行奖励游戏","骰子的差小於1時,可以繼續進行獎勵遊戲","Dapat melewati Bonus Game jika dadu berjumlah [1] kebawah.","สามารถข้ามโบนัสเกมได้ในกรณีที่แต้มของลูกเต๋าต่างกันน้อยกว่า 1"
6,"ホワイトヒース3",5,2,,0,,"item_c_b001.swf",2,"cutinchara01_skl00.swf","ダイスの差分が[3]以下の場合、ボーナスゲームをスキップできます。","2010-04-06 04:53:16 UTC","White Heath 3","Landes Brumeuses 3","화이트 히스3","白色石楠3","白色石楠3","White Heath 3","ไวท์เฮลธ์ 3","If the bonus game dice are within at most 3 point of the target, skip ahead anyway.","Si le total des Dés est de moins de [3], vous pourrez sauter le jeu bonus","주사위의 차가 3이하일때 성공으로 간주합니다. (보너스게임 전용)","骰子的差小于3时,可以继续进行奖励游戏","骰子的差小於3時,可以繼續進行獎勵遊戲","Dapat melewati Bonus Game jika dadu berjumlah [3] kebawah.","สามารถข้ามโบนัสเกมได้ในกรณีที่แต้มของลูกเต๋าต่างกันน้อยกว่า 3"
7,"ホワイトヒース5",6,2,,0,,"item_c_b001.swf",3,"cutinchara01_skl00.swf","ダイスの差分が[5]以下の場合、ボーナスゲームをスキップできます。","2010-04-06 04:53:16 UTC","White Heath 5","Landes Brumeuses 5","화이트 히스5","白色石楠5","白色石楠5","White Heath 5","ไวท์เฮลธ์ 5","If the bonus game dice are within at most 5 point of the target, skip ahead anyway.","Si le total des Dés est de moins de [5], vous pourrez sauter le jeu bonus","주사위의 차가 5이하일때 성공으로 간주합니다. (보너스게임 전용)","骰子的差小于5时,可以继续进行奖励游戏","骰子的差小於5時,可以繼續進行獎勵遊戲","Dapat melewati Bonus Game jika dadu berjumlah [5] kebawah.","สามารถข้ามโบนัสเกมได้ในกรณีที่แต้มของลูกเต๋าต่างกันน้อยกว่า 5"
8,"スキップスター",7,2,,0,,"item_c_b003.swf",1,"cutinchara01_skl00.swf","ボーナスゲームをスキップできます。","2010-04-06 04:53:16 UTC","Skip Star","Skip Star","신비한 별똥별","跳越星","跳越星","Skip Star","สคิปสตาร์","Skip ahead in the bonus game, ignoring the dice roll.","Possibilité de sauter le jeu bonus","주사위의 차에 관계 없이 성공으로 간주합니다. (보너스게임 전용)","可以继续进行奖励游戏","可以繼續進行獎勵遊戲","Dapat melewati Bonus Game.","ข้ามโบนัสเกม"
9,"チケット",8,3,,0,,"item_c_d000.swf",1,"cutinchara01_skl00.swf","DarkRoomでレアカードくじを引くことができるチケット。","2010-04-06 04:53:16 UTC","Ticket","Ticket","티켓","抽奖券","抽獎券","Ticket","ตั๋ว","Rare card ticket.","Ticket pour une carte rare","레어카드 티켓 (다크룸 전용)","抽奖券","抽獎券","Ticket kartu rare.","ตั๋วแรร์การ์ด"
10,"複製チケット",9,3,,0,,"item_c_g000.swf",1,"cutinchara01_skl00.swf","レアリティ5以下のカードを複製するのに必要なアイテム。","2010-04-06 04:53:16 UTC","Copy Ticket","Réplique","복제티켓","复制券","複製券","Duplication Ticket","ตั๋วจำลอง","This item is necessary to duplicate cards with rarity level 5 and under.","Objet qui permet de reproduire les cartes dont la rareté est inférieure à 5.","레어도 5이하의 카드를 복제하기 위한 티켓","复制稀有度5以下的卡片时所需的物品","複製稀有度5以下的卡片時所需的物品","Diperlukan untuk menduplikat kartu dengan rarity 5 kebawah.","ไอเท็มจำเป็นสำหรับการจำลองการ์ดที่มีระดับความหายากต่ำกว่า 5"
