"id","name","ab_name","level","hp","ap","dp","rarity","deck_cost","slot","stand_image","chara_image","artifact_image","bg_image","caption","charactor_id","next_id","kind","created_at","name_en","name_fr","name_kr","name_scn","name_tcn","name_ina","name_thai","ab_name_en","ab_name_fr","ab_name_kr","ab_name_scn","ab_name_tcn","ab_name_ina","ab_name_thai","caption_en","caption_fr","caption_kr","caption_scn","caption_tcn","caption_ina","caption_thai"
1,"エヴァリスト","- ReichsRitter - Evarist",1,8,4,5,2,8,0,"standchara01","cc01_01.swf",,,"グランデレニア帝國騎士。その意志と知略をもって帝國での地位を固める。",1,2,0,"2010-09-16 07:15:28 UTC","Evarist","Evarist","에바리스트","艾伯李斯特","艾伯李斯特","Evarist","เอวาริสท์","- ReichsRitter -","- ReichsRitter -","- ReichsRitter - Evarist","- ReichsRitter - Evarist","- ReichsRitter - Evarist","- ReichsRitter - Evarist","- ReichsRitter - Evarist","A Knight of the Granddillenia kingdom. His determination and intelligence made him an important position in the Kingdom.","Chevalier du royaume Granddillenia. Sa fermeté et son intelligence en ont fait un personnage d'importance dans le Royaume.","그란데레니아 제국의 기사. 그 의지와 지략으로 제국에서의 지위를 구축한다.","古朗德利尼亚帝国骑士。以意志和智谋巩固其在帝国的地位。","古朗德利尼亞帝國騎士。以意志和智謀鞏固其在帝國的地位。","Ksatria dari kerajaan Granddillenia. Kebijaksanaan & kecerdasannya menempatkannya pada posisi penting dalam kerajaan.","อัศวินแห่งจักรวรรดิแกรนเดเลเนีย รวบรวมอาณาเขตของประเทศต่างๆ ด้วยความเฉลียวฉลาดหลักแหลมและปณิธานของอัศวิน"
2,"エヴァリスト","- ReichsRitter - Evarist",2,9,5,5,2,12,1,"standchara01","cc01_02.swf",,,"グランデレニア帝國騎士。その意志と知略をもって帝國での地位を固める。",1,3,0,"2010-09-16 07:15:28 UTC","Evarist","Evarist","에바리스트","艾伯李斯特","艾伯李斯特","Evarist","เอวาริสท์","- ReichsRitter -","- ReichsRitter -","- ReichsRitter - Evarist","- ReichsRitter - Evarist","- ReichsRitter - Evarist","- ReichsRitter - Evarist","- ReichsRitter - Evarist","A Knight of the Granddillenia kingdom. His determination and intelligence made him an important position in the Kingdom.","Chevalier du royaume Granddillenia. Sa fermeté et son intelligence en ont fait un personnage d'importance dans le Royaume.","그란데레니아 제국의 기사. 그 의지와 지략으로 제국에서의 지위를 구축한다.","古朗德利尼亚帝国骑士。以意志和智谋巩固其在帝国的地位。","古朗德利尼亞帝國騎士。以意志和智謀鞏固其在帝國的地位。","Ksatria dari kerajaan Granddillenia. Kebijaksanaan & kecerdasannya menempatkannya pada posisi penting dalam kerajaan.","อัศวินแห่งจักรวรรดิแกรนเดเลเนีย รวบรวมอาณาเขตของประเทศต่างๆ ด้วยความเฉลียวฉลาดหลักแหลมและปณิธานของอัศวิน"
3,"エヴァリスト","- ReichsRitter - Evarist",3,10,5,6,2,14,41,"standchara01","cc01_03.swf",,,"グランデレニア帝國騎士。その意志と知略をもって帝國での地位を固める。",1,4,0,"2010-09-16 07:15:28 UTC","Evarist","Evarist","에바리스트","艾伯李斯特","艾伯李斯特","Evarist","เอวาริสท์","- ReichsRitter -","- ReichsRitter -","- ReichsRitter - Evarist","- ReichsRitter - Evarist","- ReichsRitter - Evarist","- ReichsRitter - Evarist","- ReichsRitter - Evarist","A Knight of the Granddillenia kingdom. His determination and intelligence made him an important position in the Kingdom.","Chevalier du royaume Granddillenia. Sa fermeté et son intelligence en ont fait un personnage d'importance dans le Royaume.","그란데레니아 제국의 기사. 그 의지와 지략으로 제국에서의 지위를 구축한다.","古朗德利尼亚帝国骑士。以意志和智谋巩固其在帝国的地位。","古朗德利尼亞帝國騎士。以意志和智謀鞏固其在帝國的地位。","Ksatria dari kerajaan Granddillenia. Kebijaksanaan & kecerdasannya menempatkannya pada posisi penting dalam kerajaan.","อัศวินแห่งจักรวรรดิแกรนเดเลเนีย รวบรวมอาณาเขตของประเทศต่างๆ ด้วยความเฉลียวฉลาดหลักแหลมและปณิธานของอัศวิน"
4,"エヴァリスト","- ReichsRitter - Evarist",4,11,6,6,2,15,541,"standchara01","cc01_04.swf",,,"グランデレニア帝國騎士。その意志と知略をもって帝國での地位を固める。",1,5,0,"2010-09-16 07:15:28 UTC","Evarist","Evarist","에바리스트","艾伯李斯特","艾伯李斯特","Evarist","เอวาริสท์","- ReichsRitter -","- ReichsRitter -","- ReichsRitter - Evarist","- ReichsRitter - Evarist","- ReichsRitter - Evarist","- ReichsRitter - Evarist","- ReichsRitter - Evarist","A Knight of the Granddillenia kingdom. His determination and intelligence made him an important position in the Kingdom.","Chevalier du royaume Granddillenia. Sa fermeté et son intelligence en ont fait un personnage d'importance dans le Royaume.","그란데레니아 제국의 기사. 그 의지와 지략으로 제국에서의 지위를 구축한다.","古朗德利尼亚帝国骑士。以意志和智谋巩固其在帝国的地位。","古朗德利尼亞帝國騎士。以意志和智謀鞏固其在帝國的地位。","Ksatria dari kerajaan Granddillenia. Kebijaksanaan & kecerdasannya menempatkannya pada posisi penting dalam kerajaan.","อัศวินแห่งจักรวรรดิแกรนเดเลเนีย รวบรวมอาณาเขตของประเทศต่างๆ ด้วยความเฉลียวฉลาดหลักแหลมและปณิธานของอัศวิน"
5,"エヴァリスト","- ReichsRitter - Evarist",5,12,7,7,2,20,541,"standchara01","cc01_05.swf",,,"グランデレニア帝國騎士。その意志と知略をもって帝國での地位を固める。",1,,0,"2010-09-16 07:15:28 UTC","Evarist","Evarist","에바리스트","艾伯李斯特","艾伯李斯特","Evarist","เอวาริสท์","- ReichsRitter -","- ReichsRitter -","- ReichsRitter - Evarist","- ReichsRitter - Evarist","- ReichsRitter - Evarist","- ReichsRitter - Evarist","- ReichsRitter - Evarist","A Knight of the Granddillenia kingdom. His determination and intelligence made him an important position in the Kingdom.","Chevalier du royaume Granddillenia. Sa fermeté et son intelligence en ont fait un personnage d'importance dans le Royaume.","그란데레니아 제국의 기사. 그 의지와 지략으로 제국에서의 지위를 구축한다.","古朗德利尼亚帝国骑士。以意志和智谋巩固其在帝国的地位。","古朗德利尼亞帝國騎士。以意志和智謀鞏固其在帝國的地位。","Ksatria dari kerajaan Granddillenia. Kebijaksanaan & kecerdasannya menempatkannya pada posisi penting dalam kerajaan.","อัศวินแห่งจักรวรรดิแกรนเดเลเนีย รวบรวมอาณาเขตของประเทศต่างๆ ด้วยความเฉลียวฉลาดหลักแหลมและปณิธานของอัศวิน"
6,"エヴァリスト","- ReichsRitter - Evarist",1,12,6,6,6,19,6541,"standchara01","cc01_a.swf",,,"グランデレニア帝國騎士。その意志と知略をもって帝國での地位を固める。",1,7,0,"2010-09-16 07:15:28 UTC","Evarist","Evarist","에바리스트","艾伯李斯特","艾伯李斯特","Evarist","เอวาริสท์","- ReichsRitter -","- ReichsRitter -","- ReichsRitter - Evarist","- ReichsRitter - Evarist","- ReichsRitter - Evarist","- ReichsRitter - Evarist","- ReichsRitter - Evarist","A Knight of the Granddillenia kingdom. His determination and intelligence made him an important position in the Kingdom.","Chevalier du royaume Granddillenia. Sa fermeté et son intelligence en ont fait un personnage d'importance dans le Royaume.","그란데레니아 제국의 기사. 그 의지와 지략으로 제국에서의 지위를 구축한다.","古朗德利尼亚帝国骑士。以意志和智谋巩固其在帝国的地位。","古朗德利尼亞帝國騎士。以意志和智謀鞏固其在帝國的地位。","Ksatria dari kerajaan Granddillenia. Kebijaksanaan & kecerdasannya menempatkannya pada posisi penting dalam kerajaan.","อัศวินแห่งจักรวรรดิแกรนเดเลเนีย รวบรวมอาณาเขตของประเทศต่างๆ ด้วยความเฉลียวฉลาดหลักแหลมและปณิธานของอัศวิน"
7,"エヴァリスト","- ReichsRitter - Evarist",2,12,7,7,7,21,6541,"standchara01","cc01_b.swf",,,"グランデレニア帝國騎士。その意志と知略をもって帝國での地位を固める。",1,8,0,"2010-09-16 07:15:28 UTC","Evarist","Evarist","에바리스트","艾伯李斯特","艾伯李斯特","Evarist","เอวาริสท์","- ReichsRitter -","- ReichsRitter -","- ReichsRitter - Evarist","- ReichsRitter - Evarist","- ReichsRitter - Evarist","- ReichsRitter - Evarist","- ReichsRitter - Evarist","A Knight of the Granddillenia kingdom. His determination and intelligence made him an important position in the Kingdom.","Chevalier du royaume Granddillenia. Sa fermeté et son intelligence en ont fait un personnage d'importance dans le Royaume.","그란데레니아 제국의 기사. 그 의지와 지략으로 제국에서의 지위를 구축한다.","古朗德利尼亚帝国骑士。以意志和智谋巩固其在帝国的地位。","古朗德利尼亞帝國騎士。以意志和智謀鞏固其在帝國的地位。","Ksatria dari kerajaan Granddillenia. Kebijaksanaan & kecerdasannya menempatkannya pada posisi penting dalam kerajaan.","อัศวินแห่งจักรวรรดิแกรนเดเลเนีย รวบรวมอาณาเขตของประเทศต่างๆ ด้วยความเฉลียวฉลาดหลักแหลมและปณิธานของอัศวิน"
8,"エヴァリスト","- ReichsRitter - Evarist",3,13,7,8,8,23,66541,"standchara01","cc01_c.swf",,,"グランデレニア帝國騎士。その意志と知略をもって帝國での地位を固める。",1,9,0,"2010-09-16 07:15:28 UTC","Evarist","Evarist","에바리스트","艾伯李斯特","艾伯李斯特","Evarist","เอวาริสท์","- ReichsRitter -","- ReichsRitter -","- ReichsRitter - Evarist","- ReichsRitter - Evarist","- ReichsRitter - Evarist","- ReichsRitter - Evarist","- ReichsRitter - Evarist","A Knight of the Granddillenia kingdom. His determination and intelligence made him an important position in the Kingdom.","Chevalier du royaume Granddillenia. Sa fermeté et son intelligence en ont fait un personnage d'importance dans le Royaume.","그란데레니아 제국의 기사. 그 의지와 지략으로 제국에서의 지위를 구축한다.","古朗德利尼亚帝国骑士。以意志和智谋巩固其在帝国的地位。","古朗德利尼亞帝國騎士。以意志和智謀鞏固其在帝國的地位。","Ksatria dari kerajaan Granddillenia. Kebijaksanaan & kecerdasannya menempatkannya pada posisi penting dalam kerajaan.","อัศวินแห่งจักรวรรดิแกรนเดเลเนีย รวบรวมอาณาเขตของประเทศต่างๆ ด้วยความเฉลียวฉลาดหลักแหลมและปณิธานของอัศวิน"
9,"エヴァリスト","- ReichsRitter - Evarist",4,14,8,9,9,25,66541,"standchara01","cc01_d.swf",,,"グランデレニア帝國騎士。その意志と知略をもって帝國での地位を固める。",1,10,0,"2010-09-16 07:15:28 UTC","Evarist","Evarist","에바리스트","艾伯李斯特","艾伯李斯特","Evarist","เอวาริสท์","- ReichsRitter -","- ReichsRitter -","- ReichsRitter - Evarist","- ReichsRitter - Evarist","- ReichsRitter - Evarist","- ReichsRitter - Evarist","- ReichsRitter - Evarist","A Knight of the Granddillenia kingdom. His determination and intelligence made him an important position in the Kingdom.","Chevalier du royaume Granddillenia. Sa fermeté et son intelligence en ont fait un personnage d'importance dans le Royaume.","그란데레니아 제국의 기사. 그 의지와 지략으로 제국에서의 지위를 구축한다.","古朗德利尼亚帝国骑士。以意志和智谋巩固其在帝国的地位。","古朗德利尼亞帝國騎士。以意志和智謀鞏固其在帝國的地位。","Ksatria dari kerajaan Granddillenia. Kebijaksanaan & kecerdasannya menempatkannya pada posisi penting dalam kerajaan.","อัศวินแห่งจักรวรรดิแกรนเดเลเนีย รวบรวมอาณาเขตของประเทศต่างๆ ด้วยความเฉลียวฉลาดหลักแหลมและปณิธานของอัศวิน"
10,"エヴァリスト","- ReichsRitter - Evarist",5,15,9,9,10,29,166541,"standchara01","cc01_e.swf",,,"グランデレニア帝國騎士。その意志と知略をもって帝國での地位を固める。",1,,0,"2010-09-16 07:15:29 UTC","Evarist","Evarist","에바리스트","艾伯李斯特","艾伯李斯特","Evarist","เอวาริสท์","- ReichsRitter -","- ReichsRitter -","- ReichsRitter - Evarist","- ReichsRitter - Evarist","- ReichsRitter - Evarist","- ReichsRitter - Evarist","- ReichsRitter - Evarist","A Knight of the Granddillenia kingdom. His determination and intelligence made him an important position in the Kingdom.","Chevalier du royaume Granddillenia. Sa fermeté et son intelligence en ont fait un personnage d'importance dans le Royaume.","그란데레니아 제국의 기사. 그 의지와 지략으로 제국에서의 지위를 구축한다.","古朗德利尼亚帝国骑士。以意志和智谋巩固其在帝国的地位。","古朗德利尼亞帝國騎士。以意志和智謀鞏固其在帝國的地位。","Ksatria dari kerajaan Granddillenia. Kebijaksanaan & kecerdasannya menempatkannya pada posisi penting dalam kerajaan.","อัศวินแห่งจักรวรรดิแกรนเดเลเนีย รวบรวมอาณาเขตของประเทศต่างๆ ด้วยความเฉลียวฉลาดหลักแหลมและปณิธานของอัศวิน"
11,"アイザック","- WarHound - Izac",1,8,4,4,2,8,0,"standchara02","cc02_01.swf",,,"軍犬のあだ名通りの勇猛な騎士。盟友エヴァリストに影のように付き従う。",2,12,0,"2010-09-16 07:15:29 UTC","Izac","Isaac","아이자크","艾依查库","艾依查庫","Izac","ไอแซ็ค","- WarHound -","- WarHound -","- WarHound - Izac","- WarHound - Izac","- WarHound - Izac","- WarHound - Izac","- WarHound - Izac","A very brave and loyal knight, often called a military dog for following his best friend Evarist around.","Chevalier courageux et loyal, surnommé le Chien Militaire. Il suit Evarist, son meilleur ami, où qu'il aille.","군견이라는 별명대로 용맹한 기사. 맹우인 에바리스트를 그림자처럼 따라다닌다.","如军犬的小名所示，是个勇猛的骑士。像影子一样随从盟友艾伯李斯特。","如軍犬的小名所示，是個勇猛的騎士。像影子一樣隨從盟友艾伯李斯特。","Ksatria pemberani dan setia yang dijuluki anjing militer. Ia mengikuti sahabat karibnya Evarist.","อัศวินผู้กล้าหาญที่มีสมญานามว่าสุนัขรับใช้กองทัพ เป็นเพื่อนร่วมสาบานที่เป็นดั่งเงาของเอวาริสท์"
12,"アイザック","- WarHound - Izac",2,9,5,4,2,11,4,"standchara02","cc02_02.swf",,,"軍犬のあだ名通りの勇猛な騎士。盟友エヴァリストに影のように付き従う。",2,13,0,"2010-09-16 07:15:29 UTC","Izac","Isaac","아이자크","艾依查库","艾依查庫","Izac","ไอแซ็ค","- WarHound -","- WarHound -","- WarHound - Izac","- WarHound - Izac","- WarHound - Izac","- WarHound - Izac","- WarHound - Izac","A very brave and loyal knight, often called a military dog for following his best friend Evarist around.","Chevalier courageux et loyal, surnommé le Chien Militaire. Il suit Evarist, son meilleur ami, où qu'il aille.","군견이라는 별명대로 용맹한 기사. 맹우인 에바리스트를 그림자처럼 따라다닌다.","如军犬的小名所示，是个勇猛的骑士。像影子一样随从盟友艾伯李斯特。","如軍犬的小名所示，是個勇猛的騎士。像影子一樣隨從盟友艾伯李斯特。","Ksatria pemberani dan setia yang dijuluki anjing militer. Ia mengikuti sahabat karibnya Evarist.","อัศวินผู้กล้าหาญที่มีสมญานามว่าสุนัขรับใช้กองทัพ เป็นเพื่อนร่วมสาบานที่เป็นดั่งเงาของเอวาริสท์"
13,"アイザック","- WarHound - Izac",3,10,6,4,3,14,4,"standchara02","cc02_03.swf",,,"軍犬のあだ名通りの勇猛な騎士。盟友エヴァリストに影のように付き従う。",2,14,0,"2010-09-16 07:15:29 UTC","Izac","Isaac","아이자크","艾依查库","艾依查庫","Izac","ไอแซ็ค","- WarHound -","- WarHound -","- WarHound - Izac","- WarHound - Izac","- WarHound - Izac","- WarHound - Izac","- WarHound - Izac","A very brave and loyal knight, often called a military dog for following his best friend Evarist around.","Chevalier courageux et loyal, surnommé le Chien Militaire. Il suit Evarist, son meilleur ami, où qu'il aille.","군견이라는 별명대로 용맹한 기사. 맹우인 에바리스트를 그림자처럼 따라다닌다.","如军犬的小名所示，是个勇猛的骑士。像影子一样随从盟友艾伯李斯特。","如軍犬的小名所示，是個勇猛的騎士。像影子一樣隨從盟友艾伯李斯特。","Ksatria pemberani dan setia yang dijuluki anjing militer. Ia mengikuti sahabat karibnya Evarist.","อัศวินผู้กล้าหาญที่มีสมญานามว่าสุนัขรับใช้กองทัพ เป็นเพื่อนร่วมสาบานที่เป็นดั่งเงาของเอวาริสท์"
