"id","name","allocation_type","chara_card_id","weapon_card_id","equip_card_id","event_card_id","ai_rank","name_en","name_fr","name_kr","name_scn","name_tcn","name_ina","name_thai"
101,"陰気な小人L1",0,1001,0,0,"27/27/27/27/27/27/27/27/27/27/27/27/27/27/27/27/27/27",10,"Spooky Dwarf L1","Nain lugubre L1","음침한 난쟁이1","阴险的侏儒L1","陰險的侏儒L1","Makhluk mengerikan L1","คนแคระผู้มืดมน L1"
102,"陰気な小人L2",0,1002,0,0,"1/1/1/9/9/9",10,"Spooky Dwarf L2","Nain lugubre L2","음침한 난쟁이2","阴险的侏儒L2","陰險的侏儒L2","Makhluk mengerikan L2","คนแคระผู้มืดมน L2"
103,"陰気な小人L3",0,1003,0,0,"1/1/1/9/9/9",10,"Spooky Dwarf L3","Nain lugubre L3","음침한 난쟁이3","阴险的侏儒L3","陰險的侏儒L3","Makhluk mengerikan L3","คนแคระผู้มืดมน L3"
201,"蝙蝠L1",0,1004,0,0,"27/27/27/27/27/27/27/27/27/27/27/27/27/27/27/27/27/27",10,"Cave Bat L1","Chauve-souris L1","박쥐1","蝙蝠L1","蝙蝠L1","Cave Bat L1","ค้างคาว L1"
202,"蝙蝠L2",0,1005,0,0,"1/1/1/9/9/9",10,"Cave Bat L2","Chauve-souris L2","박쥐2","蝙蝠L2","蝙蝠L2","Cave Bat L2","ค้างคาว L2"
203,"蝙蝠L3",0,1006,0,0,"1/1/1/9/9/9",10,"Cave Bat L3","Chauve-souris L3","박쥐3","蝙蝠L3","蝙蝠L3","Cave Bat L3","ค้างคาว L3"
301,"大蛙L1",0,1007,0,0,"27/27/27/27/27/27/27/27/27/27/27/27/27/27/27/27/27/27",10,"Giant Toad L1","Crapaud Géant L1","거대 개구리1","大蛙L1","大蛙L1","Giant Toad L1","กบยักษ์ L1"
302,"大蛙L2",0,1008,0,0,"1/1/1/9/9/9",10,"Giant Toad L2","Crapaud Géant L2","거대 개구리2","大蛙L2","大蛙L2","Giant Toad L2","กบยักษ์ L2"
303,"大蛙L3",0,1009,0,0,"1/1/1/9/9/9",10,"Giant Toad L3","Crapaud Géant L3","거대 개구리3","大蛙L3","大蛙L3","Giant Toad L3","กบยักษ์ L3"
401,"鬼火L1",0,1010,0,0,"27/27/27/27/27/27/27/27/27/27/27/27/27/27/27/27/27/27",10,"Willo's the wisp L1","Feufollet L1","귀화1","鬼火L1","鬼火L1","Will-o-Wisp L1","ดวงไฟยักษ์ L1"
