"id","content","content_en","content_fr","content_kr","content_scn","content_tcn","content_ina","content_thai"
1,"かかってきな、死にたきゃな","Bring it on, if you want to die.","Venez m'affronter, si vous êtes prêt à mourir !","목숨이 아깝지 않거든 덤벼보라고.","放马过来啊、你想死的话。","放馬過來啊，你想死的話","kesinilah, Jika kamu ingin mati.","ถ้าอยากตายก็เข้ามาได้เลย"
2,"いくぜ、覚悟はできてるか？","Here it comes, think you're ready?","Êtes-vous prêt ?","각오는 되어있겠지?","上了哦，做好觉悟了吗？","上了哦，做好覺悟了嗎？","Apakah kamu sudah siap ?","จะไปล่ะนะ เตรียมใจไว้แล้วรึยัง?"
3,"私に勝てるつもりか？　アイザック","Do you really think you can defeat me, Izac?","Pensez-vous réellement pouvoir me battre ? Isaac","나를 이길 수 있다고 생각하는가? 아이자크.","想要打败我吗?艾依查库","想要打敗我嗎?艾依查庫","Apakah kamu yakin ingin mengalahkan aku, Izac ?","คิดว่าจะชนะฉันได้เหรอ? ไอแซค"
4,"死は終わりではない・・・ということか","Death is not the end... right?","Cela signifie que la mort n'est pas une fin en soi...","죽음이 두렵지 않다는 말인가…","也就是说，死亡并不是终点…","也就是說，死亡並不是終點…","Mati bukan berarti selesai, huh ?","ความตายไม่ใช่จุดจบ...อย่างนั้นรึ"
5,"死ぬのも悪くない、安らぎは得られる","I'm not afraid of death, at last I'll get some peace.","Je n'ai pas peur de la mort, surtout si elle peut m'apporter la paix !","죽는 것도 나쁘진 않지. 영혼이 쉴 수 있으니까.","死亡也不错，可以得到安宁","死亡也不錯，可以得到安寧","Aku tidak takut atas kematian, setidaknya aku mendapatkan kedamaian.","ความตายมันก็ไม่ได้เลวร้ายนักหรอก จะได้พบความสงบสุขเสียที"
6,"ボクは負けない。なぜなら決まってるからさ","You know I can't lose. It's just fate.","Vous ne me vaincrez pas, car j'en ai décidé ainsi !","난 지지 않아. 왜냐고? 운명이 그렇게 말하고 있으니까!","我是不会输的。因为这已经是定数。","我是不會輸的。因為這已經是定數","Aku tidak kalah, karna aku sudah menetapkan itu","ผมจะไม่แพ้แน่นอน เพราะมันต้องเป็นอย่างนั้นอยู่แล้ว"
7,"君は見たことがあるかい？　あの昏い世界を","Have you seen it? That dark world...","Avez-vous jamais vu les Ténèbres de ce Monde ?","자네는 본적이 있나? 저 황혼의 세계를…","你有看过吗？那个黑暗世界。","你有看過嗎？那個黑暗世界","Apakah kamu pernah melihat dunia kegelapan ?","เธอเคยเห็นโลกอันมืดมิดนั่นไหมล่ะ?"
8,"永遠の戦い。それこそ俺の望むもの！","Eternal war, that's what I want!","Une bataille éternelle ! Voilà qui devrait me plaire !","영원한 싸움이야말로 내가 원하는 것이지.","永恒之战。这正是我期望的。","永恆之戰。這正是我期望的","Battle selamanya. Itu yang aku inginkan.","การต่อสู้ชั่วนิรันดร์ นั่นแหละที่ฉันต้องการ!"
9,"剣に生きるものは剣に死す。それだけのことだ","Those who live by the sword, die by the sword. That's all there is to it!","Les gens qui vivent de leur épée se doivent de mourir par l'épée, voilà ce que j'en pense !","검으로 살아가는 자는 검으로 생을 마감하지.","为剑而生的东西也将为剑而死。仅此而已。","為劍而生的東西也將為劍而死。僅此而已","Hidup dengan pedang, mati dengan pedang. Hanya mengenai itu.","ผู้ที่อยู่ด้วยดาบ ก็ต้องตายด้วยดาบ มันก็เท่านั้นแหละ"
10,"小僧、先にぬきな","Go ahead kid, draw your sword.","Vas-y gamin, sors ton épée le premier !","애송이，먼저 칼을 뽑으라구.","小子，先上噜。","小子，先上嚕","Hei, anak kecil, keluarkan pedangmu duluan.","ถอยไปซะเจ้าเด็กน้อย"
11,"裁きの時は来た。苦しむのは一瞬だ","It's judgment time. Don't worry, you'll only suffer a moment.","Le temps de rendre Justice est venu.","심판의 때가 왔다. 이제 너의 고통을 없애주지.","审判之时已到。痛苦只是一瞬间。","審判之時已到。痛苦只是一瞬間","Ketika hukuman itu datang penderitaan itu hanyalah sesaat.","ได้เวลาพิพากษาแล้ว ทรมานแค่ครู่เดียวเท่านั้นแหละ"
12,"アタシの「血」は高く付くわよ","My blood will cost you.","Mon ‹ sang › vous coûtera cher !","내 피의 대가는 비싸다구.","让我流“血”的代价可是很高的唷。","讓我流「血」的代價可是很高的唷","Darahku sangat berharga buat kamu","เลือดของฉันมันแพงนะ"
13,"エヴァ、一勝負しようぜ","Why don't we have a quick match, Eva?","Pourquoi ne pas régler ça par un rapide Duel, Eva ?","에바，이제 승부를 내자구.","艾伯、来比一场吧。","艾伯，來比一場吧","Eva, ayo kita bertanding sekali lagi","เอวา มาประลองกันสักตั้งสิ"
14,"貴様との決着、ここでつけよう","Let's finish everything here.","Finissons-en !","너와의 승부는 여기서 끝나는 거야.","与你的恩怨，就在此做个了结吧。","與你的恩怨，就在此做個了結吧","Ayo kita selesaikan semuanya disini.","มาตัดสินผลแพ้ชนะระหว่างฉันกับนายกันตอนนี้เลยเถอะ"
15,"アンタの匂い、どこかで・・・","I know this stink...","Je connais cette odeur...","어딘가에서 너의 냄새가 나는군…","你的味道…似曾相识…","你的味道…似曾相識…","Sepertinya aku tahu bau ini, tapi entah dimana ...","เหมือนเคยได้กลิ่นเธอ...จากที่ไหนมาก่อน"
16,"・・・","...","......","…","…","…","......","...."
17,"ジェッド、ここでお前と会うとはな","Well, well... Fancy meeting you here, Jead.","Je ne pensais pas te rencontrer ici, Jead !","제드，여기서 너와 만날줄이야.","杰多、真没想到会在这里遇到你。","傑多，真沒想到會在這裡遇到你","Jead, sangat sulit dipercaya aku bisa bertemu kamu disini","เจด ไม่คิดเลยนะว่าจะมาเจอนายที่นี่"
18,"終わりを見せてあげるよ。アンタには","I'll show you oblivion.","Je vous montrerai la fin !","너에게 슬픔과 절망을 보여주지.","只有你、我会让你见到终点的。","只有你，我會讓你見到終點的","Aku akan menunjukkan keberakhiranmu.","ฉันจะทำให้นายเห็นจุดจบเอง"
19,"お前に感じるのは憐れみだよ。グリュンワルド","I have just the word for you, Grunwald. Compassion!","Je n'éprouve que de la compassion pour toi. Grunwald.","너에게서 느끼는 것은 가엾다는 생각 뿐이야. 그룬왈드.","古鲁瓦尔多、我真是为你感到可怜。","古魯瓦爾多，我真是為你感到可憐","Aku merasa kasihan kepadamu, Grunwald","กรุนวัลด์ ฉันรู้สึกสมเพชในตัวแกเหลือเกิน"
20,"お嬢さん、悪いがオレの邪魔はさせんよ","I'm sorry little girl but I will not let you get in my way.","Désolée, petite fille, mais je ne te laisserai pas me bloquer la route !","아가씨，그만하지. 더 이상 날 방해하게 둘 순 없다구.","小姐，抱歉了，不能让你妨碍到我。","小姐，抱歉了，不能讓妳妨礙到我","Tuan putri, maaf jangan ganggu aku.","ขอโทษนะคุณหนู ฉันปล่อยให้เธอมาเกะกะไม่ได้หรอก"
21,"アンタには聞きたいことがある・・・そいつは勝負の後だ","I have so much to ask you... after this match.","J'ai tant de questions à vous poser... Après ce Duel !","너에게 듣고 싶은 것이 아주 많지만，그건 승부가 끝난뒤로 미루지.","虽然有想问你的事，但那也是在这场胜负之后。","雖然有想問你的事，但那也是在這場勝負之後","Ada hal yang ingin aku tanyakan kepadamu, setelah ini kita bertanding.","ฉันมีเรื่องอยากจะถามนายสักหน่อย...แต่เอาไว้สู้จบก่อนแล้วกัน"
