"id","name","feat_no","pow","dice_attribute","effect_image","caption","condition","created_at","name_en","name_fr","name_kr","name_scn","name_tcn","name_ina","name_thai","caption_en","caption_fr","caption_kr","caption_scn","caption_tcn","caption_ina","caption_thai"
1,"精密射撃",2,5,"physical","cutinchara01_skl00.swf","[攻撃:__CONDITION__]ATK+__POW__|急所に狙いを定めた一撃。","LM:A2+","2010-09-20 08:02:20 UTC","Precision Marksmanship","Fusillade précise","정밀사격","精密射击","精密射擊","Precise Shooting","แม่นปืน","[攻撃:__CONDITION__]ATK+__POW__. |An accurate shot to a vulnerable area.","[攻撃:__CONDITION__]ATK + __POW__|Attaque visant à affaiblir une zone précise de votre adversaire.","[攻撃:__CONDITION__]ATK+__POW__| 적의 약점을 노린 일격. ","[攻撃:__CONDITION__]ATK+__POW__|瞄准要害的一击。","[攻撃:__CONDITION__]ATK+__POW__|瞄準要害的一擊。","[攻撃:__CONDITION__]ATK+__POW__. Serangan yang diarahkan ke titik vital tubuh.","[攻撃:__CONDITION__]ATK+__POW__|การโจมตีที่เล็งจุดตาย"
2,"精密射撃",2,6,"physical","cutinchara01_skl00.swf","[攻撃:__CONDITION__]ATK+__POW__|急所に狙いを定めた一撃。","LM:A2+","2010-09-20 08:02:20 UTC","Precision Marksmanship","Fusillade précise","정밀사격","精密射击","精密射擊","Precise Shooting","แม่นปืน","[攻撃:__CONDITION__]ATK+__POW__. |An accurate shot to a vulnerable area.","[攻撃:__CONDITION__]ATK + __POW__|Attaque visant à affaiblir une zone précise de votre adversaire.","[攻撃:__CONDITION__]ATK+__POW__| 적의 약점을 노린 일격. ","[攻撃:__CONDITION__]ATK+__POW__|瞄准要害的一击。","[攻撃:__CONDITION__]ATK+__POW__|瞄準要害的一擊。","[攻撃:__CONDITION__]ATK+__POW__. Serangan yang diarahkan ke titik vital tubuh.","[攻撃:__CONDITION__]ATK+__POW__|การโจมตีที่เล็งจุดตาย"
3,"Ex精密射撃",2,10,"physical","cutinchara01_skl00ex.swf","[攻撃:__CONDITION__]ATK+__POW__|急所に狙いを定めた一撃。","LM:A5+","2010-09-20 08:02:20 UTC","Ex Precision Marksmanship","Ex Fusillade Précise","Ex정밀사격","Ex精密射击","Ex精密射擊","EX Precise Shooting","Ex แม่นปืน","[攻撃:__CONDITION__]ATK+__POW__. |An accurate shot to a vulnerable area.","[攻撃:__CONDITION__]ATK + __POW__|Attaque visant à affaiblir une zone précise de votre adversaire.","[攻撃:__CONDITION__]ATK+__POW__| 적의 약점을 노린 일격. ","[攻撃:__CONDITION__]ATK+__POW__|瞄准要害的一击。","[攻撃:__CONDITION__]ATK+__POW__|瞄準要害的一擊。","[攻撃:__CONDITION__]ATK+__POW__. Serangan yang diarahkan ke titik vital tubuh.","[攻撃:__CONDITION__]ATK+__POW__|การโจมตีที่เล็งจุดตาย"
4,"雷撃",3,3,"special","cutinchara01_skl01.swf","[攻撃:__CONDITION__]ATK+__POW__,与えたダメージの分だけ相手の手札を破棄|電撃を帯びた強烈な一撃を与え、相手の動きを封じる。","S:E2+","2010-09-20 08:02:20 UTC","Torpedo Attack","Torpille","전격","雷击","雷擊","Torpedo Attack","ยิงทำลาย","[攻撃:__CONDITION__]ATK+__POW__, Your opponent must discard a number of cards equal to the damage you deal this turn. |A blow that crackles with electricity, stunning those it strikes.","[攻撃:__CONDITION__]ATK + __POW__|Attaque détruisant le même nombre de cartes que le nombre de points de dégât infligés.|Empêchez votre adversaire de se mouvoir.","[攻撃:__CONDITION__]ATK+__POW__. 상대에게 입힌 데미지만큼 카드를 파괴한다. |전격을 띤 강렬한 일격으로 상대의 움직임을 저지한다. ","[攻撃:__CONDITION__]ATK+__POW__，丢弃对手与伤害等量的手牌|使出帶電的猛烈一击，封住對手的行動。","[攻撃:__CONDITION__]ATK+__POW__,丟棄對手與傷害等量的手牌|使出帶電的猛烈一擊，封住對手的行動。","[攻撃:__CONDITION__]ATK+__POW__. Menghancurkan kartu sebanyak damage yang ditimbulkan.","[攻撃:__CONDITION__]ATK+__POW__, ทำลายการ์ดในมือของศัตรูด้วยค่าความเสียหายที่ได้รับ|หยุดการเคลื่อนไหวศัตรูด้วยการโจมตีด้วยไฟฟ้าอย่างรุนแรง"
5,"雷撃",3,4,"special","cutinchara01_skl01.swf","[攻撃:__CONDITION__]ATK+__POW__,与えたダメージの分だけ相手の手札を破棄|電撃を帯びた強烈な一撃を与え、相手の動きを封じる。","S:E2+","2010-09-20 08:02:20 UTC","Torpedo Attack","Torpille","전격","雷击","雷擊","Torpedo Attack","ยิงทำลาย","[攻撃:__CONDITION__]ATK+__POW__, Your opponent must discard a number of cards equal to the damage you deal this turn. |A blow that crackles with electricity, stunning those it strikes.","[攻撃:__CONDITION__]ATK + __POW__|Attaque détruisant le même nombre de cartes que le nombre de points de dégât infligés.|Empêchez votre adversaire de se mouvoir.","[攻撃:__CONDITION__]ATK+__POW__. 상대에게 입힌 데미지만큼 카드를 파괴한다. |전격을 띤 강렬한 일격으로 상대의 움직임을 저지한다. ","[攻撃:__CONDITION__]ATK+__POW__，丢弃对手与伤害等量的手牌|使出帶電的猛烈一击，封住對手的行動。","[攻撃:__CONDITION__]ATK+__POW__,丟棄對手與傷害等量的手牌|使出帶電的猛烈一擊，封住對手的行動。","[攻撃:__CONDITION__]ATK+__POW__. Menghancurkan kartu sebanyak damage yang ditimbulkan.","[攻撃:__CONDITION__]ATK+__POW__, ทำลายการ์ดในมือของศัตรูด้วยค่าความเสียหายที่ได้รับ|หยุดการเคลื่อนไหวศัตรูด้วยการโจมตีด้วยไฟฟ้าอย่างรุนแรง"
6,"Ex雷撃",3,8,"special","cutinchara01_skl01ex.swf","[攻撃:__CONDITION__]ATK+__POW__,与えたダメージの分だけ相手の手札を破棄|電撃を帯びた強烈な一撃を与え、相手の動きを封じる。","S:S4+,E2+","2010-09-20 08:02:20 UTC","Ex Torpedo Attack","Ex Torpille","Ex전격","Ex雷击","Ex雷擊","EX Torpedo Attack","Ex ยิงทำลาย","[攻撃:__CONDITION__]ATK+__POW__, Your opponent must discard a number of cards equal to the damage you deal this turn. |A blow that crackles with electricity, stunning those it strikes.","[攻撃:__CONDITION__]ATK + __POW__|Attaque détruisant le même nombre de cartes que le nombre de points de dégât infligés.|Empêchez votre adversaire de se mouvoir.","[攻撃:__CONDITION__]ATK+__POW__. 상대에게 입힌 데미지만큼 카드를 파괴한다. |전격을 띤 강렬한 일격으로 상대의 움직임을 저지한다. ","[攻撃:__CONDITION__]ATK+__POW__，丢弃对手与伤害等量的手牌|使出帶電的猛烈一击，封住對手的行動。","[攻撃:__CONDITION__]ATK+__POW__,丟棄對手與傷害等量的手牌|使出帶電的猛烈一擊，封住對手的行動。","[攻撃:__CONDITION__]ATK+__POW__. Menghancurkan kartu sebanyak damage yang ditimbulkan.","[攻撃:__CONDITION__]ATK+__POW__, ทำลายการ์ดในมือของศัตรูด้วยค่าความเสียหายที่ได้รับ|หยุดการเคลื่อนไหวศัตรูด้วยการโจมตีด้วยไฟฟ้าอย่างรุนแรง"
7,"茨の森",5,6,,"cutinchara01_skl02.swf","[防御:__CONDITION__]DEF+__POW__,防御成功時に防御値が上回った数値分のダメージを相手に与える|自らのオーラで茨を作り、攻撃者を捕らえる。","S:D2+,E2+","2010-09-20 08:02:20 UTC","Thorn Forest","Forêt d'Epines","가시나무 숲","茨林","茨林","Thorn Forest","ป่าหนาม","[防御:__CONDITION__]DEF+__POW__, On a successful defense, your opponent takes damage equal to the points exceeding the cost of defense. |Create a thorny tangle that ensnares your attackers.","[防御:__CONDITION__]DEF + __POW__, Si vous avez plus de points de Défense que votre adversaire n'a de points d'Attaque, vos points de Défense restant seront utilisés pour lui infliger des dégâts.|Créez un manteau d'Epines avec votre aura et défaites votre","[防御:__CONDITION__]DEF+__POW__. 방어 성공시 방어력과 공격력의 차만큼 데미지를 입힌다. |가시덩쿨을 만들어 상대를 휘감는다. ","[防御:__CONDITION__]DEF+__POW__，防御成功时，对手受到与所超过之防御同值的伤害|以自身能量作出荊棘，攔阻攻击者。","[防御:__CONDITION__]DEF+__POW__,防禦成功時，對手受到與所超過之防禦同值的傷害|以自身能量作出荊棘，攔阻攻擊者。","[防御:__CONDITION__]DEF+__POW__. Memberikan damage kepada musuh sebanyak jumlah dadu putih ekstra pada Defense Phase.","[防御:__CONDITION__]DEF+__POW__, เมื่อป้องกันสำเร็จจะทำความเสียหายกับศัตรูตามจำนวนแต้มป้องกันที่เพิ่มขึ้น|สร้างหนามจากออร่าของตัวเองแล้วจับศัตรู"
8,"茨の森",5,7,,"cutinchara01_skl02.swf","[防御:__CONDITION__]DEF+__POW__,防御成功時に防御値が上回った数値分のダメージを相手に与える|自らのオーラで茨を作り、攻撃者を捕らえる。","S:D2+,E2+","2010-09-20 08:02:20 UTC","Thorn Forest","Forêt d'Epines","가시나무 숲","茨林","茨林","Thorn Forest","ป่าหนาม","[防御:__CONDITION__]DEF+__POW__, On a successful defense, your opponent takes damage equal to the points exceeding the cost of defense. |Create a thorny tangle that ensnares your attackers.","[防御:__CONDITION__]DEF + __POW__, Si vous avez plus de points de Défense que votre adversaire n'a de points d'Attaque, vos points de Défense restant seront utilisés pour lui infliger des dégâts.|Créez un manteau d'Epines avec votre aura et défaites votre","[防御:__CONDITION__]DEF+__POW__. 방어 성공시 방어력과 공격력의 차만큼 데미지를 입힌다. |가시덩쿨을 만들어 상대를 휘감는다. ","[防御:__CONDITION__]DEF+__POW__，防御成功时，对手受到与所超过之防御同值的伤害|以自身能量作出荊棘，攔阻攻击者。","[防御:__CONDITION__]DEF+__POW__,防禦成功時，對手受到與所超過之防禦同值的傷害|以自身能量作出荊棘，攔阻攻擊者。","[防御:__CONDITION__]DEF+__POW__. Memberikan damage kepada musuh sebanyak jumlah dadu putih ekstra pada Defense Phase.","[防御:__CONDITION__]DEF+__POW__, เมื่อป้องกันสำเร็จจะทำความเสียหายกับศัตรูตามจำนวนแต้มป้องกันที่เพิ่มขึ้น|สร้างหนามจากออร่าของตัวเองแล้วจับศัตรู"
9,"Ex茨の森",5,12,,"cutinchara01_skl02ex.swf","[防御:__CONDITION__]DEF+__POW__,防御成功時に防御値が上回った数値分のダメージを相手に与える|自らのオーラで茨を作り、攻撃者を捕らえる。","MS:D3+,E3+","2010-09-20 08:02:20 UTC","Ex Thorn Forest","Ex Forêt d'Epines","Ex가시나무 숲","Ex茨林","Ex茨林","EX Thorn Forest","Ex ป่าหนาม","[防御:__CONDITION__]DEF+__POW__, On a successful defense, your opponent takes damage equal to the points exceeding the cost of defense. |Create a thorny tangle that ensnares your attackers.","[防御:__CONDITION__]DEF + __POW__, Si vous avez plus de points de Défense que votre adversaire n'a de points d'Attaque, vos points de Défense restant seront utilisés pour lui infliger des dégâts.|Créez un manteau d'Epines avec votre aura et défaites votre","[防御:__CONDITION__]DEF+__POW__. 방어 성공시 방어력과 공격력의 차만큼 데미지를 입힌다. |가시덩쿨을 만들어 상대를 휘감는다. ","[防御:__CONDITION__]DEF+__POW__，防御成功时，对手受到与所超过之防御同值的伤害|以自身能量作出荊棘，攔阻攻击者。","[防御:__CONDITION__]DEF+__POW__,防禦成功時，對手受到與所超過之防禦同值的傷害|以自身能量作出荊棘，攔阻攻擊者。","[防御:__CONDITION__]DEF+__POW__. Memberikan damage kepada musuh sebanyak jumlah dadu putih ekstra pada Defense Phase.","[防御:__CONDITION__]DEF+__POW__, เมื่อป้องกันสำเร็จจะทำความเสียหายกับศัตรูตามจำนวนแต้มป้องกันที่เพิ่มขึ้น|สร้างหนามจากออร่าของตัวเองแล้วจับศัตรู"
10,"知略",35,2,,"cutinchara01_skl03.swf","[移動:__CONDITION__]カードを__POW__枚ドローする|戦場を掌握する頭脳。","LMS:W*3","2010-09-20 08:02:20 UTC","Intelligent Tactics","Esprit","지략","智略","智略","Intelligence","แคล่วคล่อง","[移動:__CONDITION__]Draw __POW__ cards. |The intelligence and cunning to seize control of the battleground.","[移動:__CONDITION__]Tirez__POW__ cartes.|Esprit prenant le contrôle du Duel.","[移動:__CONDITION__]카드를 __POW__장 드로우한다. |전장을 장악하는 지능. ","[移動:__CONDITION__]抽__POW__張卡片|掌握戰場的頭腦","[移動:__CONDITION__]抽__POW__張卡片|掌握戰場的頭腦","[移動:__CONDITION__] Mendapat __POW__ kartu. Keahlian untuk mengendalikan pertempuran.","[移動:__CONDITION__]จั่วการ์ด__POW__ใบ|ใช้ปัญญาควบคุมสนามรบ"
