"id","name","passive_skill_no","pow","effect_image","caption","created_at","name_en","name_fr","name_kr","name_scn","name_tcn","name_ina","name_thai","caption_en","caption_fr","caption_kr","caption_scn","caption_tcn","caption_ina","caption_thai"
1,"帝國戦術",1,2,,"毎ターン開始時、カードを2枚ドローする。|研ぎ澄まされた知略は戦場を意のままに操る。","2013-06-18 06:05:59 UTC","Imperial Tactics","Tactique impériale","a","帝国战术","帝國戰術","a","a","Draw 2 cards at the start of every turn. |The proven intelligent tactics can be utilized to control a battlefield arbitrarily.","Tirer 2 cartes lorsque chaque tour commence.|Il manipule la champ de bataille avec son esprit vif.","a","在每回合开始时抽2张牌。|千锤百炼的智略随心所欲地操纵战场。","在每回合開始時抽2張牌。|千錘百鍊的智略可以隨心所欲的操縱戰場。","a","a"
2,"臥薪嘗胆",2,1,,"防御時、遠・近距離ならば、ダイスダメージを受けてもHPは0にならない。|屈辱を胸にしてなお耐え忍ぶ鋼の意思。","2013-06-18 06:05:59 UTC","The Great Revival","Esprit Vengeur","a","卧薪尝胆","臥薪嚐膽","a","a","In the Defense Phase, your HP will not become zero even when you take Dice Damage in long or short range. |bear humiliation and keep it in mind with iron will.","Lorsque vous êtes en situation de Défense, vous ne subissez aucun dommage en Longue et Courte portée.|Volonté de fer.","a","防御阶段时处于远·近距离的话，受到骰伤HP也不会变成0。|忍受屈辱并牢记于心的钢铁意志。","防禦階段時處於遠·近距離的話，受到骰傷HP也不會變成0。|忍受屈辱並牢記於心的鋼鐵意志。","a","a"
3,"精神の器",3,1,,"毎ターン開始時、手札の特殊カードの枚数が相手と同数以下の場合、特殊カードを1枚奪う。|黒き貴公子に貢物を捧げよ。","2013-07-09 05:31:08 UTC","Spiritual Instrument","Récipient d'esprit","a","精神之器","精神之器","a","a","At the start of each turn, take one special card from your opponent when the number of your special cards is less than or equal to those of your opponent. |Offer a sacrifice to the evil prince.","Prendre 1 carte spéciale de votre adversaire à chaque commencement de tour.|Offrande au Prince Noir.","a","每回合开始时、手中的特殊卡数量少于或等于对手、夺取对手1张特殊卡。|向黑暗贵公子献上祭品吧。","每回合開始時、手中的特殊卡數量少於或等於對手、奪取對手1張特殊卡。|向黑暗貴公子獻上祭品吧。","a","a"
4,"剣聖",4,0,,"近距離の場合、攻撃時に相手の全ての必殺技を無効化する。|極めし剣の煌きは、何者をも凌駕する。","2013-07-09 05:32:09 UTC","The Holy Sword","épée sainte","a","剑圣","劍聖","a","a","For short range ATK, negate the effect of your opponent's all special moves. |A sharp blade can dominate everything.","En situation de courte portée, votre adversaire ne peut plus attaquer.|L'épée scintillante défait tout adversaire.","a","近距离攻击时，无效化对手所有的必杀技。|凛冽的剑芒足以凌驾一切。","近距離攻擊時，無效對手所有的必殺技。|凜冽的劍芒足以凌駕一切。","a","a"
5,"千古不朽",5,20,,"致命的なダメージを受けない。スタン状態にならない。詛呪の効果を軽減する。|大いなる存在に、その刃は届かない。","2013-07-09 05:32:09 UTC","The Immortal","Impérissable","a","千古不朽","千古不朽","a","a","Will not take fatal damage. Could not cause the Stun effect. Reduce the curse effect. |A great and invulnerable existence.","Vous ne subissez aucun dommage fatal. Vous ne vous évanouissez pas. Atténuez le [maléfice] dont vous souffrez.|Ce sabre ne peut transpercer la Vie.","a","不会受到致命的伤害。免疫晕眩。减轻诅咒效果。|刀枪不入的伟大存在。","不會受到致命的傷害。無法造成暈眩。減輕詛咒效果|偉大的存在，刀刃不侵。","a","a"
6,"レイジ",6,3,,"ダメージを受けた上位3キャラに対して二倍の攻撃力で反撃する。|","2013-10-16 16:55:00 +0900","Rage","Rage","a","愤怒","憤怒","a","a","With double ATK, fight back the top three characters who can deal the largest amount of damage.","Ripostez avec le double de puissance aux attaques des trois caractères blessés de votre adversaire.","a","以两倍的攻击力反击伤害输出前三名的角色。|","以兩倍的攻擊力反擊傷害輸出前三名的角色。|","a","a"
7,"創造主",7,10,"cutinmon099_00_psv00.swf","致命的なダメージを受けない。スタン状態にならない。詛呪の効果を軽減する。|世界を創造した者。","2013-10-16 16:55:00 +0900","The Creator","Créateur","a","造物主","創造主","a","a","Will not take fatal damage. Will not be stunned. Reduce the curse effect. |The Creator who created the world.","Vous ne subissez pas de dégât fatal. Vous ne vous évanouissez pas. Atténuez le [maléfice] dont vous souffrez.|Créateur du monde.",,"不会受到致命的伤害。免疫晕眩。减轻诅咒效果。|创造世界的造物主。","不會受到致命的傷害。不會暈眩。減輕詛咒效果|創造世界的造物主。",,
8,"バウンスバック",8,2,,"防御失敗時にダメージ数+2枚だけカードをドローする。|相手の攻撃さえも自分の攻撃の手段とする。","2013-10-16 16:55:00 +0900","Bounce Back","Bounce back",,"反弹","Bounce Back",,,"On a failed defense, draw a card for each point of damage you take, and 2 more cards. |Transform your opponent's attack into your attack means.","Lorsque votre défense n'a pas fonctionné, tirez des cartes (nombre de dommages subis +2).|Utilisez l'attaque de votre adversaire.",,"防御失败时抽取与伤害值+2等量的牌。|连对手的攻击都可化为自己的攻击手段。","防禦失敗時抽取與傷害值+2等量的牌。|連對手的攻擊都可化為自己的攻擊手段。",,
9,"リンケージ",9,30,,"致命的なダメージを受けない。スタン状態にならない。詛呪の効果を軽減する。|自我を共有する無数の魂が短時間で入れ替わる。","2013-10-16 16:55:00 +0900","Linkage","Linkage",,"连动","連動",,,"Will not take fatal damage. Will not be stunned. Reduce the curse effect. |Countless souls with its own will alternate in a short time.","Vous ne subissez pas de dégât fatal. Vous ne vous évanouissez pas. Atténuez le [maléfice] dont vous souffrez.|Les innombrables âmes en vous sont remplacées en un court laps de temps.",,"不会受到致命的伤害。免疫晕眩。减轻诅咒的效果。|共有自我的无数灵魂在短时间之内交替。","不會受到致命的傷害。不會暈眩。減輕詛咒的效果。|共有自我的無數靈魂在短時間之內交替。",,
10,"リベレーション",10,0,,"自身の封印状態を確率的に解除する。|押さえ込むことの出来ぬ獰猛な魂。",,"Revelation","Libération",,"解放","解放",,,"Your sealed status may be removed. |A fierce soul that cannot be suppressed.","Annuler votre état [Sceau].|Personne ne peut contrôler cet esprit féroce.",,"以一定的几率解除自己封印状态。|无法抑制的凶猛灵魂。","機率性解除自己封印狀態。|無法抑制的兇猛靈魂。",,
