"id","name","monstar_no","treasure_no","event_no","stage","caption","name_en","name_fr","name_kr","name_scn","name_tcn","name_ina","name_thai","caption_en","caption_fr","caption_kr","caption_scn","caption_tcn","caption_ina","caption_thai"
1,"舗装された道",0,0,0,2,"人の手が入った歩きやすい道","Paved Road","Route pavée","포장된 길","修葺整齐的道路","鋪修過的道路","Paved Road","ถนนที่ปูทางแล้ว","A road constructed by humans to be easy to walk on.","Une route pavée par les gens","사람이 만들어 놓은 걷기 편한 길","休整过的平坦道路","經過鋪修的平坦道路","Jalan yang ditapaki oleh manusia.","ถนนที่มนุษย์สามารถเดินได้ง่าย"
2,"舗装された道",0,50001,0,2,"人の手が入った歩きやすい道","Paved Road","Route pavée","포장된 길","修葺整齐的道路","鋪修過的道路","Paved Road","ถนนที่ปูทางแล้ว","A road constructed by humans to be easy to walk on.","Une route pavée par les gens","사람이 만들어 놓은 걷기 편한 길","休整过的平坦道路","經過鋪修的平坦道路","Jalan yang ditapaki oleh manusia.","ถนนที่มนุษย์สามารถเดินได้ง่าย"
3,"☆舗装された道",0,20011,0,2,"人の手が入った歩きやすい道","☆Paved Road","☆Route pavée","☆포장된 길","☆修葺整齐的道路","☆鋪修過的道路","☆Paved Road","☆ถนนที่ปูทางแล้ว","A road constructed by humans to be easy to walk on.","Une route pavée par les gens","사람이 만들어 놓은 걷기 편한 길","休整过的平坦道路","經過鋪修的平坦道路","Jalan yang ditapaki oleh manusia.","ถนนที่มนุษย์สามารถเดินได้ง่าย"
4,"★舗装された道",0,1,0,2,"人の手が入った歩きやすい道","★Paved Road","★Route pavée","★포장된 길","★修葺整齐的道路","★鋪修過的道路","★Paved Road","★ถนนที่ปูทางแล้ว","A road constructed by humans to be easy to walk on.","Une route pavée par les gens","사람이 만들어 놓은 걷기 편한 길","休整过的平坦道路","經過鋪修的平坦道路","Jalan yang ditapaki oleh manusia.","ถนนที่มนุษย์สามารถเดินได้ง่าย"
5,"森の小道",0,0,0,1,"穏やかな獣道","A Path in the Forest","Un Chemin dans la Forêt","숲속의 좁은 길","森林小道","森林小道","Forest Path","ถนนเส้นเล็กในป่า","A quiet animal track.","Une piste animale tranquille","조용한 숲 속의 좁은 길","祥和的野兽通道","穩靜的獸道","Jalur hewan yang sunyi.","ทางเดินของสัตว์ป่าที่เงียบสงบ"
6,"森の小道",0,50002,0,1,"穏やかな獣道","A Path in the Forest","Un Chemin dans la Forêt","숲속의 좁은 길","森林小道","森林小道","Forest Path","ถนนเส้นเล็กในป่า","A quiet animal track.","Une piste animale tranquille","조용한 숲 속의 좁은 길","祥和的野兽通道","穩靜的獸道","Jalur hewan yang sunyi.","ทางเดินของสัตว์ป่าที่เงียบสงบ"
7,"☆森の小道",0,20033,0,1,"穏やかな獣道","☆A Path in the Forest","☆Un Chemin dans la Forêt","☆숲속의 좁은 길","☆森林小道","☆森林小道","☆Forest Path","☆ถนนเส้นเล็กในป่า","A quiet animal track.","Une piste animale tranquille","조용한 숲 속의 좁은 길","祥和的野兽通道","穩靜的獸道","Jalur hewan yang sunyi.","ทางเดินของสัตว์ป่าที่เงียบสงบ"
8,"★森の小道",0,11,0,1,"穏やかな獣道","★A Path in the Forest","★Un Chemin dans la Forêt","★숲속의 좁은 길","★森林小道","★森林小道","★Forest Path","★ถนนเส้นเล็กในป่า","A quiet animal track.","Une piste animale tranquille","조용한 숲 속의 좁은 길","祥和的野兽通道","穩靜的獸道","Jalur hewan yang sunyi.","ทางเดินของสัตว์ป่าที่เงียบสงบ"
9,"静寂なる丘",0,0,0,6,"緑が垣間見える小高い丘","Silent Hill","Colline silencieuse","고요한 언덕","沉寂之丘","寂靜之丘","Silent Hill","เนินเขาอันเงียบสงบ","A small hill bordered in greenery.","Une colline où vous pouvez voir un coup d'oeil furtif de la prairie","초원이 보이는 조그만 언덕","绿影斑驳的小山坡","綠影斑駁的小高丘","Bukit tempat mengintip padang rumput.","เนินเขาสีเขียวเตี้ยๆ"
10,"静寂なる丘",0,50001,0,6,"緑が垣間見える小高い丘","Silent Hill","Colline silencieuse","고요한 언덕","沉寂之丘","寂靜之丘","Silent Hill","เนินเขาอันเงียบสงบ","A small hill bordered in greenery.","Une colline où vous pouvez voir un coup d'oeil furtif de la prairie","초원이 보이는 조그만 언덕","绿影斑驳的小山坡","綠影斑駁的小高丘","Bukit tempat mengintip padang rumput.","เนินเขาสีเขียวเตี้ยๆ"
11,"☆静寂なる丘",0,20037,0,6,"緑が垣間見える小高い丘","☆Silent Hill","☆Colline silencieuse","☆고요한 언덕","☆沉寂之丘","☆寂靜之丘","☆Silent Hill","☆เนินเขาอันเงียบสงบ","A small hill bordered in greenery.","Une colline où vous pouvez voir un coup d'oeil furtif de la prairie","초원이 보이는 조그만 언덕","绿影斑驳的小山坡","綠影斑駁的小高丘","Bukit tempat mengintip padang rumput.","เนินเขาสีเขียวเตี้ยๆ"
12,"★静寂なる丘",0,21,0,6,"緑が垣間見える小高い丘","★Silent Hill","★Colline silencieuse","★고요한 언덕","★沉寂之丘","★寂靜之丘","★Silent Hill","★เนินเขาอันเงียบสงบ","A small hill bordered in greenery.","Une colline où vous pouvez voir un coup d'oeil furtif de la prairie","초원이 보이는 조그만 언덕","绿影斑驳的小山坡","綠影斑駁的小高丘","Bukit tempat mengintip padang rumput.","เนินเขาสีเขียวเตี้ยๆ"
13,"宝石の森",0,0,0,1,"財宝の眠る地","Treasure Forest","Foret de Tresor","보석의 숲","宝石之森","寶石森林","Treasure Forest","ป่าอัญมณี","A sleepy forest concealing treasure.","La terre de trésor caché","보석이 잠들어 있는 숲","财宝的沉眠地","沉眠著寶物的土地","Tanah hartu karun tersebunyi.","พื้นที่ที่มีอัญมณีหลับใหลอยู่"
14,"宝石の森",0,50002,0,1,"財宝の眠る地","Treasure Forest","Foret de Tresor","보석의 숲","宝石之森","寶石森林","Treasure Forest","ป่าอัญมณี","A sleepy forest concealing treasure.","La terre de trésor caché","보석이 잠들어 있는 숲","财宝的沉眠地","沉眠著寶物的土地","Tanah hartu karun tersebunyi.","พื้นที่ที่มีอัญมณีหลับใหลอยู่"
15,"☆宝石の森",0,20003,0,1,"財宝の眠る地","☆Treasure Forest","☆Foret de Tresor","☆보석의 숲","☆宝石之森","☆寶石森林","☆Treasure Forest","☆ป่าอัญมณี","A sleepy forest concealing treasure.","La terre de trésor caché","보석이 잠들어 있는 숲","财宝的沉眠地","沉眠著寶物的土地","Tanah hartu karun tersebunyi.","พื้นที่ที่มีอัญมณีหลับใหลอยู่"
16,"★宝石の森",0,31,0,1,"財宝の眠る地","★Treasure Forest","★Foret de Tresor","★보석의 숲","★宝石之森","★寶石森林","★Treasure Forest","★ป่าอัญมณี","A sleepy forest concealing treasure.","La terre de trésor caché","보석이 잠들어 있는 숲","财宝的沉眠地","沉眠著寶物的土地","Tanah hartu karun tersebunyi.","พื้นที่ที่มีอัญมณีหลับใหลอยู่"
17,"採掘場",0,0,0,7,"閉鎖された鉱山","Mine","Mine","채굴장","开采场","採掘場","Mine","เหมืองแร่","An abandoned mine.","Un fermé en bas de mine","폐쇄된 광산","封锁的矿山","封鎖的礦山","Tambang yang ditutup.","เหมืองแร่ที่ถูกปิดตาย"
18,"採掘場",0,50001,0,7,"閉鎖された鉱山","Mine","Mine","채굴장","开采场","採掘場","Mine","เหมืองแร่","An abandoned mine.","Un fermé en bas de mine","폐쇄된 광산","封锁的矿山","封鎖的礦山","Tambang yang ditutup.","เหมืองแร่ที่ถูกปิดตาย"
19,"☆採掘場",0,20022,0,7,"閉鎖された鉱山","☆Mine","☆Mine","☆채굴장","☆开采场","☆採掘場","☆Mine","☆เหมืองแร่","An abandoned mine.","Un fermé en bas de mine","폐쇄된 광산","封锁的矿山","封鎖的礦山","Tambang yang ditutup.","เหมืองแร่ที่ถูกปิดตาย"
20,"★採掘場",0,41,0,7,"閉鎖された鉱山","★Mine","★Mine","★채굴장","★开采场","★採掘場","★Mine","★เหมืองแร่","An abandoned mine.","Un fermé en bas de mine","폐쇄된 광산","封锁的矿山","封鎖的礦山","Tambang yang ditutup.","เหมืองแร่ที่ถูกปิดตาย"
21,"新緑の林",0,0,0,1,"新芽が息吹く林","Fresh Forest","Foret Fraiche","신록의 숲","新绿之林","嫩綠之林","Verdure Forest","ป่าเขียวชอุ่ม","A young forest where the air is fresh.","Bois où beaucoup de pousses assainissent l'air","새싹이 숨쉬는 숲","新芽蓬勃生长的树林","新芽彌漫的森林","Hutan yang dipenuhi tumbuhan pembersih udara.","ป่าที่ต้นอ่อนกำลังแตกยอด"
22,"新緑の林",0,50003,0,1,"新芽が息吹く林","Fresh Forest","Foret Fraiche","신록의 숲","新绿之林","嫩綠之林","Verdure Forest","ป่าเขียวชอุ่ม","A young forest where the air is fresh.","Bois où beaucoup de pousses assainissent l'air","새싹이 숨쉬는 숲","新芽蓬勃生长的树林","新芽彌漫的森林","Hutan yang dipenuhi tumbuhan pembersih udara.","ป่าที่ต้นอ่อนกำลังแตกยอด"
23,"☆新緑の林",0,20019,0,1,"新芽が息吹く林","☆Fresh Forest","☆Foret Fraiche","☆신록의 숲","☆新绿之林","☆嫩綠之林","☆Verdure Forest","☆ป่าเขียวชอุ่ม","A young forest where the air is fresh.","Bois où beaucoup de pousses assainissent l'air","새싹이 숨쉬는 숲","新芽蓬勃生长的树林","新芽彌漫的森林","Hutan yang dipenuhi tumbuhan pembersih udara.","ป่าที่ต้นอ่อนกำลังแตกยอด"
24,"★新緑の林",0,51,0,1,"新芽が息吹く林","★Fresh Forest","★Foret Fraiche","★신록의 숲","★新绿之林","★嫩綠之林","★VerdureForest","★ป่าเขียวชอุ่ม","A young forest where the air is fresh.","Bois où beaucoup de pousses assainissent l'air","새싹이 숨쉬는 숲","新芽蓬勃生长的树林","新芽彌漫的森林","Hutan yang dipenuhi tumbuhan pembersih udara.","ป่าที่ต้นอ่อนกำลังแตกยอด"
25,"古代樹",0,0,0,1,"古くから存在しているとされる大樹","Ancient Tree","Arbre ancien","고대나무","古代树","古代樹","Ancient Tree","ต้นไม้โบราณ","A huge tree said to have existed from ancient times.","Un arbre énorme a dit pour avoir existé de temps anciens","먼 옛날부터 존재했다는 큰 나무","传说从远古开始就有的大树","自古以來就存在的大樹","Pohon raksasa yang konon berasal dari jaman purba.","ต้นไม้ใหญ่ที่มีชีวิตมาแต่สมัยโบราณ"
26,"古代樹",0,50003,0,1,"古くから存在しているとされる大樹","Ancient Tree","Arbre ancien","고대나무","古代树","古代樹","Ancient Tree","ต้นไม้โบราณ","A huge tree said to have existed from ancient times.","Un arbre énorme a dit pour avoir existé de temps anciens","먼 옛날부터 존재했다는 큰 나무","传说从远古开始就有的大树","自古以來就存在的大樹","Pohon raksasa yang konon berasal dari jaman purba.","ต้นไม้ใหญ่ที่มีชีวิตมาแต่สมัยโบราณ"
27,"☆古代樹",0,20028,0,1,"古くから存在しているとされる大樹","☆Ancient Tree","☆Arbre ancien","☆고대나무","☆古代树","☆古代樹","☆Ancient Tree","☆ต้นไม้โบราณ","A huge tree said to have existed from ancient times.","Un arbre énorme a dit pour avoir existé de temps anciens","먼 옛날부터 존재했다는 큰 나무","传说从远古开始就有的大树","自古以來就存在的大樹","Pohon raksasa yang konon berasal dari jaman purba.","ต้นไม้ใหญ่ที่มีชีวิตมาแต่สมัยโบราณ"
28,"★古代樹",0,61,0,1,"古くから存在しているとされる大樹","★Ancient Tree","★Arbre ancien","★고대나무","★古代树","★古代樹","★Ancient Tree","★ต้นไม้โบราณ","A huge tree said to have existed from ancient times.","Un arbre énorme a dit pour avoir existé de temps anciens","먼 옛날부터 존재했다는 큰 나무","传说从远古开始就有的大树","自古以來就存在的大樹","Pohon raksasa yang konon berasal dari jaman purba.","ต้นไม้ใหญ่ที่มีชีวิตมาแต่สมัยโบราณ"
29,"街の郊外",0,0,0,5,"スラム街の郊外にある静かな場所","Suburbs","Faubourgs","마을 교외","城市之郊","街道郊區","Suburbs","ชานเมือง","A quiet neighborhood on the outskirts of the slums.","Place tranquille en dehors du quartier pauvre.","빈민가의 교외에 있는 조용한 장소","坐落在贫民街郊外的宁静之地","在貧民街郊外的寧靜場所","Tempat sunyi diluar kawasan kumuh.","สถานที่เงียบสงบชานเมืองสลัม"
30,"街の郊外",0,50003,0,5,"スラム街の郊外にある静かな場所","Suburbs","Faubourgs","마을 교외","城市之郊","街道郊區","Suburbs","ชานเมือง","A quiet neighborhood on the outskirts of the slums.","Place tranquille en dehors du quartier pauvre.","빈민가의 교외에 있는 조용한 장소","坐落在贫民街郊外的宁静之地","在貧民街郊外的寧靜場所","Tempat sunyi diluar kawasan kumuh.","สถานที่เงียบสงบชานเมืองสลัม"
31,"☆街の郊外",0,20012,0,5,"スラム街の郊外にある静かな場所","☆Suburbs","☆Faubourgs","☆마을 교외","☆城市之郊","☆街道郊區","☆Suburbs","☆ชานเมือง","A quiet neighborhood on the outskirts of the slums.","Place tranquille en dehors du quartier pauvre.","빈민가의 교외에 있는 조용한 장소","坐落在贫民街郊外的宁静之地","在貧民街郊外的寧靜場所","Tempat sunyi diluar kawasan kumuh.","สถานที่เงียบสงบชานเมืองสลัม"
32,"★街の郊外",0,71,0,5,"スラム街の郊外にある静かな場所","★Suburbs","★Faubourgs","★마을 교외","★城市之郊","★街道郊區","★Suburbs","★ชานเมือง","A quiet neighborhood on the outskirts of the slums.","Place tranquille en dehors du quartier pauvre.","빈민가의 교외에 있는 조용한 장소","坐落在贫民街郊外的宁静之地","在貧民街郊外的寧靜場所","Tempat sunyi diluar kawasan kumuh.","สถานที่เงียบสงบชานเมืองสลัม"
33,"教会",0,0,0,7,"閑散とした場所に佇む教会","Church","Église","교회","教堂","教會","Church","โบสถ์","An old Church in a quiet spot.","Une Église dans la place tranquille.","한적한 장소에 우두커니 서 있는 교회","伫立在清静之地的教堂","佇立在安靜場所的教會","Sebuah gereja di tempat yang sunyi.","โบสถ์ร้างที่เงียบเหงา"
34,"教会",0,50003,0,7,"閑散とした場所に佇む教会","Church","Église","교회","教堂","教會","Church","โบสถ์","An old Church in a quiet spot.","Une Église dans la place tranquille.","한적한 장소에 우두커니 서 있는 교회","伫立在清静之地的教堂","佇立在安靜場所的教會","Sebuah gereja di tempat yang sunyi.","โบสถ์ร้างที่เงียบเหงา"
35,"☆教会",0,20004,0,7,"閑散とした場所に佇む教会","☆Church","☆Église","☆교회","☆教堂","☆教會","☆Church","☆โบสถ์","An old Church in a quiet spot.","Une Église dans la place tranquille.","한적한 장소에 우두커니 서 있는 교회","伫立在清静之地的教堂","佇立在安靜場所的教會","Sebuah gereja di tempat yang sunyi.","โบสถ์ร้างที่เงียบเหงา"
36,"★教会",0,81,0,7,"閑散とした場所に佇む教会","★Church","★Église","★교회","★教堂","★教會","★Church","★โบสถ์","An old Church in a quiet spot.","Une Église dans la place tranquille.","한적한 장소에 우두커니 서 있는 교회","伫立在清静之地的教堂","佇立在安靜場所的教會","Sebuah gereja di tempat yang sunyi.","โบสถ์ร้างที่เงียบเหงา"
37,"審判の丘",0,0,0,6,"レジメントが処刑されたとされる丘","Judgment Hill","Colline du jugement","심판의 언덕","审判之丘","審判之丘","Judgment Hill","เนินพิพากษา","A hill where soldiers of the Regiment were executed.","La colline où le Régiment a exécuté","레지멘트가 처형되었다는 언덕","联队被处决的山丘","連隊成員被處刑的山丘","Bukit tempat Regiment dieksekusi.","เนินเขาที่ถูกใช้เป็นลานประหารของกองทัพ"
38,"審判の丘",0,50003,0,6,"レジメントが処刑されたとされる丘","Judgment Hill","Colline du jugement","심판의 언덕","审判之丘","審判之丘","Judgment Hill","เนินพิพากษา","A hill where soldiers of the Regiment were executed.","La colline où le Régiment a exécuté","레지멘트가 처형되었다는 언덕","联队被处决的山丘","連隊成員被處刑的山丘","Bukit tempat Regiment dieksekusi.","เนินเขาที่ถูกใช้เป็นลานประหารของกองทัพ"
39,"☆審判の丘",0,20028,0,6,"レジメントが処刑されたとされる丘","☆Judgment Hill","☆Colline du jugement","☆심판의 언덕","☆审判之丘","☆審判之丘","☆Judgment Hill","☆เนินพิพากษา","A hill where soldiers of the Regiment were executed.","La colline où le Régiment a exécuté","레지멘트가 처형되었다는 언덕","联队被处决的山丘","連隊成員被處刑的山丘","Bukit tempat Regiment dieksekusi.","เนินเขาที่ถูกใช้เป็นลานประหารของกองทัพ"
40,"★審判の丘",0,91,0,6,"レジメントが処刑されたとされる丘","★Judgment Hill","★Colline du jugement","★심판의 언덕","★审判之丘","★審判之丘","★Judgment Hill","★เนินพิพากษา","A hill where soldiers of the Regiment were executed.","La colline où le Régiment a exécuté","레지멘트가 처형되었다는 언덕","联队被处决的山丘","連隊成員被處刑的山丘","Bukit tempat Regiment dieksekusi.","เนินเขาที่ถูกใช้เป็นลานประหารของกองทัพ"
41,"血塗れの湖",0,0,0,3,"妖魔の血液で濁った湖","Murky Lake","Lac obscur","피로 물든 호수","血之湖","染血之湖","Murky Lake","ทะเลสาบโลหิต","A lake darkened by the blood of monsters.","Le lac sanglant.","요마의 피로 물든 호수","妖魔之血搅浑的湖泊","被妖魔的血汙濁了的湖","Danau berdarah.","ทะเลสาบที่แปดเปื้อนเลือดของปิศาจ"
42,"血塗れの湖",0,50004,0,3,"妖魔の血液で濁った湖","Murky Lake","Lac obscur","피로 물든 호수","血之湖","染血之湖","Murky Lake","ทะเลสาบโลหิต","A lake darkened by the blood of monsters.","Le lac sanglant.","요마의 피로 물든 호수","妖魔之血搅浑的湖泊","被妖魔的血汙濁了的湖","Danau berdarah.","ทะเลสาบที่แปดเปื้อนเลือดของปิศาจ"
43,"☆血塗れの湖",0,20028,0,3,"妖魔の血液で濁った湖","☆Murky Lake","☆Lac obscur","☆피로 물든 호수","☆血之湖","☆染血之湖","☆Murky Lake","☆ทะเลสาบโลหิต","A lake darkened by the blood of monsters.","Le lac sanglant.","요마의 피로 물든 호수","妖魔之血搅浑的湖泊","被妖魔的血汙濁了的湖","Danau berdarah.","ทะเลสาบที่แปดเปื้อนเลือดของปิศาจ"
44,"★血塗れの湖",0,101,0,3,"妖魔の血液で濁った湖","★Murky Lake","★Lac obscur","★피로 물든 호수","★血之湖","★染血之湖","★Murky Lake","★ทะเลสาบโลหิต","A lake darkened by the blood of monsters.","Le lac sanglant.","요마의 피로 물든 호수","妖魔之血搅浑的湖泊","被妖魔的血汙濁了的湖","Danau berdarah.","ทะเลสาบที่แปดเปื้อนเลือดของปิศาจ"
