"id","name","caption","region","level","ap","difficulty","name_en","name_fr","name_kr","name_scn","name_tcn","name_ina","name_thai","caption_en","caption_fr","caption_kr","caption_scn","caption_tcn","caption_ina","caption_thai"
1,"魔女の谷","聖女の館に続く薄暗く不気味な谷。",0,1,1,3,"Valley of the Witch","Vallée de la Sorcière","마녀의 계곡","魔女之谷","魔女山谷","Witch Valley","หมู่บ้านแม่มด","A dark and foreboding valley that continues on to the hall of the Fire Goddess.","Vallée terrifiante qui mène au Saint Château","성녀의 저택으로 이어진 어둡고 기분 나쁜 계곡.","通向圣女馆的阴暗山谷。","通往聖女之館的昏暗陰森山谷。","Lembah gelap mengerikan menuju kastil Orang Suci.","หมู่บ้านประหลาดที่มีแสงสลัวต่อไปยังคฤหาสน์สตรีศักดิ์สิทธิ์"
2,"隠者の道","世捨て人が力を求めさまよった荒野の道",0,3,1,3,"Hermit Road","Route des Ermites","은자의 길","隐士之道","隱者之道","Hermit Road","ถนนลักซ่อน","A road through wilderness, sometimes wandered by hermits to obtain power.","Route déserte que les ermites trouvèrent alors qu'ils étaient à la recherche de pouvoir","세상을 등진 자들이 힘을 구하기 위해 방황하는 황야의 길.","不断有追求力量的避世之人往来的荒野之路。","遠離塵世的人為了尋求力量而徘徊的荒野小道。","Jalan setapak yang ditemukan oleh seorang pertapa saat bertualang mencari kekuatan.","ถนนในป่าที่ผู้บำเพ็ญเพียรแสวงหาพลังหลงวนเวียนอยู่"
3,"人狼の住処","人食いの獣が住む魔の森",0,8,1,3,"Forest of the Wolfman","Forêt de Wolman","인랑의 거처","人狼之家","人狼家園","Wolven Forest","รังมนุษย์หมาป่า","This forest is home to man eating beasts.","Forêt maléfique où vit un Monstre dévoreur d'Hommes.","식인 짐승이 살고 있는 마의 숲.","食人兽聚集的魔之森。","有食人獸居住的魔物森林。","Hutan kegelapan tempat tinggal makhluk pembantai manusia.","ป่าเวทมนตร์ที่มีสัตว์ร้ายกินคนอาศัยอยู่"
4,"黒の森","邪悪な侏儒たちは暗い森で宴をひらく。",1,12,1,8,"Black Forest","Forêt Noire","검은 숲","黑之森","黑森林","Black Forest","ป่าสีดำ","Wicked dwarves are known to feast in this dark forest.","Bois sombres dans lesquels les nains malins festoient. ","사악한 유령들은 어두운 숲에서 연회를 연다.","邪恶的小矮人在黑暗的森林里举办宴会。","邪惡的小矮人們在陰暗森林裡開宴會。","Didalam hutan, para Goblin jahat berpesta.","ป่าอันมืดมิดที่เหล่าก็อบลินชั่วร้ายจัดงานฉลองอยู่"
5,"掃きだめの街道","行き先のないものが歩く黄昏れた道",1,14,1,10,"Vagabonds' Road","Route des Sans-abris","방랑의 거리","无法清扫的街道","垃圾之街","Homeless Path","ถนนขยะ","Those with no destination sometimes follow this road to the horizon.","Route solitaire sur laquelle les Sans-abris errent.","갈 곳 없는 자들이 걷는 황혼이 짙은 길.","漫无目的之人行走的黄昏之路。","無處可去的人們所行走的黃昏小道。","Jalan sunyi yang dilewati orang tanpa tempat tinggal.","ถนนยามสายัณห์ที่คนไร้ที่ไปเดินผ่าน"
6,"名伏せられし丘","人々から忘れ去られた丘にはいつからか「魔」が潜む",1,16,2,12,"Nameless Hill","Colline au nom inconnu","잊혀진 언덕","无名丘","無名之丘","Forgotten Hill","เนินซ่อนนาม","A daemon lies dormant in this hill, long forgotten by people.","Un démon se cache à l'ombre de cette colline oubliée. ","사람들에게 잊혀진 언덕 언제부턴가 마의 존재가 숨어들었다.","妖魔不知何时已悄然潜入被人们遗忘的山丘之中。","被人們所遺忘的山丘，在不知何時開始遭到了魔物入侵。","Iblis berdiam di dalam bayangan bukit yang terlupakan ini.","เนินเขาที่ถูกผู้คนหลงลืมจนมี [ปิศาจ] มาสิงสู่อยู่"
7,"修道院廃墟","静謐な祈りが毎日ささげられた場所はいまでは邪悪な魂がただよう奇怪な場所に。",1,18,2,15,"Monastic Ruins","Ruines du Monastère","폐허 수도원","修道院废墟","修道院廢墟","Monastery Ruin","โบสถ์ร้าง","Evil souls now haunt this once holy place.","A autrefois été un monastère sacré mais est désormais peuplé d'esprits mauvais. ","정렴한 기도가 행해지던 장소는 언제부턴가 사악한 혼이 떠도는 기괴한 장소로 변했다","曾经每天进行祈祷的静谧之地已然成为邪恶之魂四处游荡的古怪之地。","曾經是每天靜謐的祈禱場所，現在卻成為邪惡魂魄遊蕩的古怪場所。","Kuil yang dulunya suci & damai kini menjadi tempat berkeliarannya jiwa-jiwa yang tersesat.","สถานที่ที่ผู้คนเคยกล่าวคำอธิษฐานอย่างสงบสุข ได้กลายเป็นสถานที่ลึกลับที่วิญญาณร้ายล่องลอยอยู่"
8,"物忌みの湖","冷たい湖の底には浮かばれない自殺者たちが沈んでいるという。",1,20,2,18,"Lake of Abstinence","Lac des Afamés","잊혀진 호수","斋戒之湖","齋戒之湖","Frozen Lake","ทะเลสาบต้องห้าม","They say that suicides rejected from heaven lie still in the bed of this ice cold lake","On dit que les âmes des suicidés, rejetées du Paradis, reposent dans ce lac glacé.","차가운 호수 바닥에는 떠오르지 못한 시체들이 가라앉아있다고 한다.","传说永远浮不出湖面的自杀者沉睡在冰冷的湖底。","據說冰冷的湖底沈睡著永不浮出水面的自殺者。","Konon arwah korban bunuh diri yang tidak dapat ke surga masih berdiam di dasar danau es ini.","กล่าวกันว่าร่างของผู้คนที่ฆ่าตัวตายไม่เคยลอยขึ้นมาจากทะเลสาบอันเย็นเยียบแห่งนี้"
9,"食人鬼の村","呪われた村に住む住人は呪われた姿になった。",1,22,3,22,"The Cannibal Village","Village du Démon Cannibale","식인귀의 가도","食人鬼之村","食人鬼村","Cannibal Village","หมู่บ้านปิศาจกินคน","Those who dwell in this cursed village have themselves become unrecognizable.","Les habitants de ce village hanté sont devenus des monstres.","저주받은 마을에 살던 주민은 모두 다 저주받은 모습으로 변했다.","受诅村落的村民以受诅姿态出现。","住在被詛咒的村莊裡的人們也都成了詛咒之身。","Penduduk desa berhantu ini telah menjadi monster.","ร่างต้องสาปที่กลายร่างมากจากผู้คนที่อาศัยอยู่ในหมู่บ้านต้องสาป"
10,"幽霊騎士の首塚","大昔、武勲をたたえられた騎士も今は己の首をもとめて無辜の人々の殺戮を続ける。",1,25,3,26,"Spectral Knights' Barrow","Tas de Têtes de Chevaliers","유령기사의 무덤","幽灵骑士的头颅坟","幽靈騎士的頭顱墓","Knights Skull Mountain","เชิงเขาอัศวินวิญญาณ","These once great knights now wander around in search of their heads, brutally killing innocent people who still have their own.","D'anciens Chevaliers errent, à la recherche de leur tête, en tuant d'innocentes victimes.","옛날 존경받던 기사들은 마의 존재에 무릎을 꿇고 무고한 사람들을 해하기 시작했다.","曾经战功显赫的骑士，如今为了得到自己的头颅，不断地杀害无辜之人。","許久以前曾建立過功勳的騎士們如今卻為了尋找自己的頭顱不斷殺戮著無辜的人。","Ksatria yang dulunya perkasa sekarang bergentayangan dan membunuh manusia secara brutal untuk mendapatkan kepala mereka.","อัศวินล่าสังหารจากสมัยโบราณ ที่ยังคงไล่เข่นฆ่าผู้บริสุทธิ์อย่างเหี้ยมโหดเพื่อตามหาหัวที่หายไปของตน"
