"lot_kind","article_kind","article_id","order","rarity","visible","image_url","description","num"
1,0,7,517,5,0,,"7 ホワイトヒース5 *4",4
1,0,12,516,5,0,,"12 超刻の砂時計 *4",4
1,0,10,515,5,0,,"10 複製チケット",1
1,0,3,514,5,0,,"3 魔女の秘薬 *3",3
1,0,8,513,5,0,,"8 スキップスター *3",3
1,0,21,512,5,0,,"21 モーフィアスの扉",1
1,0,27,511,5,0,,"27 人形の日記帳",1
1,0,37,510,5,0,,"37 神秘のクローゼット",1
1,4,303,509,5,0,,"303 マルセウス L3",1
1,4,323,508,5,0,,"323 リュカ L3",1
1,4,333,507,5,0,,"333 ステイシア L3",1
1,4,343,506,5,0,,"343 ヴォランド L3",1
1,4,353,505,5,0,,"353 C.C. L3",1
1,4,363,504,5,0,,"363 コッブ L3",1
1,4,373,503,5,0,,"373 イヴリン L3",1
1,4,393,502,5,0,,"393 カレンベルク L3",1
1,4,403,501,5,0,,"403 ネネム L3",1
1,4,413,500,5,0,,"413 コンラッド L3",1
1,4,723,411,4,0,,"723 ベロニカ L3",1
1,4,733,410,4,0,,"733 リカルド L3",1
1,4,743,409,4,0,,"743 マリネラ L3",1
1,4,753,408,4,0,,"753 モーガン L3",1
1,4,763,407,4,0,,"763 ジュディス L3",1
1,4,423,406,4,0,,"423 ビアギッテ L3",1
1,4,463,405,4,0,,"463 ルディア L3",1
1,4,473,404,4,0,,"473 ヴィルヘルム L3",1
1,4,483,403,4,0,,"483 メリー L3",1
1,4,493,402,4,0,,"493 ギュスターヴ L3",1
1,4,503,401,4,0,,"503 ユーリカ L3",1
1,4,513,400,4,0,,"513 リンナエウス L3",1
1,1,45,304,3,0,,"45 アメジスト・ドレス",1
1,1,46,303,3,0,,"46 ブルー・ドレス",1
1,1,47,302,3,0,,"47 ルビー・ドレス",1
1,2,6,301,3,0,,"6 剣6カード",1
1,2,14,300,3,0,,"14 銃6カード",1
1,4,523,201,2,0,,"523 ナディーン L3",1
1,4,2061,200,2,0,,"2061 ジェッド RE",1
1,4,586,102,1,0,,"586 シラーリー R1",1
1,4,186,101,1,0,,"186 ロッソ R1",1
1,4,397,100,1,0,,"397 カレンベルク R2",1
0,1,749,507,5,0,,"749 ジェミーの手提げ人形",1
0,1,460,506,5,0,,"460 メリーの手提げ人形",1
0,1,754,505,5,0,,"754 セルファースの手提げ人形",1
0,1,427,504,5,0,,"427 ステイシアの頭のせ人形",1
0,1,701,503,5,0,,"701 ジェミーの頭のせ人形",1
