"id","name","weapon_no","passive_id","card_cost","restriction","image","caption","weapon_type","material_use_cnt","material_add_param","material_exp","created_at","name_en","name_fr","name_kr","name_scn","name_tcn","name_ina","name_thai","caption_en","caption_fr","caption_kr","caption_scn","caption_tcn","caption_ina","caption_thai"
1,"エールナイフ",1,,0,,"item_b_a000.swf","近接ATK+1。妖魔の魂で精製された短剣。",0,10,16777216,5,"2010-06-17 10:24:09 UTC","El Knife","El Knife","엘 단검","妖魔短剑","妖魔短劍","Ales Knife","El Knife","Short Range ATK+1. An magical dagger.","Courte portée ATK+1. Couteau maudit.","근거리 ATK+1  /요마의 혼으로 정제된 단검","近距离攻击+1。妖魔之魂精製而成的短剑。","近距離攻擊+1。妖魔之魂精製而成的短劍。","SWORD ATK+1. Belati berhantu.","ATKใกล้+1 ดาบสั้นที่ตีขึ้นด้วยวิญญาณปิศาจ"
2,"エールチップ",2,,0,,"item_b_b000.swf","遠隔ATK+1。妖魔の魂で精製された弾薬。",0,10,256,5,"2010-06-18 08:30:02 UTC","El Clip","El Chip","엘 탄약","妖魔弹药","妖魔彈藥","Ales Chip","El Chip","Long Range ATK+1. Magic ammunition.","Longue portée ATK+1. Munitions maudites.","원거리 ATK+1  /요마의 혼으로 정제된 탄약","远距离攻击+1。妖魔之魂精製而成的弹药。","遠距離攻擊+1。妖魔之魂精製而成的彈藥。","GUN ATK+1. Bubuk mesiu berhantu.","ATKไกล+1 ระเบิดที่ทำขึ้นด้วยวิญญาณปิศาจ"
3,"エールリング",3,,0,,"item_b_c000.swf","ATK-1。DEF+1。妖魔の魂で精製された指輪。",0,10,65536,5,"2010-06-18 08:30:02 UTC","El Ring","El Ring","엘 반지","妖魔戒指","妖魔戒指","Ales Ring","El Ring","ATK-1. DEF+1. A magic ring.","ATK-1. DEF+1. Amulette maudite.","ATK-1，DEF+1  /요마의 혼으로 정제된 반지","攻击-1。防御+1。妖魔之魂精製而成的戒指。","攻擊-1。防禦+1。妖魔之魂精製而成的戒指。","ATK-1. DEF+1. Cincin berhantu.","ATK-1, DEF+1 แหวนที่ทำขึ้นด้วยวิญญาณปิศาจ"
4,"エールブレード",4,,0,,"item_b_a000.swf","近接ATK+2。DEF-1。妖魔の魂で精製された剣。",0,10,16777216,5,"2010-06-18 08:30:02 UTC","El Blade","El Blade","엘 장검","妖魔长剑","妖魔長劍","Ales Blade","El Blade","Short Range ATK+2. A magic sword.","Courte portée ATK+2. Epée maudite.","근거리 ATK+2，DEF-1  /요마의 혼으로 정제된 검","近距离攻击+2。防御-1。妖魔之魂精製而成的剑。","近距離攻擊+2。防禦-1。妖魔之魂精製而成的劍。","SWORD ATK+2. Pedang berhantu.","ATKใกล้+2, DEF-1ดาบที่ตีขึ้นด้วยวิญญาณปิศาจ"
5,"エールバレット",5,,0,,"item_b_a000.swf","遠隔ATK+2。DEF-1。妖魔の魂で精製された弾丸。",0,10,256,5,"2010-06-18 08:30:02 UTC","El Barrett","El Bullet","엘 탄환","妖魔子弹","妖魔子彈","Ales Bullet","El Bullet","Long Range ATK+2. DEF-1. A magic rifle.","Longue portée ATK+2. DEF-1 Balle maudite.","원거리 ATK+2，DEF-1  /요마의 혼으로 정제된 탄환","远距离攻击+2。防御-1。妖魔之魂精製而成的子弹。","遠距離攻擊+2。防禦-1。妖魔之魂精製而成的子彈。","GUN ATK+2. Peluru behantu.","ATKไกล+2, DEF+1ระเบิดที่ทำขึ้นด้วยวิญญาณปิศาจ"
6,"バリアントナイフ",6,,1,,"item_b_a001.swf","近接ATK+2。妖魔の魂が宿った短剣。",0,10,16777216,5,"2010-06-18 08:30:02 UTC","Valiant Knife","Valiant Knife","밸리언트 단검","勇者短剑","勇者短劍","Valiant Knife","Valiant Knife","Short Range ATK+2. A knife inhabited by the spirit of a hero.","Courte portée ATK+2. Poignard possédé.","근거리 ATK+2  /요마의 혼이 깃든 단검","近距离攻击+2。寄宿着妖魔之魂的短剑。","近距離攻擊+2。寄宿著妖魔之魂的短劍。","SWORD ATK+2. Belati berisi jiwa iblis.","ATKใกล้+2 ดาบสั้นที่มีวิญญาณปิศาจบรรจุอยู่"
7,"バリアントチップ",7,,1,,"item_b_b001.swf","遠隔ATK+2。妖魔の魂が宿った弾薬。",0,10,256,5,"2010-06-18 08:30:02 UTC","Valiant Clip","Valiant Chip","밸리언트 탄약","勇者弹药","勇者彈藥","Valiant Chip","Valiant Chip","Ranged attacks ATK+2. Ammunition imbued with heroic spirit energy.","Longue portée ATK+2. Munitions possédées.","원거리 ATK+2  /요마의 혼의 깃든 탄약","远距离攻击+2。寄宿着妖魔之魂的弹药。","遠距離攻擊+2。寄宿著妖魔之魂的彈藥。","GUN ATK+2. Bubuk mesiu berisi jiwa iblis.","ATKไกล+2 ระเบิดที่มีวิญญาณปิศาจบรรจุอยู่"
8,"バリアントリング",8,,1,,"item_b_c001.swf","ATK-2。DEF+2。妖魔の魂が宿った指輪。",0,10,65536,5,"2010-06-18 08:30:02 UTC","Valiant Ring","Valiant Ring","벨리언트 반지","勇者戒指","勇者戒指","Valiant Ring","Valiant Ring","ATK-2. DEF+2. A ring inhabited by the spirit of a hero.","ATK-2. DEF+2. Amulette possédé.","ATK-2，DEF+2  /요마의 혼이 깃든 반지","攻击-2。防御+2。寄宿着妖魔之魂的戒指。","攻擊-2。防禦+2。寄宿著妖魔之魂的戒指。","ATK-2. DEF+2. Cincin berisi jiwa iblis.","ATK-2, DEF+2 แหวนที่มีวิญญาณปิศาจบรรจุอยู่"
9,"バリアントブレード",9,,1,,"item_b_a000.swf","近接ATK+4。DEF-2。妖魔の魂が宿った剣。",0,10,16777216,5,"2010-06-18 08:30:02 UTC","Valiant Blade","Valiant Blade","벨리언트 장검","勇者长剑","勇者長劍","Valiant Blade","Valiant Blade","Short Range ATK+4. DEF-2. A sword inhabited by the spirit of a hero.","Courte portée ATK+4. DEF-2. Epée possédé.","근거리 ATK+4，DEF-2  /요마의 혼이 깃든 검","近距离攻击+4。防御-2。寄宿着妖魔之魂的剑。","近距離攻擊+4。防禦-2。寄宿著妖魔之魂的劍。","SWORD ATK+4. DEF-2. Pedang berisi jiwa iblis.","ATKใกล้+4, DEF-2 ดาบที่มีวิญญาณปิศาจบรรจุอยู่"
10,"バリアントバレット",10,,1,,"item_b_a000.swf","遠隔ATK+4。DEF-2。妖魔の魂が宿った弾丸。",0,10,256,5,"2010-06-18 08:30:02 UTC","Valiant Barrett","Valiant Bullet","벨리언트 탄환","勇者子弹","勇者子彈","Valiant Bullet","Valiant Bullet","Long Range ATK+4. DEF-2. An automatic rifle inhabited by the spirit of a hero.","Longue portée ATK+4. DEF-2 Balles possédés.","원거리 ATK+4  / DEF-2  /요마의 혼이 깃든 탄환","远距离攻击+4。防御-2。寄宿着妖魔之魂的子弹。","遠距離攻擊+4。防禦-2。寄宿著妖魔之魂的子彈。","GUN ATK+4. DEF-2. Peluru berisi jiwa iblis.","ATKไกล+4, DEF-2 ระเบิดที่มีวิญญาณปิศาจบรรจุอยู่"
