"id","kind","cond","items","prerequisite","exclusion","loop","caption","success_cond","explanation","event_start_at","event_end_at","caption_kr","explanation_kr"
1,0,1,"3/9/1/0",0,,0,"アバターを作成",0,,"2011-09-14 05:31:00 UTC",,"아바타 생성",
2,0,2,"3/9/1/0",1,,0,"アバターLv3達成",3,,"2011-09-14 05:31:00 UTC",,"아바타 [3레벨] 달성하기!",
3,0,3,"3/9/1/0",2,,0,"アバターLv5達成",5,,"2011-09-14 05:31:00 UTC",,"아바타 [5레벨] 달성하기!",
4,0,4,"3/9/1/0",3,,0,"アバターLv10達成",10,,"2011-09-14 05:31:00 UTC",,"아바타 [10레벨] 달성하기!",
5,0,5,"3/9/1/0",4,,0,"アバターLv15達成",15,,"2011-09-14 05:31:00 UTC",,"아바타 [15레벨] 달성하기!",
6,0,6,"3/9/1/0",5,,0,"アバターLv20達成",20,,"2011-09-14 05:31:00 UTC",,"아바타 [20레벨] 달성하기!",
7,0,7,"3/9/2/0",6,,0,"アバターLv30達成",30,,"2011-09-14 05:31:00 UTC",,"아바타 [30레벨] 달성하기!",
8,0,8,"3/9/2/0",7,,0,"アバターLv40達成",40,,"2011-09-14 05:31:00 UTC",,"아바타 [40레벨] 달성하기!",
9,0,9,"3/9/2/0",8,,0,"アバターLv50達成",50,,"2011-09-14 05:31:00 UTC",,"아바타 [50레벨] 달성하기!",
10,0,10,"3/9/2/0",9,,0,"アバターLv60達成",60,,"2011-09-14 05:31:00 UTC",,"아바타 [60레벨] 달성하기!",
11,0,11,"3/9/3/0",10,,0,"アバターLv70達成",70,,"2011-09-14 05:31:00 UTC",,"아바타 [70레벨] 달성하기!",
12,0,12,"3/9/3/0",11,,0,"アバターLv80達成",80,,"2011-09-14 05:31:00 UTC",,"아바타 [80레벨] 달성하기!",
13,0,13,"3/9/3/0",12,,0,"アバターLv90達成",90,,"2011-09-14 05:31:00 UTC",,"아바타 [90레벨] 달성하기!",
14,0,14,"3/9/5/0",13,,0,"アバターLv100達成",100,,"2011-09-14 05:31:00 UTC",,"아바타 [100레벨] 달성하기!",
15,0,15,"3/9/5/0",14,,0,"アバターLv110達成",110,,"2011-09-14 05:31:00 UTC",,"아바타 [110레벨] 달성하기!",
16,0,16,"3/9/5/0",15,,0,"アバターLv120達成",120,,"2011-09-14 05:31:00 UTC",,"아바타 [120레벨] 달성하기!",
17,0,17,"3/9/5/0",16,,0,"アバターLv130達成",130,,"2011-09-14 05:31:00 UTC",,"아바타 [130레벨] 달성하기!",
18,0,18,"3/9/5/0",17,,0,"アバターLv140達成",140,,"2011-09-14 05:31:00 UTC",,"아바타 [140레벨] 달성하기!",
19,0,19,"3/9/10/0",18,,0,"アバターLv150達成",150,,"2011-09-14 05:31:00 UTC",,"아바타 [150레벨] 달성하기!",
20,1,20,"3/8/1/0",0,,0,"デュエル1勝達成",1,,"2011-09-14 05:31:00 UTC",,"듀얼 [1승] 달성하기!",
21,1,21,"3/8/1/0",20,,0,"デュエル10勝達成",10,,"2011-09-14 05:31:00 UTC",,"듀얼 [10승] 달성하기!",
22,1,22,"3/8/1/0",21,,0,"デュエル30勝達成",30,,"2011-09-14 05:31:00 UTC",,"듀얼 [30승] 달성하기!",
23,1,23,"3/8/1/0",22,,0,"デュエル50勝達成",50,,"2011-09-14 05:31:00 UTC",,"듀얼 [50승] 달성하기!",
24,1,24,"4/80/1",23,,0,"デュエル100勝達成",100,,"2011-09-14 05:31:00 UTC",,"듀얼 [100승] 달성하기!",
25,1,25,"3/8/2/0",24,,0,"デュエル250勝達成",250,,"2011-09-14 05:31:00 UTC",,"듀얼 [250승] 달성하기!",
26,1,26,"4/81/1",25,,0,"デュエル500勝達成",500,,"2011-09-14 05:31:00 UTC",,"듀얼 [500승] 달성하기!",
27,1,27,"3/8/2/0",26,,0,"デュエル750勝達成",750,,"2011-09-14 05:31:00 UTC",,"듀얼 [750승] 달성하기!",
28,1,28,"4/82/1",27,,0,"デュエル1000勝達成",1000,,"2011-09-14 05:31:00 UTC",,"듀얼 [1000승] 달성하기!",
29,1,29,"3/8/4/0",28,,0,"デュエル1500勝達成",1500,,"2011-09-14 05:31:00 UTC",,"듀얼 [1500승] 달성하기!",
30,1,30,"3/8/5/0",29,,0,"デュエル2000勝達成",2000,,"2011-09-14 05:31:00 UTC",,"듀얼 [2000승] 달성하기!",
31,2,31,"3/3/1/0+5/0/3000/0",0,,0,"初期地域をクリア",0,"「魔女の谷」をクリアする","2011-09-14 05:31:00 UTC",,"초기지역 퀘스트 완료하기!","[마녀의 계곡] 을 클리어 하기"
32,2,32,"4/86/1",31,,0,"HexRealmをクリア",0,"HexRealmの最終地域「人狼の住処」をクリアする","2011-09-14 05:31:00 UTC",,"HexRealm 퀘스트 완료하기!","HexRealm의 최종지역 [인랑의 거처]를 클리어 하기"
33,2,33,"4/87/1",32,,0,"ShadowLandをクリア",0,"ShadowLandの最終地域「影斬り森」をクリアする","2011-09-14 05:31:00 UTC",,"ShadowLand 퀘스트 완료하기!","ShadowLand의 최종지역 [그림자 숲]을 클리어 하기"
34,2,34,"4/88/1",33,,0,"MoonLandをクリア",0,"MoonLandの最終地域「幻影城」をクリアする","2011-09-14 05:31:00 UTC",,"MoonLand 퀘스트 완료하기!","MoonLand의 최종지역 [환영성]을 클리어 하기 "
35,2,35,"4/138/1",34,,0,"Anemoneaをクリア",0,"Anemoneaの最終地域「翼竜の宝物庫」をクリアする","2011-09-14 05:31:00 UTC",,"Anemonea 퀘스트 완료하기!","Anemonea의 최종지역 [익룡의 보물창고]를 클리어 하기"
36,2,36,"4/230/1+4/231/1",35,,0,"AngelLandをクリア",0,"AngelLandの最終地域「玉座への回廊」をクリアする","2011-09-14 05:31:00 UTC",,"Angelland 퀘스트 완료하기!","AngelLand의 최종지역 [옥좌로 이어진 회랑]을 클리어 하기"
37,3,37,"3/3/1/0",0,,0,"フレンドを1人追加",1,,"2011-09-14 05:31:00 UTC",,"친구 [1명] 추가하기!",
38,3,38,"3/9/1/0",37,,0,"フレンドを5人追加",5,,"2011-09-14 05:31:00 UTC",,"친구 [5명] 추가하기!",
39,3,39,"3/27/1",38,,0,"フレンドを10人追加",10,,"2011-09-14 05:31:00 UTC",,"친구 [10명] 추가하기!",
40,3,40,"3/9/3/0",39,,0,"フレンドを30人追加",30,,"2011-09-14 05:31:00 UTC",,"친구 [30명] 추가하기!",
41,3,41,"3/28/1",40,,0,"フレンドを50人追加",50,,"2011-09-14 05:31:00 UTC",,"친구 [50명] 추가하기!",
42,3,42,"3/9/5/0",41,,0,"フレンドを100人追加",100,,"2011-09-14 05:31:00 UTC",,"친구 [100명] 추가하기!",
43,4,43,"4/96/1",0,,0,"一周年記念コインを5枚集める",0,,"2011-09-14 05:31:00 UTC","2011-11-02 03:00:00 UTC","1주년 기념코인 [5장] 모으기!",
44,4,44,"4/95/1",43,,0,"一周年記念コインを10枚集める",0,,"2011-09-14 05:31:00 UTC","2011-11-02 03:00:00 UTC","1주년 기념코인 [10장] 모으기!",
45,4,45,"4/94/1",44,,0,"一周年記念コインを15枚集める",0,,"2011-09-14 05:31:00 UTC","2011-11-02 03:00:00 UTC","1주년 기념코인 [15장] 모으기!",
46,4,46,"1/201/1",45,,0,"一周年記念コインを20枚集める",0,,"2011-09-14 05:31:00 UTC","2011-11-02 03:00:00 UTC","1주년 기념코인 [20장] 모으기!",
47,4,47,"4/99/1",46,,0,"一周年記念コインを30枚集める",0,,"2011-09-14 05:31:00 UTC","2011-11-02 03:00:00 UTC","1주년 기념코인 [30장] 모으기!",
