"id","u_type","u_value","b_type","b_value","event_no","caption","image","created_at","caption_kr"
1,1,1,3,1,0,,,"2010-06-24 05:44:25 UTC",
2,1,1,3,1,0,,,"2010-06-24 05:44:25 UTC",
3,1,2,3,1,0,,,"2010-06-24 05:44:25 UTC",
4,1,2,3,2,0,,,"2010-06-24 05:44:25 UTC",
5,1,3,3,3,0,,,"2010-06-24 05:44:25 UTC",
6,2,1,4,1,0,,,"2010-06-24 05:44:25 UTC",
7,2,1,4,1,0,,,"2010-06-24 05:44:25 UTC",
8,2,1,4,1,0,,,"2010-06-24 05:44:25 UTC",
9,2,2,4,1,0,,,"2010-06-24 05:44:25 UTC",
10,2,3,4,1,0,,,"2010-06-24 05:44:25 UTC",
11,5,1,1,1,0,,,"2010-06-24 05:44:25 UTC",
12,5,1,2,2,0,,,"2010-06-24 05:44:25 UTC",
13,5,1,1,2,0,,,"2010-06-24 05:44:25 UTC",
14,5,2,2,3,0,,,"2010-06-24 05:44:25 UTC",
15,5,3,4,2,0,,,"2010-06-24 05:44:25 UTC",
16,1,1,2,1,0,,,"2010-06-24 05:44:25 UTC",
17,1,1,2,1,0,,,"2010-06-24 05:44:25 UTC",
18,1,2,2,1,0,,,"2010-06-24 05:44:25 UTC",
19,1,2,2,2,0,,,"2010-06-24 05:44:25 UTC",
20,1,3,2,3,0,,,"2010-06-24 05:44:25 UTC",
21,3,1,4,1,0,,,"2010-06-24 05:44:25 UTC",
22,3,1,4,1,0,,,"2010-06-24 05:44:25 UTC",
23,3,1,4,1,0,,,"2010-06-24 05:44:25 UTC",
24,3,2,4,1,0,,,"2010-06-24 05:44:25 UTC",
25,3,3,4,1,0,,,"2010-06-24 05:44:25 UTC",
26,1,4,5,1,0,,,"2010-06-24 05:44:25 UTC",
27,2,4,5,1,0,,,"2010-06-24 05:44:25 UTC",
28,1,5,5,2,0,,,"2010-06-24 05:44:25 UTC",
29,2,5,5,2,0,,,"2010-06-24 05:44:25 UTC",
30,4,2,5,3,0,,,"2010-06-24 05:44:25 UTC",
31,1,1,3,1,0,,,"2010-06-24 05:44:25 UTC",
32,1,1,3,1,0,,,"2010-06-24 05:44:25 UTC",
33,1,2,3,1,0,,,"2010-06-24 05:44:26 UTC",
34,1,2,3,2,0,,,"2010-06-24 05:44:26 UTC",
35,1,3,3,3,0,,,"2010-06-24 05:44:26 UTC",
36,2,1,4,1,0,,,"2010-06-24 05:44:26 UTC",
37,2,1,4,1,0,,,"2010-06-24 05:44:26 UTC",
38,2,1,4,1,0,,,"2010-06-24 05:44:26 UTC",
39,2,2,4,1,0,,,"2010-06-24 05:44:26 UTC",
40,2,3,4,1,0,,,"2010-06-24 05:44:26 UTC",
41,5,1,1,4,0,,,"2010-06-24 05:44:26 UTC",
42,5,1,2,4,0,,,"2010-06-24 05:44:26 UTC",
43,5,2,1,5,0,,,"2010-06-24 05:44:26 UTC",
44,5,2,2,5,0,,,"2010-06-24 05:44:26 UTC",
45,5,3,4,2,0,,,"2010-06-24 05:44:26 UTC",
46,1,1,2,1,0,,,"2010-06-24 05:44:26 UTC",
47,1,1,2,1,0,,,"2010-06-24 05:44:26 UTC",
48,1,2,2,1,0,,,"2010-06-24 05:44:26 UTC",
49,1,2,2,2,0,,,"2010-06-24 05:44:26 UTC",
50,1,3,2,3,0,,,"2010-06-24 05:44:26 UTC",
51,3,1,4,1,0,,,"2010-06-24 05:44:26 UTC",
52,3,1,4,1,0,,,"2010-06-24 05:44:26 UTC",
53,3,1,4,1,0,,,"2010-06-24 05:44:26 UTC",
54,3,2,4,1,0,,,"2010-06-24 05:44:26 UTC",
55,2,4,2,4,0,,,"2010-06-24 05:44:26 UTC",
56,1,6,1,6,0,,,"2010-06-24 05:44:26 UTC",
57,3,5,3,5,0,,,"2010-06-24 05:44:26 UTC",
58,4,3,4,3,0,,,"2010-06-24 05:44:26 UTC",
59,3,3,5,5,0,,,"2010-06-24 05:44:26 UTC",
60,1,5,2,5,0,,,"2010-06-24 05:44:26 UTC",
61,1,1,1,1,0,"このカードは剣1として扱う","card_ev_100.swf","2010-06-24 05:44:26 UTC","이 카드는 검1의 효과가 있습니다."
62,1,1,1,1,0,"このカードは剣1として扱う","card_ev_100.swf","2010-06-24 05:44:26 UTC","이 카드는 검1의 효과가 있습니다."
63,1,1,1,1,0,"このカードは剣1として扱う","card_ev_100.swf","2010-06-24 05:44:26 UTC","이 카드는 검1의 효과가 있습니다."
64,1,1,1,1,0,"このカードは剣1として扱う","card_ev_100.swf","2010-06-24 05:44:26 UTC","이 카드는 검1의 효과가 있습니다."
65,1,1,1,1,0,"このカードは剣1として扱う","card_ev_100.swf","2010-06-24 05:44:26 UTC","이 카드는 검1의 효과가 있습니다."
66,1,1,1,1,0,"このカードは剣1として扱う","card_ev_100.swf","2010-06-24 05:44:26 UTC","이 카드는 검1의 효과가 있습니다."
67,1,1,1,1,0,"このカードは剣1として扱う","card_ev_100.swf","2010-06-24 05:44:26 UTC","이 카드는 검1의 효과가 있습니다."
68,1,1,1,1,0,"このカードは剣1として扱う","card_ev_100.swf","2010-06-24 05:44:26 UTC","이 카드는 검1의 효과가 있습니다."
69,1,1,1,1,0,"このカードは剣1として扱う","card_ev_100.swf","2010-06-24 05:44:26 UTC","이 카드는 검1의 효과가 있습니다."
70,1,1,1,1,0,"このカードは剣1として扱う","card_ev_100.swf","2010-06-24 05:44:26 UTC","이 카드는 검1의 효과가 있습니다."
71,1,1,1,1,0,"このカードは剣1として扱う","card_ev_100.swf","2010-06-24 05:44:26 UTC","이 카드는 검1의 효과가 있습니다."
72,1,1,1,1,0,"このカードは剣1として扱う","card_ev_100.swf","2010-06-24 05:44:26 UTC","이 카드는 검1의 효과가 있습니다."
73,1,1,1,1,0,"このカードは剣1として扱う","card_ev_100.swf","2010-06-24 05:44:26 UTC","이 카드는 검1의 효과가 있습니다."
74,1,1,1,1,0,"このカードは剣1として扱う","card_ev_100.swf","2010-06-24 05:44:26 UTC","이 카드는 검1의 효과가 있습니다."
75,1,1,1,1,0,"このカードは剣1として扱う","card_ev_100.swf","2010-06-24 05:44:26 UTC","이 카드는 검1의 효과가 있습니다."
76,1,1,1,1,0,"このカードは剣1として扱う","card_ev_100.swf","2010-06-24 05:44:26 UTC","이 카드는 검1의 효과가 있습니다."
77,1,1,1,1,0,"このカードは剣1として扱う","card_ev_100.swf","2010-06-24 05:44:26 UTC","이 카드는 검1의 효과가 있습니다."
78,1,1,1,1,0,"このカードは剣1として扱う","card_ev_100.swf","2010-06-24 05:44:26 UTC","이 카드는 검1의 효과가 있습니다."
79,1,1,1,1,0,"このカードは剣1として扱う","card_ev_100.swf","2010-06-24 05:44:26 UTC","이 카드는 검1의 효과가 있습니다."
80,1,1,1,1,0,"このカードは剣1として扱う","card_ev_100.swf","2010-06-24 05:44:26 UTC","이 카드는 검1의 효과가 있습니다."
81,1,1,1,1,0,"このカードは剣1として扱う","card_ev_100.swf","2010-06-24 05:44:26 UTC","이 카드는 검1의 효과가 있습니다."
82,1,1,1,1,0,"このカードは剣1として扱う","card_ev_100.swf","2010-06-24 05:44:26 UTC","이 카드는 검1의 효과가 있습니다."
83,1,1,1,1,0,"このカードは剣1として扱う","card_ev_100.swf","2010-06-24 05:44:26 UTC","이 카드는 검1의 효과가 있습니다."
84,1,1,1,1,0,"このカードは剣1として扱う","card_ev_100.swf","2010-06-24 05:44:26 UTC","이 카드는 검1의 효과가 있습니다."
85,1,1,1,1,0,"このカードは剣1として扱う","card_ev_100.swf","2010-06-24 05:44:26 UTC","이 카드는 검1의 효과가 있습니다."
86,1,1,1,1,0,"このカードは剣1として扱う","card_ev_100.swf","2010-06-24 05:44:26 UTC","이 카드는 검1의 효과가 있습니다."
87,1,1,1,1,0,"このカードは剣1として扱う","card_ev_100.swf","2010-06-24 05:44:26 UTC","이 카드는 검1의 효과가 있습니다."
88,1,1,1,1,0,"このカードは剣1として扱う","card_ev_100.swf","2010-06-24 05:44:26 UTC","이 카드는 검1의 효과가 있습니다."
89,1,1,1,1,0,"このカードは剣1として扱う","card_ev_100.swf","2010-06-24 05:44:26 UTC","이 카드는 검1의 효과가 있습니다."
90,1,1,1,1,0,"このカードは剣1として扱う","card_ev_100.swf","2010-06-24 05:44:26 UTC","이 카드는 검1의 효과가 있습니다."
91,1,1,1,1,0,"このカードは剣1として扱う","card_ev_100.swf","2010-06-24 05:44:26 UTC","이 카드는 검1의 효과가 있습니다."
92,1,1,1,1,0,"このカードは剣1として扱う","card_ev_100.swf","2010-06-24 05:44:26 UTC","이 카드는 검1의 효과가 있습니다."
93,1,1,1,1,0,"このカードは剣1として扱う","card_ev_100.swf","2010-06-24 05:44:26 UTC","이 카드는 검1의 효과가 있습니다."
94,1,1,1,1,0,"このカードは剣1として扱う","card_ev_100.swf","2010-06-24 05:44:26 UTC","이 카드는 검1의 효과가 있습니다."
95,1,1,1,1,0,"このカードは剣1として扱う","card_ev_100.swf","2010-06-24 05:44:26 UTC","이 카드는 검1의 효과가 있습니다."
96,1,1,1,1,0,"このカードは剣1として扱う","card_ev_100.swf","2010-06-24 05:44:26 UTC","이 카드는 검1의 효과가 있습니다."
97,1,2,1,2,0,"このカードは剣2として扱う","card_ev_100.swf","2010-06-24 05:44:26 UTC","이 카드는 검2의 효과가 있습니다."
98,1,2,1,2,0,"このカードは剣2として扱う","card_ev_100.swf","2010-06-24 05:44:26 UTC","이 카드는 검2의 효과가 있습니다."
99,1,2,1,2,0,"このカードは剣2として扱う","card_ev_100.swf","2010-06-24 05:44:26 UTC","이 카드는 검2의 효과가 있습니다."
100,1,2,1,2,0,"このカードは剣2として扱う","card_ev_100.swf","2010-06-24 05:44:26 UTC","이 카드는 검2의 효과가 있습니다."
101,1,2,1,2,0,"このカードは剣2として扱う","card_ev_100.swf","2010-06-24 05:44:26 UTC","이 카드는 검2의 효과가 있습니다."
102,1,2,1,2,0,"このカードは剣2として扱う","card_ev_100.swf","2010-06-24 05:44:26 UTC","이 카드는 검2의 효과가 있습니다."
103,1,2,1,2,0,"このカードは剣2として扱う","card_ev_100.swf","2010-06-24 05:44:26 UTC","이 카드는 검2의 효과가 있습니다."
104,1,2,1,2,0,"このカードは剣2として扱う","card_ev_100.swf","2010-06-24 05:44:26 UTC","이 카드는 검2의 효과가 있습니다."
105,1,2,1,2,0,"このカードは剣2として扱う","card_ev_100.swf","2010-06-24 05:44:26 UTC","이 카드는 검2의 효과가 있습니다."
106,1,2,1,2,0,"このカードは剣2として扱う","card_ev_100.swf","2010-06-24 05:44:26 UTC","이 카드는 검2의 효과가 있습니다."
107,1,2,1,2,0,"このカードは剣2として扱う","card_ev_100.swf","2010-06-24 05:44:26 UTC","이 카드는 검2의 효과가 있습니다."
108,1,2,1,2,0,"このカードは剣2として扱う","card_ev_100.swf","2010-06-24 05:44:26 UTC","이 카드는 검2의 효과가 있습니다."
109,1,2,1,2,0,"このカードは剣2として扱う","card_ev_100.swf","2010-06-24 05:44:26 UTC","이 카드는 검2의 효과가 있습니다."
110,1,2,1,2,0,"このカードは剣2として扱う","card_ev_100.swf","2010-06-24 05:44:26 UTC","이 카드는 검2의 효과가 있습니다."
111,1,2,1,2,0,"このカードは剣2として扱う","card_ev_100.swf","2010-06-24 05:44:26 UTC","이 카드는 검2의 효과가 있습니다."
112,1,2,1,2,0,"このカードは剣2として扱う","card_ev_100.swf","2010-06-24 05:44:26 UTC","이 카드는 검2의 효과가 있습니다."
113,1,2,1,2,0,"このカードは剣2として扱う","card_ev_100.swf","2010-06-24 05:44:26 UTC","이 카드는 검2의 효과가 있습니다."
114,1,2,1,2,0,"このカードは剣2として扱う","card_ev_100.swf","2010-06-24 05:44:26 UTC","이 카드는 검2의 효과가 있습니다."
115,1,2,1,2,0,"このカードは剣2として扱う","card_ev_100.swf","2010-06-24 05:44:26 UTC","이 카드는 검2의 효과가 있습니다."
116,1,2,1,2,0,"このカードは剣2として扱う","card_ev_100.swf","2010-06-24 05:44:26 UTC","이 카드는 검2의 효과가 있습니다."
117,1,2,1,2,0,"このカードは剣2として扱う","card_ev_100.swf","2010-06-24 05:44:26 UTC","이 카드는 검2의 효과가 있습니다."
118,1,2,1,2,0,"このカードは剣2として扱う","card_ev_100.swf","2010-06-24 05:44:26 UTC","이 카드는 검2의 효과가 있습니다."
119,1,2,1,2,0,"このカードは剣2として扱う","card_ev_100.swf","2010-06-24 05:44:26 UTC","이 카드는 검2의 효과가 있습니다."
120,1,2,1,2,0,"このカードは剣2として扱う","card_ev_100.swf","2010-06-24 05:44:26 UTC","이 카드는 검2의 효과가 있습니다."
121,1,2,1,2,0,"このカードは剣2として扱う","card_ev_100.swf","2010-06-24 05:44:26 UTC","이 카드는 검2의 효과가 있습니다."
122,1,2,1,2,0,"このカードは剣2として扱う","card_ev_100.swf","2010-06-24 05:44:26 UTC","이 카드는 검2의 효과가 있습니다."
123,1,2,1,2,0,"このカードは剣2として扱う","card_ev_100.swf","2010-06-24 05:44:26 UTC","이 카드는 검2의 효과가 있습니다."
124,1,2,1,2,0,"このカードは剣2として扱う","card_ev_100.swf","2010-06-24 05:44:26 UTC","이 카드는 검2의 효과가 있습니다."
125,1,2,1,2,0,"このカードは剣2として扱う","card_ev_100.swf","2010-06-24 05:44:26 UTC","이 카드는 검2의 효과가 있습니다."
126,1,2,1,2,0,"このカードは剣2として扱う","card_ev_100.swf","2010-06-24 05:44:26 UTC","이 카드는 검2의 효과가 있습니다."
127,1,2,1,2,0,"このカードは剣2として扱う","card_ev_100.swf","2010-06-24 05:44:26 UTC","이 카드는 검2의 효과가 있습니다."
128,1,2,1,2,0,"このカードは剣2として扱う","card_ev_100.swf","2010-06-24 05:44:26 UTC","이 카드는 검2의 효과가 있습니다."
129,1,2,1,2,0,"このカードは剣2として扱う","card_ev_100.swf","2010-06-24 05:44:26 UTC","이 카드는 검2의 효과가 있습니다."
130,1,2,1,2,0,"このカードは剣2として扱う","card_ev_100.swf","2010-06-24 05:44:26 UTC","이 카드는 검2의 효과가 있습니다."
131,1,2,1,2,0,"このカードは剣2として扱う","card_ev_100.swf","2010-06-24 05:44:26 UTC","이 카드는 검2의 효과가 있습니다."
132,1,2,1,2,0,"このカードは剣2として扱う","card_ev_100.swf","2010-06-24 05:44:26 UTC","이 카드는 검3의 효과가 있습니다."
133,1,3,1,3,0,"このカードは剣3として扱う","card_ev_100.swf","2010-06-24 05:44:26 UTC","이 카드는 검3의 효과가 있습니다."
134,1,3,1,3,0,"このカードは剣3として扱う","card_ev_100.swf","2010-06-24 05:44:26 UTC","이 카드는 검3의 효과가 있습니다."
135,1,3,1,3,0,"このカードは剣3として扱う","card_ev_100.swf","2010-06-24 05:44:26 UTC","이 카드는 검3의 효과가 있습니다."
136,1,3,1,3,0,"このカードは剣3として扱う","card_ev_100.swf","2010-06-24 05:44:26 UTC","이 카드는 검3의 효과가 있습니다."
137,1,3,1,3,0,"このカードは剣3として扱う","card_ev_100.swf","2010-06-24 05:44:26 UTC","이 카드는 검3의 효과가 있습니다."
138,1,3,1,3,0,"このカードは剣3として扱う","card_ev_100.swf","2010-06-24 05:44:26 UTC","이 카드는 검3의 효과가 있습니다."
139,1,3,1,3,0,"このカードは剣3として扱う","card_ev_100.swf","2010-06-24 05:44:26 UTC","이 카드는 검3의 효과가 있습니다."
140,1,3,1,3,0,"このカードは剣3として扱う","card_ev_100.swf","2010-06-24 05:44:26 UTC","이 카드는 검3의 효과가 있습니다."
141,1,3,1,3,0,"このカードは剣3として扱う","card_ev_100.swf","2010-06-24 05:44:27 UTC","이 카드는 검3의 효과가 있습니다."
142,1,3,1,3,0,"このカードは剣3として扱う","card_ev_100.swf","2010-06-24 05:44:27 UTC","이 카드는 검3의 효과가 있습니다."
143,1,3,1,3,0,"このカードは剣3として扱う","card_ev_100.swf","2010-06-24 05:44:26 UTC","이 카드는 검3의 효과가 있습니다."
144,1,3,1,3,0,"このカードは剣3として扱う","card_ev_100.swf","2010-06-24 05:44:26 UTC","이 카드는 검3의 효과가 있습니다."
145,1,3,1,3,0,"このカードは剣3として扱う","card_ev_100.swf","2010-06-24 05:44:26 UTC","이 카드는 검3의 효과가 있습니다."
146,1,3,1,3,0,"このカードは剣3として扱う","card_ev_100.swf","2010-06-24 05:44:26 UTC","이 카드는 검3의 효과가 있습니다."
147,1,3,1,3,0,"このカードは剣3として扱う","card_ev_100.swf","2010-06-24 05:44:26 UTC","이 카드는 검3의 효과가 있습니다."
148,1,3,1,3,0,"このカードは剣3として扱う","card_ev_100.swf","2010-06-24 05:44:26 UTC","이 카드는 검3의 효과가 있습니다."
149,1,3,1,3,0,"このカードは剣3として扱う","card_ev_100.swf","2010-06-24 05:44:26 UTC","이 카드는 검3의 효과가 있습니다."
