"id","name","price","price","description","rm_item_type","item_id","num","order","state","image_url","tab","extra_id","view_frame","sale_type","deck_image_url"
1,"마녀의 묘약×１",150,12,"아바타의 행동력을 전부 회복합니다.수량1",0,3,1,3,0,"item_id003.png",0,0,0,0,
2,"마녀의 묘약×10",1200,96,"아바타의 행동력을 전부 회복합니다.수량10",0,3,10,4,0,"item_id003_.png",0,0,0,0,
3,"행운의 클로버×１",80,6,"보너스 게임의 주사위를 다시 던질수 있습니다. (보너스게임 전용) 수량１",0,4,1,8,0,"item_id004.png",2,0,0,0,
4,"행운의 클로버×１０",640,51,"보너스 게임의 주사위를 다시 던질수 있습니다. (보너스게임 전용) 수량１0",0,4,10,9,0,"item_id004_.png",2,0,0,0,
5,"화이트 히스5",100,8,"주사위의 차가 5아래일때 성공으로 간주합니다. (보너스게임 전용) 수량１",0,7,1,10,0,"item_id007.png",2,0,0,0,
6,"화이트 히스5×10",800,64,"주사위의 차가 5아래일때 성공으로 간주합니다. (보너스게임 전용)  수량１0",0,7,10,11,0,"item_id007_.png ",2,0,0,0,
7,"신비한 별똥별",150,12,"주사위의 차에 관계 없이 성공으로 간주합니다. (보너스 게임 전용) 수량1",0,8,1,12,0,"item_id008.png",2,0,0,0,
8,"신비한 별똥별×10",1200,96,"주사위의 차에 관계 없이 성공으로 간주합니다. (보너스 게임 전용) 수량10 ",0,8,10,13,0,"item_id008_.png",2,0,0,0,
9,"시공의 모래시계×1",100,8,"탐색중인 모든 퀘스트가 즉시 완료됩니다. (퀘스트 전용) 수량１",0,12,1,14,0,"item_id012.png",1,0,0,0,
10,"시공의 모래시계×10",800,64,"탐색중인 모든 퀘스트가 즉시 완료됩니다. (퀘스트 전용) 수량１0",0,12,10,15,0,"item_id012_.png",1,0,0,0,
11,"에락실×1",50,4,"캐릭터의 HP를 완전 회복합니다. (퀘스트 전용)수량1",0,17,1,16,0,"item_id013.png",5,0,0,0,
12,"에락실×10",400,32,"캐릭터의 HP를 완전 회복합니다. (퀘스트 전용)수량10",0,17,10,17,0,"item_id013_.png",5,0,0,0,
13,"시공의 문",300,24,"퀘스트 달성도를 +10 올려줍니다. (퀘스트 전용)",0,22,1,18,0,"item_id022.png",1,0,0,0,
14,"토벌의 증거ｘ1",1200,96,"퀘스트 지역을 +1 늘립니다. (퀘스트 전용) 현재 진행중인 지역의 달성도는 최대치가 됩니다.",0,23,1,19,0,"item_id024.png",1,0,0,0,
15,"요마의 나침반ｘ１",200,16,"ShadowLand의 숨겨진 지역을 탐색",0,24,1,20,0,"item_id023.png",1,0,0,0,
16,"ExShadowLand통행증1ｘ5",300,24,"ShadowLand의 숨겨진 지역을 탐색（0분） 수량5",0,31,5,21,0,"item_id031_5.png ",9,0,0,0,
17,"ExShadowLand통행증2ｘ5 ",500,40,"ShadowLand의 숨겨진 지역을 탐색（2시간） 수량5",0,32,5,22,0,"item_id032_5.png",9,0,0,0,
18,"ExShadowLand통행증3ｘ5",800,64,"ShadowLand의 숨겨진 지역을 탐색（3일）수량5",0,33,5,23,0,"item_id033_5.png",9,0,0,0,
19,"티켓*10",1000,80,"레어카드 티켓수량10",0,9,10,0,0,"item_id009_10.png",7,0,0,0,
20,"티켓*30",3000,240,"레어카드 티켓수량30+4+저승의 인장x1",0,9,34,1,1,"item_id009_30.png",7,78,0,0,
21,"티켓*50",5000,400,"레어카드 티켓수량50+8+저승의 인장x2",0,9,58,2,1,"item_id009_50.png",7,79,0,0,
22,"ExMoonLand통행증1ｘ5",400,32,"MoonLand의 숨겨진 지역을 탐색（0분） 수량5",0,34,5,24,0,"item_id034_5.png ",6,0,0,0,
23,"ExMoonLand통행증2ｘ5",600,48,"MoonLand의 숨겨진 지역을 탐색（2시간） 수량5",0,35,5,25,0,"item_id035_5.png",6,0,0,0,
24,"ExMoonLand통행증3ｘ5",900,72,"MoonLand의 숨겨진 지역을 탐색（3일）수량5",0,36,5,26,0,"item_id036_5.png",6,0,0,0,
25,"기억의 조각x1",200,16,"생전의 기억이 담겨져 있는 기억의 조각. 수량1",4,10006,1,0,0,"chara_id10006.png",10,0,0,0,
26,"기억의 조각x12",2000,160,"생전의 기억이 담겨져 있는 기억의 조각. 수량12",4,10006,12,1,0,"chara_id10006_12.png",10,0,0,0,
27,"시간의 조각x1",250,20,"시간을 거슬러 올라가기 위한시간의 조각. 수량1",4,10007,1,2,0,"chara_id10007.png",10,0,0,0,
28,"시간의 조각x12",2500,200,"시간을 거슬러 올라가기 위한시간의 조각. 수량12",4,10007,12,3,0,"chara_id10007_12.png",10,0,0,0,
29,"영혼의 조각x1",300,24,"잃어버린 영혼의 조각.수량1",4,10008,1,4,0,"chara_id10008.png",10,0,0,0,
30,"영혼의 조각x12",3000,240,"잃어버린 영혼의 조각.수량12",4,10008,12,5,0,"chara_id10008_12.png",10,0,0,0,
31,"개척자의 팔찌I",300,24,"동시에 탐색할 수 있는 수를 +1 늘린다. (유효기간30일)",0,9,1,3,0,"item_id013.png",10,0,0,0,
32,"개척자의 팔찌II",500,40,"동시에 탐색할 수 있는 수를 +2 늘린다. (유효기간30일)",0,9,1,4,0,"item_id013.png",10,0,0,0,
33,"개척자의 팔찌III ",700,56,"동시에 탐색할 수 있는 수를 +3 늘린다. (유효기간30일)",0,9,1,5,0,"item_id013.png",10,0,0,0,
34,"신비한 티아라 I",300,24,"퀘스트 탐색 시간을 30% 단축. (유효기간30일)",1,57,1,100,0,"chara_id1003.png",9,0,0,0,
35,"신비한 티아라 II",500,40,"퀘스트 탐색 시간을 50% 단축. (유효기간30일)",1,58,1,101,0,"chara_id1004.png",9,0,0,0,
36,"신비한 티아라 III",700,56,"퀘스트 탐색 시간을 75% 단축. (유효기간30일)",1,59,1,102,0,"chara_id1005.png",9,0,0,0,
37,"심부름꾼 악령의 요정 I",300,24,"동시에 탐색할 수 있는 수를 +1 늘린다. (유효기간30일)",1,60,1,103,0,"chara_id1006.png",9,0,0,0,
38,"심부름꾼 악령의 요정 II",500,40,"동시에 탐색할 수 있는 수를 +2 늘린다. (유효기간30일)",1,61,1,104,0,"chara_id1007.png",9,0,0,0,
39,"심부름꾼 악령의 요정 III",700,56,"동시에 탐색할 수 있는 수를 +3 늘린다. (유효기간30일)",1,62,1,105,0,"chara_id1008.png",9,0,0,0,
40,"마녀의 귀걸이 I",300,24,"AP 회복 시간을 10분 단축. (유효기간30일)",1,63,1,106,0,"chara_id1009.png",9,0,0,0,
41,"마녀의 귀걸이 II",500,40,"AP 회복 시간을 15분 단축. (유효기간30일)",1,64,1,107,0,"chara_id1010.png",9,0,0,0,
42,"마녀의 귀걸이 III",700,56,"AP 회복 시간을 20분 단축. (유효기간30일)",1,65,1,108,0,"chara_id1011.png",9,0,0,0,
43,"행운의 완드 I",300,24,"획득 GEM을 50% 증가 (유효기간30일)",1,66,1,109,0,"chara_id1012.png",9,0,0,0,
44,"행운의 완드 II",500,40,"획득 GEM을 100% 증가 (유효기간30일)",1,67,1,110,0,"chara_id1013.png",9,0,0,0,
45,"행운의 완드 III",700,56,"획득 GEM을 200% 증가 (유효기간30일)",1,68,1,111,0,"chara_id1014.png",9,0,0,0,
46,"외눈안대（백）",200,16,"부상치료에도 사용할 수 있는 외눈안대",1,79,1,200,0,"chara_id1015.png",9,0,0,0,
47,"버섯머리（갈）",300,24,"차분한 분위기의 헤어스타일",1,72,1,201,0,"chara_id1021.png",9,0,0,0,
48,"버섯머리（백）",300,24,"차분한 분위기의 헤어스타일",1,73,1,202,0,"chara_id1023.png",9,0,0,0,
49,"트윈테일 드릴（금）",300,24,"귀티나는 헤어스타일",1,75,1,203,0,"chara_id1030.png",9,0,0,0,
50,"트윈테일 드릴（갈）",300,24,"귀티나는 헤어스타일",1,76,1,204,0,"chara_id1031.png",9,0,0,0,
51,"RareCardTicketx1",99999,99999,"관리자용",0,9,1,0,0,"item_id003.png",10,0,0,0,
52,"WhiteHeath3",99999,99999,"관리자용",0,6,1,0,0,"item_id003.png",10,0,0,0,
53,"WhiteHeath1",99999,99999,"관리자용",0,5,1,0,0,"item_id003.png",10,0,0,0,
54,"긴생머리（금）",300,24,"어른스러운 인상을 주는 헤어스타일",1,89,1,205,0,"chara_id1040.png",9,0,0,0,
55,"긴생머리（백）",300,24,"어른스러운 인상을 주는 헤어스타일",1,90,1,206,0,"chara_id1043.png",9,0,0,0,
56,"긴생머리（흑）",300,24,"어른스러운 인상을 주는 헤어스타일",1,91,1,207,0,"chara_id1047.png",9,0,0,0,
57,"안경（청）",200,16,"시력을 향상시키는 표준적인 안경",1,92,1,208,0,"chara_id1017.png",9,0,0,0,
58,"안경（적）",200,16,"시력을 향상시키는 표준적인 안경",1,93,1,209,0,"chara_id1018.png",9,0,0,0,
59,"신비의 옷장",500,40,"보유할 수 있는 아바타 의상 수를 +5 늘립니다.",0,37,1,30,0,"item_id037.png",9,0,0,0,
60,"캐쥬얼 단발머리（금）",300,24,"부드러운 분위기를 주는 헤어스타일",1,103,1,210,0,"chara_id1050.png",9,0,0,0,
61,"캐쥬얼 단발머리（청）",300,24,"부드러운 분위기를 주는 헤어스타일",1,104,1,211,0,"chara_id1052.png",9,0,0,0,
62,"캐쥬얼 단발머리（적）",300,24,"부드러운 분위기를 주는 헤어스타일",1,105,1,212,0,"chara_id1056.png",9,0,0,0,
63,"푸른 정화의 화염",1500,120,"아바타의 전적을 초기화합니다.",0,40,1,32,0,"item_id040.png",9,0,0,0,
64,"붉은 정화의 화염",1500,120,"아바타의 BP를 1500으로 초기화합니다.",0,41,1,33,0,"item_id041.png",9,0,0,0,
65,"마녀의 옷장",800,64,"보유할 수 있는 아바타 의상 수를 +10 늘립니다.",0,42,1,31,0,"item_id042.png",9,0,0,0,
66,"노블헤어（청）",300,24,"차분한 외모의 스트레이트 헤어스타일",1,115,1,213,0,"chara_id1062.png",9,0,0,0,
67,"노블헤어（도）",300,24,"차분한 외모의 스트레이트 헤어스타일",1,116,1,214,0,"chara_id1063.png",9,0,0,0,
68,"노블헤어（흑）",300,24,"차분한 외모의 스트레이트 헤어스타일",1,117,1,215,0,"chara_id1067.png",9,0,0,0,
69,"롱헤어（금）",300,24,"청순한 롱 헤어스타일",1,118,1,216,0,"chara_id1070.png",9,0,0,0,
70,"롱헤어（적）",300,24,"청순한 롱 헤어스타일",1,119,1,217,0,"chara_id1076.png",9,0,0,0,
71,"롱헤어（갈）",300,24,"청순한 롱 헤어스타일",1,120,1,218,0,"chara_id1078.png",9,0,0,0,
72,"신년 드레스（녹）",300,24,"새해를 기념하여 만들어진 드레스",1,122,1,219,0,"chara_id2000.png",9,0,0,0,
73,"신년 드레스（자）",300,24,"새해를 기념하여 만들어진 드레스",1,123,1,220,0,"chara_id2001.png",9,0,0,0,
74,"미리안",2500,200,"외팔의 전 레지멘트. 로쏘와 함께 행동한다.",4,241,1,4,0,"chara_id241.png",10,0,0,0,
75,"ExAnemonea통행증1ｘ5",500,40,"Anemonea의 숨겨진 지역을 탐색（0분） 수량5",0,47,5,27,0,"item_id047_5.png",6,0,0,0,
76,"ExAnemonea통행증2ｘ5",700,56,"Anemonea의 숨겨진 지역을 탐색（2시간） 수량5",0,48,5,28,0,"item_id048_5.png",6,0,0,0,
77,"ExAnemonea통행증3ｘ5",1000,80,"Anemonea의 숨겨진 지역을 탐색（3일）수량5",0,49,5,29,0,"item_id049_5.png",6,0,0,0,
78,"저승의 인장",99999,99999,"경품전용아이템",4,10011,1,99,0,"item_id003.png",10,0,0,0,
79,"저승의 인장x2",99999,99999,"경품전용아이템",4,10011,2,99,0,"item_id003.png",10,0,0,0,
80,"퀘스트 세트 A",500,40,"퀘스트 세트　마녀의 묘약x2　시공의 모래시계x3　에락실x2",0,17,2,80,1,"item_set_b000.png",10,81,0,0,
81,"시공의 모래시계×3",99999,99999,"세트 판매용",0,12,3,99,0,"item_id012.png",10,82,0,0,
82,"마녀의 묘약×2",99999,99999,"세트 판매용",0,3,2,99,0,"item_id013.png",10,0,0,0,
83,"퀘스트 세트 B",1000,80,"퀘스트 세트　마녀의 묘약x2　특제 버섯즙　요마의 나침반x2　시공의 모래시계x3　에락실x2　모란의 머리장식（청）(첫회 구입시만)",0,3,2,81,1,"item_set_b001.png",10,84,0,0,
84,"특제 버섯즙",99999,99999,"세트 판매용",0,38,1,99,0,"item_id012.png",10,148,0,0,
85,"미니하트백",99999,99999,"세트 판매 종료",1,199,1,99,0,"item_id013.png",10,86,0,0,
86,"요마의 나침반ｘ2",99999,99999,"세트 판매용",0,24,2,99,0,"item_id023.png",10,87,0,0,
87,"시공의 모래시계×3",99999,99999,"세트 판매용",0,12,3,99,0,"item_id023.png",10,88,0,0,
88,"에락실",99999,99999,"세트 판매용",0,17,2,99,0,"item_id003.png",10,0,0,0,
89,"듀얼 세트 A",500,40,"듀얼 세트　마녀의 묘약　행운의 클로버x3　화이트 히스5x3",0,3,1,90,1,"item_set_a000.png",2,90,0,0,
90,"행운의 클로버x3",99999,99999,"세트 판매용",0,4,3,99,0,"item_id004.png",10,91,0,0,
91,"화이트 히스5x3",99999,99999,"세트 판매용",0,7,3,99,0,"item_id007.png",10,0,0,0,
92,"듀얼 세트 B",1000,80,"듀얼 세트　특제 버섯즙　행운의 클로버x5　화이트 히스5x3　신비한 별똥별x3　모란의 머리장식（백）(첫회 구입시만)",0,4,5,91,1,"item_set_a001.png",10,149,0,0,
93,"미니하트(흑)",99999,99999,"세트 판매 종료",1,198,1,31,0,"item_id004.png",10,94,0,0,
94,"화이트 히스5x3",99999,99999,"세트 판매용",0,7,3,99,0,"item_id007.png",10,95,0,0,
95,"신비한 별똥별x3",99999,99999,"세트 판매용",0,8,3,99,0,"item_id008.png",10,96,0,0,
96,"특제 버섯즙",99999,99999,"세트 판매용",0,38,1,99,0,"item_id023.png",10,0,0,0,
97,"ExAngelLand통행증1ｘ5",600,48,"AngelLand의 숨겨진 지역을 탐색（0분） 수량5",0,66,5,5,1,"item_id066_5.png",10,0,0,0,
98,"ExAngelLand통행증2ｘ5",800,64,"AngelLand의 숨겨진 지역을 탐색（2시간） 수량5",0,67,5,6,1,"item_id067_5.png",10,0,0,0,
99,"ExAngelLand통행증3ｘ5",1100,88,"AngelLand의 숨겨진 지역을 탐색（3일）수량5",0,68,5,7,1,"item_id068_5.png",10,0,0,0,
100,"덱 세트 1",1500,0,"Lv21의 덱과 아래의 카드를 입수할 수 있습니다　에바리스트Lv4　그룬왈드Lv4　아벨Lv4",5,114060,1,0,1,"item_deck_a000.png",10,101,1,0,"item_c_k000.swf"
101,"에바리스트Lv4",99999,99999,"세트 판매용",4,4,1,0,0,"chara_id241.png",10,102,0,0,
102,"그룬왈드Lv4",99999,99999,"세트 판매용",4,24,1,0,0,"item_id003.png",10,103,0,0,
103,"아벨Lv4",99999,99999,"세트 판매용",4,34,1,0,0,"item_id003.png",10,0,0,0,
104,"덱 세트 2",5000,400,"Lv21의 덱과 아래의 카드를 입수할 수 있습니다　제드Lv3　크레니히Lv3　레드그레이브Lv3　클로버 카드3x2　특수3x2 특수2ｘ6　특수1・방어1x6　방어3x2",5,114060,1,0,1,"item_deck_a001.png",10,105,2,0,"item_c_k000.swf"
105,"크레니히Lv3",99999,99999,"세트 판매용",4,53,1,0,0,"chara_id241.png",10,106,0,0,
106,"특수2",99999,99999,"세트 판매용",2,28,1,0,0,"item_id003.png",10,107,0,0,
107,"특수2",99999,99999,"세트 판매용",2,28,1,0,0,"item_id003.png",10,108,0,0,
