"id","prf_type","name","caption","rarity","level","ttl","core_monster_id","quest_map_id","group_id","treasure_level","stage","finder_start_point","member_limit","name_en","name_fr","name_kr","name_scn","name_tcn","name_ina","name_thai","caption_en","caption_fr","caption_kr","caption_scn","caption_tcn","caption_ina","caption_thai"
1,1,"カボチャ王",,1,1,3,40001,4,9999,19,1,1000,9999,"Pumpking","Pumpking",,"南瓜王","南瓜王","Pumpking","พัมพ์คิง",,,,,,,
2,1,"カボチャ王",,1,1,3,40002,4,9999,19,1,1000,9999,"Pumpking","Pumpking",,"南瓜王","南瓜王","Pumpking","พัมพ์คิง",,,,,,,
3,1,"カボチャ王",,1,1,3,40003,4,9999,19,1,1000,9999,"Pumpking","Pumpking",,"南瓜王","南瓜王","Pumpking","พัมพ์คิง",,,,,,,
4,1,"カボチャ王",,1,1,3,40004,4,9999,19,1,1000,9999,"Pumpking","Pumpking",,"南瓜王","南瓜王","Pumpking","พัมพ์คิง",,,,,,,
5,1,"カボチャ王",,1,1,3,40005,4,9999,19,1,1000,9999,"Pumpking","Pumpking",,"南瓜王","南瓜王","Pumpking","พัมพ์คิง",,,,,,,
6,2,"灰色の異界",,1,1,3,40007,0,0,7,1,1000,9999,"Gray world","L'autre monde gris",,"灰色的异界","灰色的異界",,,,,,,,,
7,2,"灰色の異界",,1,1,3,40007,1,0,8,2,1000,9999,"Gray world","L'autre monde gris",,"灰色的异界","灰色的異界",,,,,,,,,
8,2,"灰色の異界",,1,1,3,40007,2,0,9,3,1000,9999,"Gray world","L'autre monde gris",,"灰色的异界","灰色的異界",,,,,,,,,
9,2,"灰色の異界",,1,1,3,40007,3,0,10,4,1000,9999,"Gray world","L'autre monde gris",,"灰色的异界","灰色的異界",,,,,,,,,
10,2,"灰色の異界",,10,1,12,40006,0,0,11,5,1000,9999,"Gray world","L'autre monde gris",,"灰色的异界","灰色的異界",,,,,,,,,
11,2,"灰色の異界",,10,1,12,40006,1,0,12,6,1000,9999,"Gray world","L'autre monde gris",,"灰色的异界","灰色的異界",,,,,,,,,
12,2,"灰色の異界",,10,1,12,40006,2,0,13,7,1000,9999,"Gray world","L'autre monde gris",,"灰色的异界","灰色的異界",,,,,,,,,
13,2,"灰色の異界",,10,1,12,40006,3,0,14,8,1000,9999,"Gray world","L'autre monde gris",,"灰色的异界","灰色的異界",,,,,,,,,
14,2,"灰色の異界",,1,1,3,40008,0,0,15,9,1000,9999,"Gray world","L'autre monde gris",,"灰色的异界","灰色的異界",,,,,,,,,
15,2,"灰色の異界",,1,1,3,40008,1,0,16,10,1000,9999,"Gray world","L'autre monde gris",,"灰色的异界","灰色的異界",,,,,,,,,
16,2,"灰色の異界",,1,1,3,40008,2,0,17,11,1000,9999,"Gray world","L'autre monde gris",,"灰色的异界","灰色的異界",,,,,,,,,
17,2,"灰色の異界",,1,1,3,40008,3,0,18,12,1000,9999,"Gray world","L'autre monde gris",,"灰色的异界","灰色的異界",,,,,,,,,
18,1,"灰色の異界",,1,1,3,40009,4,0,15,9,1000,9999,"Gray world","L'autre monde gris",,"灰色的异界","灰色的異界",,,,,,,,,
19,1,"灰色の異界",,1,1,3,40009,4,0,16,10,1000,9999,"Gray world","L'autre monde gris",,"灰色的异界","灰色的異界",,,,,,,,,
20,1,"灰色の異界",,1,1,3,40009,4,0,17,11,1000,9999,"Gray world","L'autre monde gris",,"灰色的异界","灰色的異界",,,,,,,,,
21,1,"灰色の異界",,1,1,3,40009,4,0,18,12,1000,9999,"Gray world","L'autre monde gris",,"灰色的异界","灰色的異界",,,,,,,,,
22,1,"レアリティ1",,1,1,3,40027,4,9999,32,11,1000,9999,"Rarity 1","Rareté 1",,"稀有度1","稀有度1",,,,,,,,,
23,1,"レアリティ2",,2,1,3,40028,4,9999,33,12,2000,9999,"Rarity 2","Rareté 2",,"稀有度2","稀有度2",,,,,,,,,
24,1,"レアリティ3",,3,1,3,40029,4,9999,32,11,3000,9999,"Rarity 3","Rareté 3",,"稀有度3","稀有度3",,,,,,,,,
25,1,"レアリティ4",,4,1,3,40030,4,9999,33,12,4000,9999,"Rarity 4","Rareté 4",,"稀有度4","稀有度4",,,,,,,,,
26,1,"レアリティ5",,5,1,3,40013,4,9999,19,5,5000,9999,"Rarity 5","Rareté 5",,"稀有度5","稀有度5",,,,,,,,,
27,1,"レアリティ6",,6,1,3,40012,4,9999,19,6,6000,9999,"Rarity 6","Rareté 6",,"稀有度6","稀有度6",,,,,,,,,
28,1,"レアリティ7",,7,1,3,40013,4,9999,19,7,7000,9999,"Rarity 7","Rareté 7",,"稀有度7","稀有度7",,,,,,,,,
29,1,"レアリティ8",,8,1,3,40012,4,9999,29,8,8000,9999,"Rarity 8","Rareté 8",,"稀有度8","稀有度8",,,,,,,,,
30,1,"レアリティ9",,9,1,3,40013,4,9999,30,9,9000,9999,"Rarity 9","Rareté 9",,"稀有度9","稀有度9",,,,,,,,,
31,1,"レアリティ10",,10,1,3,40012,4,9999,31,10,10000,9999,"Rarity 10","Rareté 10",,"稀有度10","稀有度10",,,,,,,,,
32,1,"アリス",,1,1,12,40019,4,9999,32,11,0,9999,"Alice","Alice",,"艾莉丝","艾莉絲",,,,,,,,,
33,1,"ベアトリス",,1,1,12,40020,4,9999,33,12,0,9999,"Beatrice","Béatrice",,"贝阿朵莉丝","貝阿朵莉絲",,,,,,,,,
34,1,"W.M.クイーン","とてつもなく巨大なスイカのおばけ。フレンドを除く参戦上限人数：無し",1,1,24,40040,2,9999,3061,4,0,9999,"W.M. Queen","W.M. Queen",,"W.M.王后","W.M.王后",,,"Unreasonable giant watermelon monster. Maximum limit for participants that are not friends: NA","Monstre géant en forme de pastèque. Nombre limite d'invitations possibles : Illimité",,"不合常理的巨大西瓜妖怪。朋友以外的参战人数上限：无","不合常理的巨大西瓜妖怪。朋友以外的參戰人數上限：無",,
35,1,"W.M.クイーン","とてつもなく巨大なスイカのおばけ。フレンドを除く参戦上限人数：無し",1,1,24,40040,4,9999,3062,4,0,9999,"W.M. Queen","W.M. Queen",,"W.M.王后","W.M.王后",,,"Unreasonable giant watermelon monster. Maximum limit for participants that are not friends: NA","Monstre géant en forme de pastèque. Nombre limite d'invitations possibles : Illimité",,"不合常理的巨大西瓜妖怪。朋友以外的参战人数上限：无","不合常理的巨大西瓜妖怪。朋友以外的參戰人數上限：無",,
36,1,"W.M.クイーン","とてつもなく巨大なスイカのおばけ。フレンドを除く参戦上限人数：無し",1,1,24,40040,6,9999,3063,4,0,9999,"W.M. Queen","W.M. Queen",,"W.M.王后","W.M.王后",,,"Unreasonable giant watermelon monster. Maximum limit for participants that are not friends: NA","Monstre géant en forme de pastèque. Nombre limite d'invitations possibles : Illimité",,"不合常理的巨大西瓜妖怪。朋友以外的参战人数上限：无","不合常理的巨大西瓜妖怪。朋友以外的參戰人數上限：無",,
37,1,"W.M.クイーン","とてつもなく巨大なスイカのおばけ。フレンドを除く参戦上限人数：無し",1,1,24,40040,8,9999,3064,4,0,9999,"W.M. Queen","W.M. Queen",,"W.M.王后","W.M.王后",,,"Unreasonable giant watermelon monster. Maximum limit for participants that are not friends: NA","Monstre géant en forme de pastèque. Nombre limite d'invitations possibles : Illimité",,"不合常理的巨大西瓜妖怪。朋友以外的参战人数上限：无","不合常理的巨大西瓜妖怪。朋友以外的參戰人數上限：無",,
38,1,"W.M.クイーン","とてつもなく巨大なスイカのおばけ。フレンドを除く参戦上限人数：無し",1,1,24,40040,10,9999,3065,4,0,9999,"W.M. Queen","W.M. Queen",,"W.M.王后","W.M.王后",,,"Unreasonable giant watermelon monster. Maximum limit for participants that are not friends: NA","Monstre géant en forme de pastèque. Nombre limite d'invitations possibles : Illimité",,"不合常理的巨大西瓜妖怪。朋友以外的参战人数上限：无","不合常理的巨大西瓜妖怪。朋友以外的參戰人數上限：無",,
39,1,"カカオの大精霊","古の巨石人頭像。フレンドを除く参戦上限人数：無し",1,1,24,40128,10,9999,39,4,0,9999,"Cocoa Fruit Great Fairy","Géant de cacao",,"可可果的大精灵","可可果的大精靈",,,"Ancient giant bust. Maximum limit for participants that are not friends: NA","Ancienne statue en forme de tête humaine. Nombre limite d'invitations possibles : Illimité",,"古老巨人头像。朋友以外的参战人数上限：无","古老巨人頭像。朋友以外的參戰人數上限：無",,
40,1,"大龍鯉","人の肉を喰らって成長するといわれる邪悪な龍の幼体。フレンドを除く参戦上限人数：無し",1,1,3,40132,10,9999,40,4,0,9999,,,,"大龙鲤","大龍鯉",,,,,,"据说是吃人肉成长的邪恶龙之幼子。朋友以外的参战人数上限：无","據說是吃人肉成長的邪惡龍之幼子。好友以外的討伐人數上限：無",,
