"id","name","price","description","rm_item_type","item_id","num","order","state","image_url","tab","extra_id","view_frame","sale_type","deck_image_url"
1,"魔女の秘薬×１",150,"アバターの行動力を全回復するアイテムです。個数1",0,3,1,103,0,"item_id003.png",11,0,0,0,
2,"魔女の秘薬×10",1200,"アバターの行動力を全回復するアイテムです。個数10",0,3,10,104,0,"item_id003_.png",11,0,0,0,
3,"ラッキークローバー×１",80,"ボーナスゲームのダイスを振り直すことが出来るアイテム。個数１",0,4,1,108,0,"item_id004.png",11,0,0,0,
4,"ラッキークローバー×１０",640,"ボーナスゲームのダイスを振り直すことが出来るアイテム。個数１0",0,4,10,109,0,"item_id004_.png",11,0,0,0,
5,"ホワイトヒース5",100,"ダイスの差分が[5]以下の場合、ボーナスゲームをスキップできます。 個数１",0,7,1,110,0,"item_id007.png",11,0,0,0,
6,"ホワイトヒース5×10",800,"ダイスの差分が[5]以下の場合、ボーナスゲームをスキップできます。 個数１0",0,7,10,111,0,"item_id007_.png ",11,0,0,0,
7,"スキップスター",150,"ボーナスゲームをスキップできます。個数1",0,8,1,112,0,"item_id008.png",11,0,0,0,
8,"スキップスター×10",1200,"ボーナスゲームをスキップできます。個数10 ",0,8,10,113,0,"item_id008_.png",11,0,0,0,
9,"超刻の砂時計×1",100,"探索中のクエストをすべて一瞬で見つけます。個数１",0,12,1,114,0,"item_id012.png",11,0,0,0,
10,"超刻の砂時計×10",800,"探索中のクエストをすべて一瞬で見つけます。個数１0",0,12,10,115,0,"item_id012_.png",11,0,0,0,
11,"エリクシール×1",50,"クエスト中のキャラのHPを全回復します。 個数1",0,17,1,116,0,"item_id013.png",11,0,0,0,
12,"エリクシール×10",400,"クエスト中のキャラのHPを全回復します。 個数10",0,17,10,117,0,"item_id013_.png",11,0,0,0,
13,"トロイメライの扉",300,"クエスト進行度を+10します。",0,22,1,118,0,"item_id022.png",11,0,0,0,
14,"討魔の証ｘ1",1200,"クエスト地域を1つ進めます。",0,23,1,119,0,"item_id024.png",11,0,0,0,
15,"妖魔のコンパスｘ１",200,"進行度を達成している場合、現在地域のボスクエストを取得します。表示されているMAPに進行中の地域が無い場合、表示されているMAPからランダムでボスクエストを取得します。",0,24,1,120,0,"item_id023.png",11,0,0,0,
16,"ExShadowLand通行証1ｘ5",300,"ShadowLandの隠された地域を探索する。（0分） 個数5",0,31,5,121,0,"item_id031_5.png ",11,0,0,0,
17,"ExShadowLand通行証2ｘ5 ",500,"ShadowLandの隠された地域を探索する。（2時間） 個数5",0,32,5,122,0,"item_id032_5.png",11,0,0,0,
18,"ExShadowLand通行証3ｘ5",800,"ShadowLandの隠された地域を探索する。（3日）個数5",0,33,5,123,0,"item_id033_5.png",11,0,0,0,
19,"レアカードチケットx10",1000,"くじ引きチケット個数10",0,9,10,100,0,"item_id009_10.png",11,0,0,0,
20,"レアカードチケットx30+4+α",3000,"くじ引きチケット個数30+4+冥府の印章x1",0,9,34,101,0,"item_id009_30.png",11,78,0,0,
21,"レアカードチケットx50+8+α",5000,"くじ引きチケット個数50+8+冥府の印章x2",0,9,58,102,0,"item_id009_50.png",11,79,0,0,
22,"ExMoonLand通行証1ｘ5",400,"MoonLandの隠された地域を探索する。（0分） 個数5",0,34,5,124,0,"item_id034_5.png ",11,0,0,0,
23,"ExMoonLand通行証2ｘ5",600,"MoonLandの隠された地域を探索する。（2時間） 個数5",0,35,5,125,0,"item_id035_5.png",11,0,0,0,
24,"ExMoonLand通行証3ｘ5",900,"MoonLandの隠された地域を探索する。（3日）個数5",0,36,5,126,0,"item_id036_5.png",11,0,0,0,
25,"記憶のかけらx1",200,"生前の出来事が詰まった記憶のかけら。個数1",4,10006,1,0,0,"chara_id10006.png",11,0,0,0,
26,"記憶のかけらx12",2000,"生前の出来事が詰まった記憶のかけら。個数12",4,10006,12,1,0,"chara_id10006_12.png",11,0,0,0,
27,"時のかけらx1",250,"時を遡るために必要な時のかけら。個数1",4,10007,1,2,0,"chara_id10007.png",11,0,0,0,
28,"時のかけらx12",2500,"時を遡るために必要な時のかけら。個数12",4,10007,12,3,0,"chara_id10007_12.png",11,0,0,0,
29,"魂のかけらx1",300,"失われた魂のかけら。個数1",4,10008,1,4,0,"chara_id10008.png",11,0,0,0,
30,"魂のかけらx12",3000,"失われた魂のかけら。個数12",4,10008,12,5,0,"chara_id10008_12.png",11,0,0,0,
31,"開拓者の腕輪I",300,"クエスト同時探索数を1増やす。有効期間30日。",0,9,1,999,0,"item_id013.png",11,0,0,0,
32,"開拓者の腕輪II",500,"クエスト同時探索数を2増やす。有効期間30日。",0,9,1,999,0,"item_id013.png",11,0,0,0,
33,"開拓者の腕輪III ",700,"クエスト同時探索数を3増やす。有効期間30日。",0,9,1,999,0,"item_id013.png",11,0,0,0,
34,"神秘のティアラ I",300,"クエスト探索時間を30％短縮。有効期間30日。",1,57,1,100,0,"chara_id1003.png",11,0,0,0,
35,"神秘のティアラ II",500,"クエスト探索時間を50％短縮。有効期間30日。",1,58,1,101,0,"chara_id1004.png",11,0,0,0,
36,"神秘のティアラ III",700,"クエスト探索時間を75％短縮。有効期間30日。",1,59,1,102,0,"chara_id1005.png",11,0,0,0,
37,"使い魔のフェアリー I",300,"クエスト同時探索数を1増やす。有効期間30日。",1,60,1,103,0,"chara_id1006.png",11,0,0,0,
38,"使い魔のフェアリー II",500,"クエスト同時探索数を2増やす。有効期間30日。",1,61,1,104,0,"chara_id1007.png",11,0,0,0,
39,"使い魔のフェアリー III",700,"クエスト同時探索数を3増やす。有効期間30日。",1,62,1,105,0,"chara_id1008.png",11,0,0,0,
40,"魔女のイヤリング I",300,"AP回復時間を10分短縮。有効期間30日。",1,63,1,106,0,"chara_id1009.png",11,0,0,0,
41,"魔女のイヤリング II",500,"AP回復時間を15分短縮。有効期間30日。",1,64,1,107,0,"chara_id1010.png",11,0,0,0,
42,"魔女のイヤリング III",700,"AP回復時間を20分短縮。有効期間30日。",1,65,1,108,0,"chara_id1011.png",11,0,0,0,
43,"幸運のワンド I",300,"戦闘後の取得ＧＥＭを50%増やす。有効期間30日。",1,66,1,109,0,"chara_id1012.png",11,0,0,0,
44,"幸運のワンド II",500,"戦闘後の取得ＧＥＭを100%増やす。有効期間30日。",1,67,1,110,0,"chara_id1013.png",11,0,0,0,
