"id","content"
1,"放马过来啊、你想死的话。"
2,"上了哦，做好觉悟了吗？"
3,"想要打败我吗?艾依查库"
4,"也就是说，死亡并不是终点…"
5,"死亡也不错，可以得到安宁"
6,"我是不会输的。因为这已经是定数。"
7,"你有看过吗？那个黑暗世界。"
8,"永恒之战。这正是我期望的。"
9,"为剑而生的东西也将为剑而死。仅此而已。"
10,"小子，先上噜。"
11,"审判之时已到。痛苦只是一瞬间。"
12,"让我流“血”的代价可是很高的唷。"
13,"艾伯、来比一场吧。"
14,"与你的恩怨，就在此做个了结吧。"
15,"你的味道…似曾相识…"
16,"…"
17,"杰多、真没想到会在这里遇到你。"
18,"只有你、我会让你见到终点的。"
19,"古鲁瓦尔多、我真是为你感到可怜。"
20,"小姐，抱歉了，不能让你妨碍到我。"
21,"虽然有想问你的事，但那也是在这场胜负之后。"
22,"在我的光芒中腐朽吧。"
23,"比起现世，我更喜欢这个地方。"
24,"似乎还欠你一笔对吧,那就让我好好的来偿还。"
25,"我们还会回去的，对吧，艾伯"
26,"别这么激动，你迟早也会明白的。"
27,"所做的事一定会有所报应，不论正邪。"
28,"我是为了使命而战。你呢？"
29,"艾伯李斯特、这里可不是世界的尽头。"
30,"就让你看看比死还要更深的黑暗吧。"
31,"那么，就希望会是场有用的实验了。"
32,"让我见识一下你的力量吧。"
33,"那么，就让我好好享受一下吧。"
34,"好久不见啦。有没有变强啊？"
35,"来吧、和我一起玩吧。"
36,"哎呀，好久不见。…看我打爆你！"
37,"真是碍眼的女人！给我消失吧！"
38,"若是敢妨碍我的话，绝对不会放过你的！"
39,"找你好久了…姊姊！"
40,"是史普拉多吗？　真的是你吗？"
41,"冰冷又甜美的死亡气味。你也喜欢的吧？"
42,"胆敢反抗我的话，就让你回到冰冷的土里去喔。"
43,"带来死亡之女…就由我来解决你吧。"
44,"我可是很忙的呢。没时间跟杂碎鬼混啊。"
45,"能与你战斗还真是令人高兴呢。"
46,"状况确认。开始排除敌人。"
47,"手里会来什么牌靠的是运气，但是选择如何出牌是靠个人意识。"
48,"需要帮你做个游戏教学吗？"
49,"运气也是有其走向。还请努力掌握。"
50,"游戏里也许有分幸运或不幸，但是最终收支都将会平衡。"
51,"即便有无限的选择，但你能选择的未来永远只有一个。"
52,"你这肮脏的野蛮人、从我面前消失吧。"
53,"外表看起来是美丽的人偶、但那脏腑又是如何呢。"
54,"就让我给予你符合背叛者的惨死方式吧。"
55,"怎么了，又是老样子的发作吗？"
56,"吾监视整个世界，绝不放过任何人。"
57,"较量啊，也没什么不好的。"
58,"蕾格列芙大人，虽然有点失礼但请与我较量一下。"
59,"受混沌之魔缠身的愚者啊，给我明白你自己的身分。"
60,"这个火焰将会烧尽一切。所有的一切。"
61,"能是场不相上下的对战就好了。"
62,"不用打招呼了,直接打过来吧！"
63,"就让我看看你的实力吧。"
64,"虚无支配了一切。你就成为那个祭品吧！"
65,"我想让你也看到我所亲眼目睹过的那些事。"
66,"只要一切结束了之后，就能有新的开始。我不会让你妨碍我的。"
67,"我没空理会你的胡闹。"
68,"就让我来将这迷途之魂引向净土吧。"
69,"你是为了什么而战？世界？还是自己？"
70,"抱歉，现在没有那个空闲为过去不义之事道歉。"
71,"对我而言这个世界的秘密就在于“存在”之中。"
72,"博士、没想到还能再遇见你…"
73,"我是不会原谅你的。"
74,"这情况，看起来不是很好"
75,"就让你见识一下神兽的力量吧。"
76,"我的神兽是绝对不会输的！"
77,"让开，史普拉多，我并不想和你战斗"
78,"抱歉，现在请不要防碍我！"
79,"这正是与机械兵测试力量的好机会呢。"
80,"毕竟，能一决生死的是觉悟。"
81,"既然被你看到我的样子，就不能让你活下去。"
82,"不祥的蔷薇。就在这里做个了断吧。"
83,"我可没空理会小鬼。"
84,"我的本意，你这家伙岂会懂？"
85,"就让我见识一下，你那过去曾被誉为王国第一的剑术奥义吧。"
86,"阿修罗，我不会同情你的。"
87,"只有你，是不能原谅的……"
88,"我有必须守护的东西！"
89,"队长，还请您让开吧"
90,"没有想到还会再见面呢，佛罗伦斯。"
91,"阿修罗，你竟敢算计我啊。"
92,"真是难缠的女人，就让我亲手了结你吧！"
93,"哎呀呀，这下事情麻烦了。"
94,"不好意思，你能不能找别人？"
95,"当星辰正位之时，我等的正确性也将被证明"
96,"正因为是璀灿的帝国才能支配一切"
97,"你跟我等其实并无大差。只是……"
98,"还真是个无可救药的家伙。就在此做个了结吧"
99,"恐惧是必须要克服的"
100,"我等早已超越了慈悲同情。"
101,"看来今晚的秀应该会很有趣。"
102,"正因为花的生命短暂，所以才显得美丽。"
103,"那么，这场战斗会是有意义的吗？"
104,"这也是命运的安排。让我们享受这游戏吧。"
105,"花香令人心旷神怡，希望你也能享受到。"
106,"为剑而生的东西也将为剑而死。仅此而已。"
107,"从不间断的斗争逐渐改变了这个世界。"
108,"不管有着怎样的想法，一旦成了败者，那些都将化成泡影。"
109,"即使战斗没有任何意义，还是可以求胜。"
110,"最后能够站着的，永远都是胜者。"
111,"抱歉请你去死吧，因为你实在太碍事了。"
112,"放马过来啊、你想死的话。"
113,"不管发生什么事，我都不能在这里被干掉。"
114,"我可不想死的不明不白。我要动真格的了喔。"
115,"小看我的力量的话，可是要付出惨痛代价的喔。"
116,"我的血渴求着鲜血……"
117,"死亡也不错，可以得到安宁"
118,"生命到底要让我烦躁到什么地步……"
119,"也就是说，死亡并不是终点吗…"
120,"死亡才是曙光，是这个黑暗的世界所放出最后的……"
121,"想用那种招数打赢我吗？"
122,"现在就让你看看我的剑技吧！"
123,"堂堂正正的一决胜负吧！"
124,"我已经习惯麻烦事了。来吧，放马过来。"
125,"永恒之战。这正是我期望的。"
126,"上了哦，做好觉悟了吗？"
127,"这下又变成麻烦的事了。"
