"id","quest_map_id","name","caption","ap","kind","difficulty","rarity","story_no","quest_land_id_0_0","next_0_0","quest_land_id_0_1","next_0_1","quest_land_id_0_2","next_0_2","quest_land_id_1_0","next_1_0","quest_land_id_1_1","next_1_1","quest_land_id_1_2","next_1_2","quest_land_id_2_0","next_2_0","quest_land_id_2_1","next_2_1","quest_land_id_2_2","next_2_2","quest_land_id_3_0","next_3_0","quest_land_id_3_1","next_3_1","quest_land_id_3_2","next_3_2","quest_land_id_4_0","next_4_0","quest_land_id_4_1","next_4_1","quest_land_id_4_2","next_4_2"
1,1,"黄昏的大蝙蝠","在山谷飞窜的大蝙蝠今夜也将搜寻牺牲者",0,0,1,1,0,0,0,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,210,"蝙蝠群","在山谷飞窜的大蝙蝠今夜也将搜寻牺牲者",0,0,1,1,0,0,0,204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,"大蝙蝠群","在山谷飞窜的大蝙蝠今夜也将搜寻牺牲者",1,2,1,1,0,0,0,201,2,0,0,0,0,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2,"山丘的小矮人","远离城镇的山丘上住着会袭击人类的小矮人",0,0,1,1,0,0,0,5,2,0,0,0,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2,"小矮人的游行","远离城镇的山丘上住着会袭击人类的小矮人",0,0,1,1,0,0,0,201,2,0,0,0,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2,"小矮人之宴","远离城镇的山丘上住着会袭击人类的小矮人",1,2,1,2,0,0,0,104,2,0,0,0,0,9,2,0,0,0,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,3,"无底沼泽","魔力汇聚的水边迎来了难得一见的妖魔",1,0,1,1,0,0,0,101,2,0,0,0,0,301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,3,"夜晚的湖畔","魔力汇聚的水边迎来了难得一见的妖魔",1,0,1,1,0,0,0,301,2,0,0,0,0,304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,3,"魔力之池","魔力汇聚的水边迎来了难得一见的妖魔",2,2,1,2,1,0,0,101,2,0,0,0,0,201,2,0,0,0,0,310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,4,"魅惑之池1","位于黑之森入口的池塘",1,0,2,1,0,0,0,1,2,0,0,0,0,13,2,0,0,0,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,4,"魅惑之池2","位于黑之森入口的池塘",1,0,2,1,0,0,0,104,2,0,0,0,0,14,2,0,0,0,0,301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,4,"魅惑之池3","位于黑之森入口的池塘",1,0,2,1,0,0,0,310,1,0,0,0,0,0,0,304,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
13,4,"诱惑者1","妖魔引诱人类进入森林",1,0,2,1,0,0,0,201,6,0,0,6,2,201,2,0,0,0,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,4,"诱惑者2","妖魔引诱人类进入森林",1,0,2,1,0,0,0,204,3,0,0,0,0,307,2,10,2,0,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,4,"诱惑者3","妖魔引诱人类进入森林",1,0,2,2,0,0,0,207,5,0,0,13,4,0,0,104,1,101,0,0,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0
