"id","name","price","description","rm_item_type","item_id","num","order","state","image_url","tab","extra_id","view_frame","sale_type","deck_image_url"
1,"魔女秘药×1",6,"完全恢复虚拟人物的行动力。",0,3,1,3,0,"item_id003.png",11,0,0,0,
2,"魔女秘药×10",45,"完全恢复虚拟人物的行动力。",0,3,10,4,0,"item_id003_.png",11,0,0,0,
3,"幸运四叶草×1",3,"可以重投奖励游戏的骰子",0,4,1,8,0,"item_id004.png",11,0,0,0,
4,"幸运四叶草×10",24,"可以重投奖励游戏的骰子",0,4,10,9,0,"item_id004_.png",11,0,0,0,
5,"白色石楠5",3.6,"骰子的差小于5时。可以继续进行奖励游戏",0,7,1,10,0,"item_id007.png",11,0,0,0,
6,"白色石楠5×10",30,"骰子的差小于5时。可以继续进行奖励游戏",0,7,10,11,0,"item_id007_.png ",11,0,0,0,
7,"跳越星",6,"可以继续进行奖励游戏",0,8,1,12,0,"item_id008.png",11,0,0,0,
8,"跳越星×10",45,"可以继续进行奖励游戏",0,8,10,13,0,"item_id008_.png",11,0,0,0,
9,"超时空沙漏×1",3.6,"可在一瞬间完成所有任务的搜索",0,12,1,14,0,"item_id012.png",11,0,0,0,
10,"超时空沙漏×10",30,"可在一瞬间完成所有任务的搜索",0,12,10,15,0,"item_id012_.png",11,0,0,0,
11,"不死灵药×1",1.8,"完全恢复任务中所有人物的生命值",0,17,1,16,0,"item_id013.png",11,0,0,0,
12,"不死灵药×10",15,"完全恢复任务中所有人物的生命值",0,17,10,17,0,"item_id013_.png",11,0,0,0,
13,"梦幻曲之门",12,"任务进行度+10",0,22,1,18,0,"item_id022.png",11,0,0,0,
14,"讨魔的证明×1",45,"直接进往下1个探索地区。",0,23,1,19,0,"item_id024.png",11,0,0,0,
15,"妖魔的指南针×1",9,"在任务进行度达成满值的情况下使用，将会找到所在地区的Boss任務。",0,24,1,20,0,"item_id023.png",11,0,0,0,
16,"Ex影之大陆通行证1×5",12,"搜索影之大陆的隐藏区域（0分）",0,31,5,21,0,"item_id031_5.png ",11,0,0,0,
17,"Ex影之大陆通行证2×5",21,"搜索影之大陆的隐藏区域（2小时）",0,32,5,22,0,"item_id032_5.png",11,0,0,0,
18,"Ex影之大陆通行证3×5",30,"搜索影之大陆的隐藏区域（3天）",0,33,5,23,0,"item_id033_5.png",11,0,0,0,
19,"抽奖券×10",39,"抽奖券×10",0,9,10,0,0,"item_id009_10.png",11,0,0,0,
20,"抽奖券×30＋4+α",108,"抽奖券×30+4+冥府的印章×1",0,9,34,1,1,"item_id009_30.png",11,78,0,0,
21,"抽奖券×50＋8+α",180,"抽奖券×50+8+冥府的印章×2",0,9,58,2,1,"item_id009_50.png",11,79,0,0,
22,"Ex月之大陆通行证1×5",15,"搜索月之大陆的隐藏区域（0分）",0,34,5,24,0,"item_id034_5.png ",11,0,0,0,
23,"Ex月之大陆通行证2×5",24,"搜索月之大陆的隐藏区域（2小时）",0,35,5,25,0,"item_id035_5.png",11,0,0,0,
24,"Ex月之大陆通行证3×5",33,"搜索月之大陆的隐藏区域（3天）",0,36,5,26,0,"item_id036_5.png",11,0,0,0,
25,"记忆的碎片×1",9,"充满着生前记忆的碎片",4,10006,1,0,0,"chara_id10006.png",11,0,0,0,
26,"记忆的碎片×12",90,"充满着生前记忆的碎片",4,10006,12,1,0,"chara_id10006_12.png",11,0,0,0,
27,"时间的碎片×1",12,"回逤时光所必要的时间的碎片",4,10007,1,2,0,"chara_id10007.png",11,0,0,0,
28,"时间的碎片×12",120,"回逤时光所必要的时间的碎片",4,10007,12,3,0,"chara_id10007_12.png",11,0,0,0,
29,"灵魂的碎片×1",15,"遗失的灵魂碎片",4,10008,1,4,0,"chara_id10008.png",11,0,0,0,
30,"灵魂的碎片×12",150,"遗失的灵魂碎片",4,10008,12,5,0,"chara_id10008_12.png",11,0,0,0,
31,"开拓者的手环 I",12,"任务同时探索数增加1个。有效期30天。",0,9,1,3,0,"item_id013.png",11,0,0,0,
32,"开拓者的手环 II",21,"任务同时探索数增加2个。有效期30天。",0,9,1,4,0,"item_id013.png",11,0,0,0,
33,"开拓者的手环 III",27,"任务同时探索数增加3个。有效期30天。",0,9,1,5,0,"item_id013.png",11,0,0,0,
34,"神秘的发冠 I",12,"任务探索时间缩短30％。有效期30天。",1,57,1,100,0,"chara_id1003.png",11,0,0,0,
35,"神秘的发冠 II",21,"任务探索时间缩短50％。有效期30天。",1,58,1,101,0,"chara_id1004.png",11,0,0,0,
