"id","prf_type","name","caption","rarity","level","ttl","core_monster_id","quest_map_id","group_id","treasure_level","stage","finder_start_point","member_limit"
1,1,"南瓜王",,1,1,3,40001,4,9999,19,1,1000,9999
2,1,"南瓜王",,1,1,3,40002,4,9999,19,1,1000,9999
3,1,"南瓜王",,1,1,3,40003,4,9999,19,1,1000,9999
4,1,"南瓜王",,1,1,3,40004,4,9999,19,1,1000,9999
5,1,"南瓜王",,1,1,3,40005,4,9999,19,1,1000,9999
6,2,"灰色的異界",,1,1,3,40007,0,0,7,1,1000,9999
7,2,"灰色的異界",,1,1,3,40007,1,0,8,2,1000,9999
8,2,"灰色的異界",,1,1,3,40007,2,0,9,3,1000,9999
9,2,"灰色的異界",,1,1,3,40007,3,0,10,4,1000,9999
10,2,"灰色的異界",,10,1,12,40006,0,0,11,5,1000,9999
11,2,"灰色的異界",,10,1,12,40006,1,0,12,6,1000,9999
12,2,"灰色的異界",,10,1,12,40006,2,0,13,7,1000,9999
13,2,"灰色的異界",,10,1,12,40006,3,0,14,8,1000,9999
14,2,"灰色的異界",,1,1,3,40008,0,0,15,9,1000,9999
15,2,"灰色的異界",,1,1,3,40008,1,0,16,10,1000,9999
16,2,"灰色的異界",,1,1,3,40008,2,0,17,11,1000,9999
17,2,"灰色的異界",,1,1,3,40008,3,0,18,12,1000,9999
18,1,"灰色的異界",,1,1,3,40009,4,0,15,9,1000,9999
19,1,"灰色的異界",,1,1,3,40009,4,0,16,10,1000,9999
20,1,"灰色的異界",,1,1,3,40009,4,0,17,11,1000,9999
21,1,"灰色的異界",,1,1,3,40009,4,0,18,12,1000,9999
22,1,"稀有度1",,1,1,3,40027,4,9999,32,11,1000,9999
23,1,"稀有度2",,2,1,3,40028,4,9999,33,12,2000,9999
24,1,"稀有度3",,3,1,3,40029,4,9999,32,11,3000,9999
25,1,"稀有度4",,4,1,3,40030,4,9999,33,12,4000,9999
26,1,"稀有度5",,5,1,3,40013,4,9999,19,5,5000,9999
27,1,"稀有度6",,6,1,3,40012,4,9999,19,6,6000,9999
28,1,"稀有度7",,7,1,3,40013,4,9999,19,7,7000,9999
29,1,"稀有度8",,8,1,3,40012,4,9999,29,8,8000,9999
30,1,"稀有度9",,9,1,3,40013,4,9999,30,9,9000,9999
31,1,"稀有度10",,10,1,3,40012,4,9999,31,10,10000,9999
32,1,"艾莉絲",,1,1,12,40019,4,9999,32,11,0,9999
33,1,"貝阿朵莉絲",,1,1,12,40020,4,9999,33,12,0,9999
34,1,"W.M.王后","不合常理的巨大西瓜妖怪。朋友以外的參戰人數上限：無",1,1,24,40040,2,9999,3061,4,0,9999
35,1,"W.M.王后","不合常理的巨大西瓜妖怪。朋友以外的參戰人數上限：無",1,1,24,40040,4,9999,3062,4,0,9999
36,1,"W.M.王后","不合常理的巨大西瓜妖怪。朋友以外的參戰人數上限：無",1,1,24,40040,6,9999,3063,4,0,9999
