"id","name","price","description","rm_item_type","item_id","num","order","state","image_url","tab","extra_id","view_frame","sale_type","deck_image_url","twd","hkd","usd"
1,"魔女秘藥×1",30,"完全恢復虛擬人物的行動力。",0,3,1,3,0,"item_id003.png",11,0,0,0,,30,7.83,1
2,"魔女秘藥×10",225,"完全恢復虛擬人物的行動力。",0,3,10,4,0,"item_id003_.png",11,0,0,0,,225,58.76,7.5
3,"幸運四葉草×1",15,"可以重投獎勵遊戲的骰子",0,4,1,8,0,"item_id004.png",11,0,0,0,,15,3.92,0.5
4,"幸運四葉草×10",120,"可以重投獎勵遊戲的骰子",0,4,10,9,0,"item_id004_.png",11,0,0,0,,120,31.34,4
5,"白色石楠5",18,"骰子的差小於5時。可以繼續進行獎勵遊戲",0,7,1,10,0,"item_id007.png",11,0,0,0,,18,4.7,0.6
6,"白色石楠5×10",150,"骰子的差小於5時。可以繼續進行獎勵遊戲",0,7,10,11,0,"item_id007_.png ",11,0,0,0,,150,39.17,5
7,"跳越星",30,"可以繼續進行獎勵遊戲",0,8,1,12,0,"item_id008.png",11,0,0,0,,30,7.83,1
8,"跳越星×10",225,"可以繼續進行獎勵遊戲",0,8,10,13,0,"item_id008_.png",11,0,0,0,,225,58.76,7.5
9,"超時空沙漏×1",18,"可在一瞬間完成所有任務的搜索",0,12,1,14,0,"item_id012.png",11,0,0,0,,18,4.7,0.6
10,"超時空沙漏×10",150,"可在一瞬間完成所有任務的搜索",0,12,10,15,0,"item_id012_.png",11,0,0,0,,150,39.17,5
11,"不死靈藥×1",9,"完全恢復任務中所有人物的生命值",0,17,1,16,0,"item_id013.png",11,0,0,0,,9,2.35,0.3
12,"不死靈藥×10",75,"完全恢復任務中所有人物的生命值",0,17,10,17,0,"item_id013_.png",11,0,0,0,,75,19.59,2.5
13,"夢幻曲之門",60,"任務進行度+10",0,22,1,18,0,"item_id022.png",11,0,0,0,,60,15.67,2
14,"討魔的證明×1",225,"直接進往下1個探索地區。",0,23,1,19,0,"item_id024.png",11,0,0,0,,225,58.76,7.5
15,"妖魔的指南針×1",45,"在任務進行度達成滿值的情況下使用，將會找到所在地區的Boss任務。在任務進行度達成滿值的情況下使用，將會找到所在地區的Boss任務。在沒有顯示進行度的地區使用，將會隨機找到該MAP的其中一個Boss任務。",0,24,1,20,0,"item_id023.png",11,0,0,0,,45,11.75,1.5
16,"Ex影之大陸通行證1×5",60,"搜索影之大陸的隱藏區域（0分）",0,31,5,21,0,"item_id031_5.png ",11,0,0,0,,60,15.67,2
17,"Ex影之大陸通行證2×5 ",105,"搜索影之大陸的隱藏區域（2小時）",0,32,5,22,0,"item_id032_5.png",11,0,0,0,,105,27.42,3.5
18,"Ex影之大陸通行證3×5",150,"搜索影之大陸的隱藏區域（3天）",0,33,5,23,0,"item_id033_5.png",11,0,0,0,,150,39.17,5
19,"抽獎券×10",195,"抽獎券×10",0,9,10,0,0,"item_id009_10.png",11,0,0,0,,195,50.92,6.5
20,"抽獎券×30＋4+α",540,"抽獎券×30＋4+冥府的印章x1",0,9,34,1,1,"item_id009_30.png",11,78,0,0,,540,141.01,18
21,"抽獎券×50＋8+α",900,"抽獎券×50＋8+冥府的印章x2",0,9,58,2,1,"item_id009_50.png",11,79,0,0,,900,235.02,30
22,"Ex月之大陸通行證1×5",75,"搜索月之大陸的隱藏區域（0分）",0,34,5,24,0,"item_id034_5.png ",11,0,0,0,,75,19.59,2.5
23,"Ex月之大陸通行證2×5",120,"搜索月之大陸的隱藏區域（2小時）",0,35,5,25,0,"item_id035_5.png",11,0,0,0,,120,31.34,4
24,"Ex月之大陸通行證3×5",165,"搜索月之大陸的隱藏區域（3天）",0,36,5,26,0,"item_id036_5.png",11,0,0,0,,165,43.09,5.5
25,"記憶的碎片×1",45,"充滿著生前記憶的碎片 個数1",4,10006,1,0,0,"chara_id10006.png",11,0,0,0,,45,11.75,1.5
26,"記憶的碎片×12",450,"充滿著生前記憶的碎片 個数12",4,10006,12,1,0,"chara_id10006_12.png",11,0,0,0,,450,117.51,15
27,"時間的碎片×1",60,"回逤時光所必要的時間的碎片 個数1",4,10007,1,2,0,"chara_id10007.png",11,0,0,0,,60,15.67,2
28,"時間的碎片×12",600,"回逤時光所必要的時間的碎片 個数12",4,10007,12,3,0,"chara_id10007_12.png",11,0,0,0,,600,156.68,20
29,"靈魂的碎片×1",75,"遺失的靈魂碎片 個数1",4,10008,1,4,0,"chara_id10008.png",11,0,0,0,,75,19.59,2.5
30,"靈魂的碎片×12",750,"遺失的靈魂碎片 個数12",4,10008,12,5,0,"chara_id10008_12.png",11,0,0,0,,750,195.85,25
31,"開拓者的手環I",60,"任務同時探索數增加1個。有效期30天。",0,9,1,3,0,"item_id013.png",11,0,0,0,,60,15.67,2
32,"開拓者的手環II",105,"任務同時探索數增加2個。有效期30天。",0,9,1,4,0,"item_id013.png",11,0,0,0,,105,27.42,3.5
33,"開拓者的手環III ",135,"任務同時探索數增加3個。有效期30天。",0,9,1,5,0,"item_id013.png",11,0,0,0,,135,35.25,4.5
34,"神秘的髮冠I",60,"任務探索時間縮短30%。有效期30天。",1,57,1,100,0,"chara_id1003.png",11,0,0,0,,60,15.67,2
35,"神秘的髮冠II",105,"任務探索時間縮短50%。有效期30天。",1,58,1,101,0,"chara_id1004.png",11,0,0,0,,105,27.42,3.5
36,"神秘的髮冠III",135,"任務探索時間縮短75%。有效期30天。",1,59,1,102,0,"chara_id1005.png",11,0,0,0,,135,35.25,4.5
