"id","kind","cond","items","prerequisite","exclusion","loop","caption","success_cond","explanation","event_start_at","event_end_at"
1,0,1,"3/9/1/0",0,,0,"สร้างอวาตาร์",0,,"2011-09-14 05:31:00 UTC",
2,0,2,"3/9/1/0",1,,0,"อวาตาร์ถึงเลเวล 3",3,,"2011-09-14 05:31:00 UTC",
3,0,3,"3/9/1/0",2,,0,"อวาตาร์ถึงเลเวล 5",5,,"2011-09-14 05:31:00 UTC",
4,0,4,"3/9/1/0",3,,0,"อวาตาร์ถึงเลเวล 10",10,,"2011-09-14 05:31:00 UTC",
5,0,5,"3/9/1/0",4,,0,"อวาตาร์ถึงเลเวล 15",15,,"2011-09-14 05:31:00 UTC",
6,0,6,"3/9/1/0",5,,0,"อวาตาร์ถึงเลเวล 20",20,,"2011-09-14 05:31:00 UTC",
7,0,7,"3/9/2/0",6,,0,"อวาตาร์ถึงเลเวล 30",30,,"2011-09-14 05:31:00 UTC",
8,0,8,"3/9/2/0",7,,0,"อวาตาร์ถึงเลเวล 40",40,,"2011-09-14 05:31:00 UTC",
9,0,9,"3/9/2/0",8,,0,"อวาตาร์ถึงเลเวล 50",50,,"2011-09-14 05:31:00 UTC",
10,0,10,"3/9/2/0",9,,0,"อวาตาร์ถึงเลเวล 60",60,,"2011-09-14 05:31:00 UTC",
11,0,11,"3/9/3/0",10,,0,"อวาตาร์ถึงเลเวล 70",70,,"2011-09-14 05:31:00 UTC",
12,0,12,"3/9/3/0",11,,0,"อวาตาร์ถึงเลเวล 80",80,,"2011-09-14 05:31:00 UTC",
13,0,13,"3/9/3/0",12,,0,"อวาตาร์ถึงเลเวล 90",90,,"2011-09-14 05:31:00 UTC",
14,0,14,"3/9/5/0",13,,0,"อวาตาร์ถึงเลเวล 100",100,,"2011-09-14 05:31:00 UTC",
15,0,15,"3/9/5/0",14,,0,"อวาตาร์ถึงเลเวล 110",110,,"2011-09-14 05:31:00 UTC",
16,0,16,"3/9/5/0",15,,0,"อวาตาร์ถึงเลเวล 120",120,,"2011-09-14 05:31:00 UTC",
