"id","name","monstar_no","treasure_no","event_no","stage","caption","name_en","name_fr","name_kr","name_scn","name_tcn","name_ina","name_thai","caption_en","caption_fr","caption_kr","caption_scn","caption_tcn","caption_ina","caption_thai"
1,"舗装された道",0,0,0,2,"人の手が入った歩きやすい道","Paved Road","Route pavée","포장된 길","铺修过的道路","鋪修過的道路","Paved Road","ถนนที่ปูทางแล้ว","A road paved by people","Une route pavée par les gens","사람이 만들어 놓은 걷기 편한 길","经过铺修的平坦道路","經過鋪修的平坦道路","Jalan yang ditapaki oleh manusia.","ถนนที่มนุษย์สามารถเดินได้ง่าย"
2,"舗装された道",0,50001,0,2,"人の手が入った歩きやすい道","Paved Road","Route pavée","포장된 길","铺修过的道路","鋪修過的道路","Paved Road","ถนนที่ปูทางแล้ว","A road paved by people","Une route pavée par les gens","사람이 만들어 놓은 걷기 편한 길","经过铺修的平坦道路","經過鋪修的平坦道路","Jalan yang ditapaki oleh manusia.","ถนนที่มนุษย์สามารถเดินได้ง่าย"
3,"☆舗装された道",0,20011,0,2,"人の手が入った歩きやすい道","☆Paved Road","☆Route pavée","☆포장된 길","☆铺修过的道路","☆鋪修過的道路","☆Paved Road","☆ถนนที่ปูทางแล้ว","A road paved by people","Une route pavée par les gens","사람이 만들어 놓은 걷기 편한 길","经过铺修的平坦道路","經過鋪修的平坦道路","Jalan yang ditapaki oleh manusia.","ถนนที่มนุษย์สามารถเดินได้ง่าย"
4,"★舗装された道",0,1,0,2,"人の手が入った歩きやすい道","★Paved Road","★Route pavée","★포장된 길","★铺修过的道路","★鋪修過的道路","★Paved Road","★ถนนที่ปูทางแล้ว","A road paved by people","Une route pavée par les gens","사람이 만들어 놓은 걷기 편한 길","经过铺修的平坦道路","經過鋪修的平坦道路","Jalan yang ditapaki oleh manusia.","ถนนที่มนุษย์สามารถเดินได้ง่าย"
5,"森の小道",0,0,0,1,"穏やかな獣道","A Path in the Forest","Un Chemin dans la Forêt","숲속의 좁은 길","森林小道","森林小道","Forest Path","ทางเดินสัตว์ป่า","A quiet animal trail","Une piste animale tranquille","조용한 숲 속의 좁은 길","稳静的兽道","穩靜的獸道","Jalur hewan yang sunyi.","ทางเดินของสัตว์ป่าที่เงียบสงบ"
6,"森の小道",0,50002,0,1,"穏やかな獣道","A Path in the Forest","Un Chemin dans la Forêt","숲속의 좁은 길","森林小道","森林小道","Forest Path","ทางเดินสัตว์ป่า","A quiet animal trail","Une piste animale tranquille","조용한 숲 속의 좁은 길","稳静的兽道","穩靜的獸道","Jalur hewan yang sunyi.","ทางเดินของสัตว์ป่าที่เงียบสงบ"
7,"☆森の小道",0,20033,0,1,"穏やかな獣道","☆A Path in the Forest","☆Un Chemin dans la Forêt","☆숲속의 좁은 길","☆森林小道","☆森林小道","☆Forest Path","☆ทางเดินสัตว์ป่า","A quiet animal trail","Une piste animale tranquille","조용한 숲 속의 좁은 길","稳静的兽道","穩靜的獸道","Jalur hewan yang sunyi.","ทางเดินของสัตว์ป่าที่เงียบสงบ"
8,"★森の小道",0,11,0,1,"穏やかな獣道","★A Path in the Forest","★Un Chemin dans la Forêt","★숲속의 좁은 길","★森林小道","★森林小道","★Forest Path","★ทางเดินสัตว์ป่า","A quiet animal trail","Une piste animale tranquille","조용한 숲 속의 좁은 길","稳静的兽道","穩靜的獸道","Jalur hewan yang sunyi.","ทางเดินของสัตว์ป่าที่เงียบสงบ"
9,"静寂なる丘",0,0,0,6,"緑が垣間見える小高い丘","Silent Hill","Colline silencieuse","고요한 언덕","寂静之丘","寂靜之丘","Silent Hill","เนินเขาแสนสงบ","A hill where you can see a peek of the meadow","Une colline où vous pouvez voir un coup d'oeil furtif de la prairie","초원이 보이는 조그만 언덕","绿影斑驳的小高丘","綠影斑駁的小高丘","Bukit tempat mengintip padang rumput.","เนินเขาสีเขียวเตี้ยๆ"
10,"静寂なる丘",0,50001,0,6,"緑が垣間見える小高い丘","Silent Hill","Colline silencieuse","고요한 언덕","寂静之丘","寂靜之丘","Silent Hill","เนินเขาแสนสงบ","A hill where you can see a peek of the meadow","Une colline où vous pouvez voir un coup d'oeil furtif de la prairie","초원이 보이는 조그만 언덕","绿影斑驳的小高丘","綠影斑駁的小高丘","Bukit tempat mengintip padang rumput.","เนินเขาสีเขียวเตี้ยๆ"
11,"☆静寂なる丘",0,20037,0,6,"緑が垣間見える小高い丘","☆Silent Hill","☆Colline silencieuse","☆고요한 언덕","☆寂静之丘","☆寂靜之丘","☆Silent Hill","☆เนินเขาแสนสงบ","A hill where you can see a peek of the meadow","Une colline où vous pouvez voir un coup d'oeil furtif de la prairie","초원이 보이는 조그만 언덕","绿影斑驳的小高丘","綠影斑駁的小高丘","Bukit tempat mengintip padang rumput.","เนินเขาสีเขียวเตี้ยๆ"
12,"★静寂なる丘",0,21,0,6,"緑が垣間見える小高い丘","★Silent Hill","★Colline silencieuse","★고요한 언덕","★寂静之丘","★寂靜之丘","★Silent Hill","★เนินเขาแสนสงบ","A hill where you can see a peek of the meadow","Une colline où vous pouvez voir un coup d'oeil furtif de la prairie","초원이 보이는 조그만 언덕","绿影斑驳的小高丘","綠影斑駁的小高丘","Bukit tempat mengintip padang rumput.","เนินเขาสีเขียวเตี้ยๆ"
13,"宝石の森",0,0,0,1,"財宝の眠る地","Treasure Forest","Foret de Tresor","보석의 숲","宝石森林","寶石森林","Treasure Forest","ป่าอัญมณี","The land of hidden treasure","La terre de trésor caché","보석이 잠들어 있는 숲","沉眠着宝物的土地","沉眠著寶物的土地","Tanah hartu karun tersebunyi.","พื้นที่ที่มีอัญมณีหลับใหลอยู่"
14,"宝石の森",0,50002,0,1,"財宝の眠る地","Treasure Forest","Foret de Tresor","보석의 숲","宝石森林","寶石森林","Treasure Forest","ป่าอัญมณี","The land of hidden treasure","La terre de trésor caché","보석이 잠들어 있는 숲","沉眠着宝物的土地","沉眠著寶物的土地","Tanah hartu karun tersebunyi.","พื้นที่ที่มีอัญมณีหลับใหลอยู่"
15,"☆宝石の森",0,20003,0,1,"財宝の眠る地","☆Treasure Forest","☆Foret de Tresor","☆보석의 숲","☆宝石森林","☆寶石森林","☆Treasure Forest","☆ป่าอัญมณี","The land of hidden treasure","La terre de trésor caché","보석이 잠들어 있는 숲","沉眠着宝物的土地","沉眠著寶物的土地","Tanah hartu karun tersebunyi.","พื้นที่ที่มีอัญมณีหลับใหลอยู่"
16,"★宝石の森",0,31,0,1,"財宝の眠る地","★Treasure Forest","★Foret de Tresor","★보석의 숲","★宝石森林","★寶石森林","★Treasure Forest","★ป่าอัญมณี","The land of hidden treasure","La terre de trésor caché","보석이 잠들어 있는 숲","沉眠着宝物的土地","沉眠著寶物的土地","Tanah hartu karun tersebunyi.","พื้นที่ที่มีอัญมณีหลับใหลอยู่"
17,"採掘場",0,0,0,7,"閉鎖された鉱山","Mine","Mine","채굴장","采掘场","採掘場","Mine","เหมืองแร่","A closed down mine","Un fermé en bas de mine","폐쇄된 광산","封锁的矿山","封鎖的礦山","Tambang yang ditutup.","เหมืองแร่ที่ถูกปิดตาย"
18,"採掘場",0,50001,0,7,"閉鎖された鉱山","Mine","Mine","채굴장","采掘场","採掘場","Mine","เหมืองแร่","A closed down mine","Un fermé en bas de mine","폐쇄된 광산","封锁的矿山","封鎖的礦山","Tambang yang ditutup.","เหมืองแร่ที่ถูกปิดตาย"
19,"☆採掘場",0,20022,0,7,"閉鎖された鉱山","☆Mine","☆Mine","☆채굴장","☆采掘场","☆採掘場","☆Mine","☆เหมืองแร่","A closed down mine","Un fermé en bas de mine","폐쇄된 광산","封锁的矿山","封鎖的礦山","Tambang yang ditutup.","เหมืองแร่ที่ถูกปิดตาย"
20,"★採掘場",0,41,0,7,"閉鎖された鉱山","★Mine","★Mine","★채굴장","★采掘场","★採掘場","★Mine","★เหมืองแร่","A closed down mine","Un fermé en bas de mine","폐쇄된 광산","封锁的矿山","封鎖的礦山","Tambang yang ditutup.","เหมืองแร่ที่ถูกปิดตาย"
21,"新緑の林",0,0,0,1,"新芽が息吹く林","Fresh Forest","Foret Fraiche","신록의 숲","嫩绿之林","嫩綠之林","Verdure Forest","ป่าเขียวชอุ่ม","Woods, where many sprouts cleanse the air","Bois où beaucoup de pousses assainissent l'air","새싹이 숨쉬는 숲","新芽弥漫的森林","新芽彌漫的森林","Hutan yang dipenuhi tumbuhan pembersih udara.","ป่าที่ต้นอ่อนกำลังแตกยอด"
22,"新緑の林",0,50003,0,1,"新芽が息吹く林","Fresh Forest","Foret Fraiche","신록의 숲","嫩绿之林","嫩綠之林","Verdure Forest","ป่าเขียวชอุ่ม","Woods, where many sprouts cleanse the air","Bois où beaucoup de pousses assainissent l'air","새싹이 숨쉬는 숲","新芽弥漫的森林","新芽彌漫的森林","Hutan yang dipenuhi tumbuhan pembersih udara.","ป่าที่ต้นอ่อนกำลังแตกยอด"
23,"☆新緑の林",0,20019,0,1,"新芽が息吹く林","☆Fresh Forest","☆Foret Fraiche","☆신록의 숲","☆嫩绿之林","☆嫩綠之林","☆Verdure Forest","☆ป่าเขียวชอุ่ม","Woods, where many sprouts cleanse the air","Bois où beaucoup de pousses assainissent l'air","새싹이 숨쉬는 숲","新芽弥漫的森林","新芽彌漫的森林","Hutan yang dipenuhi tumbuhan pembersih udara.","ป่าที่ต้นอ่อนกำลังแตกยอด"
24,"★新緑の林",0,51,0,1,"新芽が息吹く林","★Fresh Forest","★Foret Fraiche","★신록의 숲","★嫩绿之林","★嫩綠之林","★VerdureForest","★ป่าเขียวชอุ่ม","Woods, where many sprouts cleanse the air","Bois où beaucoup de pousses assainissent l'air","새싹이 숨쉬는 숲","新芽弥漫的森林","新芽彌漫的森林","Hutan yang dipenuhi tumbuhan pembersih udara.","ป่าที่ต้นอ่อนกำลังแตกยอด"
25,"古代樹",0,0,0,1,"古くから存在しているとされる大樹","Ancient Tree","Arbre ancien","고대나무","古代树","古代樹","Ancient Tree","ต้นไม้โบราณ","A huge tree said to have existed from ancient times","Un arbre énorme a dit pour avoir existé de temps anciens","먼 옛날부터 존재했다는 큰 나무","自古以来就存在的大树","自古以來就存在的大樹","Pohon raksasa yang konon berasal dari jaman purba.","ต้นไม้ใหญ่ที่มีชีวิตมาแต่สมัยโบราณ"
