"id","name","caption","region","level","ap","difficulty","name_en","name_fr","name_kr","name_scn","name_tcn","name_ina","name_thai","caption_en","caption_fr","caption_kr","caption_scn","caption_tcn","caption_ina","caption_thai"
1,"魔女の谷","聖女の館に続く薄暗く不気味な谷。",0,1,1,3,"Witches' Valley","Vallée des magiciens","마녀의 계곡","魔女山谷","魔女山谷","Witch Valley","หมู่บ้านแม่มด","The creepy valley that leads to the Saint's castle","Vallée terrifiante qui mène au Saint Château","성녀의 저택으로 이어진 어둡고 기분 나쁜 계곡.","通往圣女之馆的昏暗阴森山谷。","通往聖女之館的昏暗陰森山谷。","Lembah gelap mengerikan menuju kastil Orang Suci.","หมู่บ้านประหลาดที่มีแสงสลัวต่อไปยังคฤหาสน์สตรีศักดิ์สิทธิ์"
2,"隠者の道","世捨て人が力を求めさまよった荒野の道",0,3,1,3,"Hermit Road","Route des Ermites","은자의 길","隐者之道","隱者之道","Hermit Road","ถนนลักซ่อน","The deserted road the hermits have found whilst wandering in search of power","Route déserte que les ermites trouvèrent alors qu'ils étaient à la recherche de pouvoir","세상을 등진 자들이 힘을 구하기 위해 방황하는 황야의 길.","远离尘世的人为了寻求力量而徘徊的荒野小道。","遠離塵世的人為了尋求力量而徘徊的荒野小道。","Jalan setapak yang ditemukan oleh seorang pertapa saat bertualang mencari kekuatan.","ถนนในป่าที่ผู้บำเพ็ญเพียรแสวงหาพลังหลงวนเวียนอยู่"
3,"人狼の住処","人食いの獣が住む魔の森",0,8,1,3,"Wolman's Forest","Forêt de Wolman","인랑의 거처","人狼家园","人狼家園","Wolven Forest","รังมนุษย์หมาป่า","The evil forest where a man slaughtering beast rests","Forêt maléfique où vit un Monstre dévoreur d'Hommes.","식인 짐승이 살고 있는 마의 숲.","有食人兽居住的魔物森林。","有食人獸居住的魔物森林。","Hutan kegelapan tempat tinggal makhluk pembantai manusia.","ป่าเวทมนตร์ที่มีสัตว์ร้ายกินคนอาศัยอยู่"
4,"黒の森","邪悪な侏儒たちは暗い森で宴をひらく。",1,12,1,8,"Black Forest","Forêt Noire","검은 숲","黑森林","黑森林","Black Forest","ป่าสีดำ","In the dark woods,  evil dwarfs feast here.","Bois sombres dans lesquels les nains malins festoient. ","사악한 유령들은 어두운 숲에서 연회를 연다.","邪恶的小矮人们在阴暗森林里开宴会。","邪惡的小矮人們在陰暗森林裡開宴會。","Didalam hutan, para Goblin jahat berpesta.","ป่าอันมืดมิดที่เหล่าก็อบลินชั่วร้ายจัดงานฉลองอยู่"
5,"掃きだめの街道","行き先のないものが歩く黄昏れた道",1,14,1,10,"Road for the Homeless","Route des Sans-abris","방랑의 거리","垃圾之街","垃圾之街","Homeless Path","ถนนขยะ","The lonely roads the homeless ones walk through","Route solitaire sur laquelle les Sans-abris errent.","갈 곳 없는 자들이 걷는 황혼이 짙은 길.","无处可去的人们所行走的黄昏小道。","無處可去的人們所行走的黃昏小道。","Jalan sunyi yang dilewati orang tanpa tempat tinggal.","ถนนยามสายัณห์ที่คนไร้ที่ไปเดินผ่าน"
6,"名伏せられし丘","人々から忘れ去られた丘にはいつからか「魔」が潜む",1,16,2,12,"Hill with a hidden name","Colline au nom inconnu","잊혀진 언덕","无名之丘","無名之丘","Forgotten Hill","เนินซ่อนนาม","The demon lurks in the shadow of this forgotten hill","Un démon se cache à l'ombre de cette colline oubliée. ","사람들에게 잊혀진 언덕 언제부턴가 마의 존재가 숨어들었다.","被人们所遗忘的山丘，在不知何时开始遭到了魔物入侵。","被人們所遺忘的山丘，在不知何時開始遭到了魔物入侵。","Iblis berdiam di dalam bayangan bukit yang terlupakan ini.","เนินเขาที่ถูกผู้คนหลงลืมจนมี [ปิศาจ] มาสิงสู่อยู่"
7,"修道院廃墟","静謐な祈りが毎日ささげられた場所はいまでは邪悪な魂がただよう奇怪な場所に。",1,18,2,15,"Ruins of the Monastery","Ruines du Monastère","폐허 수도원","修道院废墟","修道院廢墟","Monastery Ruin","โบสถ์ร้าง","The once peaceful and sacred monastery now has become a spooky place where lost spirits wander","A autrefois été un monastère sacré mais est désormais peuplé d'esprits mauvais. ","정렴한 기도가 행해지던 장소는 언제부턴가 사악한 혼이 떠도는 기괴한 장소로 변했다","曾经是每天静谧的祈祷场所，现在却成为邪恶魂魄游荡的古怪场所。","曾經是每天靜謐的祈禱場所，現在卻成為邪惡魂魄遊蕩的古怪場所。","Kuil yang dulunya suci & damai kini menjadi tempat berkeliarannya jiwa-jiwa yang tersesat.","สถานที่ที่ผู้คนเคยกล่าวคำอธิษฐานอย่างสงบสุข ได้กลายเป็นสถานที่ลึกลับที่วิญญาณร้ายล่องลอยอยู่"
8,"物忌みの湖","冷たい湖の底には浮かばれない自殺者たちが沈んでいるという。",1,20,2,18,"The Fasting Lake","Lac des Afamés","잊혀진 호수","斋戒之湖","齋戒之湖","Frozen Lake","ทะเลสาบต้องห้าม","They say the suicides rejected from heaven still lie in the bed of this ice cold lake","On dit que les âmes des suicidés, rejetées du Paradis, reposent dans ce lac glacé.","차가운 호수 바닥에는 떠오르지 못한 시체들이 가라앉아있다고 한다.","据说冰冷的湖底沈睡着永不浮出水面的自杀者。","據說冰冷的湖底沈睡著永不浮出水面的自殺者。","Konon arwah korban bunuh diri yang tidak dapat ke surga masih berdiam di dasar danau es ini.","กล่าวกันว่าร่างของผู้คนที่ฆ่าตัวตายไม่เคยลอยขึ้นมาจากทะเลสาบอันเย็นเยียบแห่งนี้"
9,"食人鬼の村","呪われた村に住む住人は呪われた姿になった。",1,22,3,22,"The Cannibal Demon's Village","Village du Démon Cannibale","식인귀의 가도","食人鬼村","食人鬼村","Cannibal Village","หมู่บ้านปิศาจกินคน","The people of this haunted village have become monsters.","Les habitants de ce village hanté sont devenus des monstres.","저주받은 마을에 살던 주민은 모두 다 저주받은 모습으로 변했다.","住在被诅咒的村庄里的人们也都成了诅咒之身。","住在被詛咒的村莊裡的人們也都成了詛咒之身。","Penduduk desa berhantu ini telah menjadi monster.","ร่างต้องสาปที่กลายร่างมากจากผู้คนที่อาศัยอยู่ในหมู่บ้านต้องสาป"
10,"幽霊騎士の首塚","大昔、武勲をたたえられた騎士も今は己の首をもとめて無辜の人々の殺戮を続ける。",1,25,3,26,"The Pile of Heads of Knights","Tas de Têtes de Chevaliers","유령기사의 무덤","幽灵骑士的头颅墓","幽靈騎士的頭顱墓","Knights Skull Mountain","เชิงเขาอัศวินวิญญาณ","The once great knights now wander around brutally killing innocent people in search for their head.","D'anciens Chevaliers errent, à la recherche de leur tête, en tuant d'innocentes victimes.","옛날 존경받던 기사들은 마의 존재에 무릎을 꿇고 무고한 사람들을 해하기 시작했다.","许久以前曾建立过功勋的骑士们如今却为了寻找自己的头颅不断杀戮着无辜的人。","許久以前曾建立過功勳的騎士們如今卻為了尋找自己的頭顱不斷殺戮著無辜的人。","Ksatria yang dulunya perkasa sekarang bergentayangan dan membunuh manusia secara brutal untuk mendapatkan kepala mereka.","อัศวินล่าสังหารจากสมัยโบราณ ที่ยังคงไล่เข่นฆ่าผู้บริสุทธิ์อย่างเหี้ยมโหดเพื่อตามหาหัวที่หายไปของตน"
11,"影斬り森","悪魔は昏い森に君臨していた。",1,28,4,30,"The Forest that Steals Shadows","Forêt voleuse d'ombres","그림자 숲","斩影森林","斬影森林","Shadowless Forest","ป่าตัดเงา","The demon rules the dark forest.","Démon qui règne sur la sombre Forêt.","악마는 어두운 숲 속에 군림하고 있다.","由恶魔统治的昏暗森林。","由惡魔統治的昏暗森林。","Iblis menguasai hutan kegelapan ini.","ป่ามืดครึ้มที่ถูกยึดครองโดยปิศาจร้าย"
12,"碧空の尖塔","古代に建てられた光り輝く尖塔も今は孤影を廃墟にのばすのみ。",2,30,3,25,"A Steeple of the Sky","Clocher du Ciel","창공의 첨탑","碧空的尖塔","碧空的尖塔","Sky Steeple","หอคอยสีคราม","Shadow of the ancient steeple covers the ruin.","L'ombre de l'ancien Clocher couvre encore ses ruines.","먼 옛날에 세워진 빛나는 첨탑도 지금은 그 잔해만이 남아있다.","古代所建造的光辉尖塔,而現在只剩下廢墟伸長著的孤影而已了。","古代所建造的光輝尖塔,而現在只剩下廢墟伸長著的孤影而已了。","Bayangan gereja kuno menaungi reruntuhan ini.","หอคอยเปล่งประกายที่ถูกสร้างขึ้นเมื่อสมัยโบราณ แต่มาบัดนี้รกร้างอยู่อย่างโดดเดี่ยว"
13,"レン高原","誰もいない草原には夜になると、魔の気配を生ずる。",2,32,3,30,"Len's Highland","Pays montagneux de Len","황량한 고원","雷恩高原","雷恩高原","Len Plateau","ที่ราบสูงเลง","Evil appears in this abandon grassland during the night.","Un Esprit malin apparaît dans ces landes quand la nuit tombe.","아무도 없는 초원은 밤이 되면 마의 기운만이 감돈다.","毫无人烟的草原一到了夜晚，就会散发出魔物的气息。","毫無人煙的草原一到了夜晚，就會散發出魔物的氣息。","Para hantu bergentayangan di dataran terabaikan ini saat malam tiba.","ที่ราบสูงปราศจากผู้คน ตกกลางคืนจะมีกลิ่นอายของปิศาจออกมา"
14,"夜歩く影の道","道はあれども、そこに行き交う人々の姿はない。ただ月夜には影だけがうごめいていた。",2,34,4,35,"The Road of Shadow","Route d'Ombre","그림자가 걷는 길","夜影步道","夜影步道","Shadow Road","ถนนเงาราตรี","Only shadow wiggles under the moonlight.","Seules quelques ombres se tortillent sous la lumière blafarde de la Lune.","길은 있지만 아무도 그 길로 다니는 사람은 없고 단지 밤이 되면 그림자만이 배회한다고 한다.","虽有道路，但却绝不会与他人交会。只有月夜下的影子在蠢动着。","雖有道路，但卻絕不會與他人交會。只有月夜下的影子在蠢動著。","Hanya bayangan yang bergerak dibawah sinar bulan.","ถึงจะเป็นถนน แต่ก็ไม่มีใครเดินผ่าน แต่พอตกกลางคืนจะมีเงาออกมาเต็มไปหมด"
