"id","quest_map_id","name","caption","ap","kind","difficulty","rarity","quest_land_id_0_0","next_0_0","quest_land_id_0_1","next_0_1","quest_land_id_0_2","next_0_2","quest_land_id_1_0","next_1_0","quest_land_id_1_1","next_1_1","quest_land_id_1_2","next_1_2","quest_land_id_2_0","next_2_0","quest_land_id_2_1","next_2_1","quest_land_id_2_2","next_2_2","quest_land_id_3_0","next_3_0","quest_land_id_3_1","next_3_1","quest_land_id_3_2","next_3_2","quest_land_id_4_0","next_4_0","quest_land_id_4_1","next_4_1","quest_land_id_4_2","next_4_2","name_en","name_fr","name_kr","name_scn","name_tcn","name_ina","name_thai","caption_en","caption_fr","caption_kr","caption_scn","caption_tcn","caption_ina","caption_thai"
1,1,"夕刻の大蝙蝠","谷を舞う大蝙蝠は今夜も犠牲者を捜す",0,0,1,1,0,0,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Enormous Bat at Sunset","Enorme Chauve-souris nocturne","석양의 박쥐","落日大蝙蝠","落日大蝙蝠","Sunset Bats","ค้างคาวยักษ์ยามสนธยา","Huge bats flutter through the valley looking for their nest.","D'énormes Chauves-souris tournoient dans la vallée à la recherche de leur nid.","계곡을 떠도는 박쥐는 오늘도 희생자를 찾아 헤맨다.","飞舞于山谷间的大蝙蝠，今晚也要搜寻牺牲者","飛舞於山谷間的大蝙蝠，今晚也要搜尋犧牲者","kelelawar terbang di lembah mencari korban malam ini","ค้างคาวที่โบยบินในหมู่บ้านออกหาเหยื่อยามค่ำคืน"
2,210,"蝙蝠の群れ","谷を舞う大蝙蝠は今夜も犠牲者を捜す",0,0,1,1,0,0,204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bats","Chauves-souris","박쥐떼","蝙蝠之群","蝙蝠之群","Bats","ฝูงค้างคาว","Huge bats flutter through the valley looking for their nest.","D'énormes Chauves-souris tournoient dans la vallée à la recherche de leur nid.","계곡을 떠도는 박쥐는 오늘도 희생자를 찾아 헤맨다.","飞舞于山谷间的大蝙蝠，今晚也要搜寻牺牲者","飛舞於山谷間的大蝙蝠，今晚也要搜尋犧牲者","kelelawar terbang di lembah mencari korban malam ini","ค้างคาวที่โบยบินในหมู่บ้านออกหาเหยื่อยามค่ำคืน"
3,1,"大蝙蝠の群れ","谷を舞う大蝙蝠は今夜も犠牲者を捜す",1,2,1,1,0,0,201,2,0,0,0,0,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Enormous Bats","Enormes Chauves-souris ","큰 박쥐떼","大蝙蝠之群","大蝙蝠之群","Huge Bats","ฝูงค้างคาวยักษ์","Huge bats flutter through the valley looking for their nest.","D'énormes Chauves-souris tournoient dans la vallée à la recherche de leur nid.","계곡을 떠도는 박쥐는 오늘도 희생자를 찾아 헤맨다.","飞舞于山谷间的大蝙蝠，今晚也要搜寻牺牲者","飛舞於山谷間的大蝙蝠，今晚也要搜尋犧牲者","kelelawar terbang di lembah mencari korban malam ini","ค้างคาวที่โบยบินในหมู่บ้านออกหาเหยื่อยามค่ำคืน"
4,2,"丘の小人","町外れの丘には人を襲う小人が住むという",0,0,1,1,0,0,5,2,0,0,0,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"The Dwarfs on the Hill","Nains sur la Colline","언덕의 난쟁이","山丘矮人","山丘矮人","Goblin Hill","คนแคระแห่งหุบเขา","They say that dwarfs attack people at this hill far outside town","On dit que des Nains attaquent les passants sur cette colline solitaire.","마을에서 떨어진 언덕에는 사람을 공격하는 난쟁이가 산다고 한다.","村外的山丘上住着袭击人的矮人","村外的山丘上住著襲擊人的矮人","kurcaci menyerang orang yang hidup di pinggir kota","คนแคระที่อาศัยอยู่ในเนินเขานอกเมืองเที่ยวโจมตีผู้คน"
5,2,"小人たちの行進","町外れの丘には人を襲う小人が住むという",0,0,1,1,0,0,201,2,0,0,0,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"The Dwarf's March","Procession de Nains","난쟁이들의 행진","矮人们列队前进","矮人們列隊前進","Goblin March","พาเหรดเหล่าคนแคระ","They say that dwarfs attack people at this hill far outside town","On dit que des Nains attaquent les passants sur cette colline solitaire.","마을에서 떨어진 언덕에는 사람을 공격하는 난쟁이가 산다고 한다.","村外的山丘上住着袭击人的矮人","村外的山丘上住著襲擊人的矮人","kurcaci menyerang orang yang hidup di pinggir kota","คนแคระที่อาศัยอยู่ในเนินเขานอกเมืองเที่ยวโจมตีผู้คน"
6,2,"小人の宴","町外れの丘には人を襲う小人が住むという",1,2,1,2,0,0,104,2,0,0,0,0,9,2,0,0,0,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"The Dwarf's Feast","Fête des Nains","난쟁이의 연회","矮人的宴会","矮人的宴會","Goblin Feast","งานฉลองเหล่าคนแคระ","They say that dwarfs attack people at this hill far outside town","On dit que des Nains attaquent les passants sur cette colline solitaire.","마을에서 떨어진 언덕에는 사람을 공격하는 난쟁이가 산다고 한다.","村外的山丘上住着袭击人的矮人","村外的山丘上住著襲擊人的矮人","kurcaci menyerang orang yang hidup di pinggir kota","คนแคระที่อาศัยอยู่ในเนินเขานอกเมืองเที่ยวโจมตีผู้คน"
7,3,"底無しの沼","魔力の集まる水辺には珍しい妖魔が現れる",1,0,1,1,0,0,101,2,0,0,0,0,301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"The Swamp with no Bottom","Marais sans Fond","끝없는 늪","无底泥潭","無底泥潭","Bottomess Lake","บึงไร้ก้น","Strange devils appear at the magical waterside","D'étranges démons apparaissent dans ces marais ensorcelés. ","마력이 모이는 물가에는 특이한 요마가 나타난다","凝聚魔力聚集的水边，出现了稀有的妖魔","凝聚魔力聚集的水邊，出現了稀有的妖魔","setan penyihir yang langka muncul di tepi air di mana kekuatan sihir itu berkumpul","ปิศาจจะปรากฏตัวรอบแหล่งน้ำที่รวมพลังเวทมนตร์"
8,3,"夜の湖畔","魔力の集まる水辺には珍しい妖魔が現れる",1,0,1,1,0,0,301,2,0,0,0,0,304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Midnight Lakeside","Bord du Lac de Minuit","밤의 호반","夜色湖畔","夜色湖畔","Midnight Lakeside","ฝั่งน้ำยามราตรี","Strange devils appear at the magical waterside","D'étranges démons apparaissent dans ces marais ensorcelés. ","마력이 모이는 물가에는 특이한 요마가 나타난다.","凝聚魔力聚集的水边，出现了稀有的妖魔","凝聚魔力聚集的水邊，出現了稀有的妖魔","setan penyihir yang langka muncul di tepi air di mana kekuatan sihir itu berkumpul","ปิศาจจะปรากฏตัวรอบแหล่งน้ำที่รวมพลังเวทมนตร์"
9,3,"魔力の池","魔力の集まる水辺には珍しい妖魔が現れる",2,2,1,2,0,0,101,2,0,0,0,0,201,2,0,0,0,0,310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"The Evil Pond","Etang maléfique","마력의 연못","魔法池","魔法池","The Evil Pond","หนองน้ำเวทมนตร์","Strange devils appear at the magical waterside","D'étranges démons apparaissent dans ces marais ensorcelés. ","마력이 모이는 물가에는 특이한 요마가 나타난다.","凝聚魔力聚集的水边，出现了稀有的妖魔","凝聚魔力聚集的水邊，出現了稀有的妖魔","setan penyihir yang langka muncul di tepi air di mana kekuatan sihir itu berkumpul","ปิศาจจะปรากฏตัวรอบแหล่งน้ำที่รวมพลังเวทมนตร์"
10,4,"魅惑の池1","黒の森の入り口にある池",1,0,2,1,0,0,1,2,0,0,0,0,13,2,0,0,0,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Enchanted Pond 1","Etang enchanté 1","매혹의 연못1","迷惑之池1","迷惑之池1","Enchanted Pond 1","หนองน้ำมนต์เสน่ห์ 1","The pond at the entrance of the Black Forest","Etang à l'entrée de la Forêt Noire.","검은 숲 입구에 있는 연못.","黑森林入口处的一潭池水","黑森林入口處的一潭池水","kolam pintu masuk hutan hitam","หนองน้ำที่อยู่ตรงทางเข้าป่าสีนิล"
