"id","name","price","description","rm_item_type","item_id","num","order","state","image_url","tab","extra_id","view_frame","sale_type","deck_image_url","twd","hkd","usd","thb"
1,"ยาเสน่ห์ของแม่มด x1",32,"ฟื้นพลังเคลื่อนไหวอวาตาร์ทั้งหมด จำนวน 1 ชิ้น",0,3,1,103,0,"item_id003.png",0,0,0,0,,30,7.83,0.8,32
2,"ยาเสน่ห์ของแม่มด x10",244,"ฟื้นพลังเคลื่อนไหวอวาตาร์ทั้งหมด จำนวน 10 ชิ้น",0,3,10,104,0,"item_id003_.png",0,0,0,0,,225,58.76,5.9,244
3,"ลักกี้โคลเวอร์ x1",16,"สามารถทอยลูกเต๋าซ้ำได้ในโบนัสเกม จำนวน 1 ชิ้น",0,4,1,108,0,"item_id004.png",10,0,0,0,,15,3.92,0.4,16
4,"ลักกี้โคลเวอร์ x10",130,"สามารถทอยลูกเต๋าซ้ำได้ในโบนัสเกม จำนวน 10 ชิ้น",0,4,10,109,0,"item_id004_.png",2,0,0,0,,120,31.34,3.2,130
5,"ไวท์เฮลธ์ 5",19,"สามารถข้ามโบนัสเกมได้ในกรณีที่แต้มของลูกเต๋าต่างกันน้อยกว่า 5 จำนวน 1 ชิ้น",0,7,1,110,0,"item_id007.png",10,0,0,0,,18,4.7,0.5,19
6,"ไวท์เฮลธ์ 5x10",162,"สามารถข้ามโบนัสเกมได้ในกรณีที่แต้มของลูกเต๋าต่างกันน้อยกว่า 5 จำนวน 10 ชิ้น",0,7,10,111,0,"item_id007_.png ",2,0,0,0,,150,39.17,4,162
7,"สคิป สตาร์",32,"ข้ามโบนัสเกม จำนวน 1 ชิ้น",0,8,1,112,0,"item_id008.png",9,0,0,0,,30,7.83,0.8,32
8,"สคิป สตาร์ x10",244,"ข้ามโบนัสเกม จำนวน 10 ชิ้น",0,8,10,113,0,"item_id008_.png",9,0,0,0,,225,58.76,5.9,244
9,"นาฬิกาทรายใหญ่ x1",19,"ทำให้พบเควสที่สำรวจได้ทันทีโดยไม่ต้องรอ จำนวน 1 ชิ้น",0,12,1,114,0,"item_id012.png",10,0,0,0,,18,4.7,0.5,19
10,"นาฬิกาทรายใหญ่ x10",162,"ทำให้พบเควสที่สำรวจได้ทันทีโดยไม่ต้องรอ จำนวน 10 ชิ้น",0,12,10,115,0,"item_id012_.png",1,0,0,0,,150,39.17,4,162
11,"ยาอายุวัฒนะ x1",9,"ฟื้น HP ตัวละครขณะทำเควสทั้งหมด จำนวน 1 ชิ้น",0,17,1,116,0,"item_id013.png",10,0,0,0,,9,2.35,0.2,9
12,"ยาอายุวัฒนะ x10",81,"ฟื้น HP ตัวละครขณะทำเควสทั้งหมด จำนวน 10 ชิ้น",0,17,10,117,0,"item_id013_.png",5,0,0,0,,75,19.59,2,81
13,"ประตูแห่งทรอยเมราย",65,"อัตราความก้าวหน้าของเควส +10",0,22,1,118,0,"item_id022.png",9,0,0,0,,60,15.67,1.6,65
14,"ใบรับรองผู้ปราบปิศาจ x1",244,"เพิ่มอาณาเขตเควส 1 ที่",0,23,1,119,0,"item_id024.png",1,0,0,0,,225,58.76,5.9,244
15,"เข็มทิศภูต x1",48,"หากอัตราความก้าวหน้าถึงปริมาณที่กำหนดแล้ว บอสเควสของอาณาเขตนั้นจะปรากฎออกมา",0,24,1,120,0,"item_id023.png",1,0,0,0,,45,11.75,1.2,48
16,"ใบอนุญาตผ่าน ExShadowLand 1 x5",65,"สำรวจอาณาเขตลับใน ShadowLand (0 นาที) จำนวน 5 ใบ",0,31,5,121,0,"item_id031_5.png ",9,0,0,0,,60,15.67,1.6,65
17,"ใบอนุญาตผ่าน ExShadowLand 2 x5",113,"สำรวจอาณาเขตลับใน ShadowLand (2 ชั่วโมง) จำนวน 5 ใบ",0,32,5,122,0,"item_id032_5.png",9,0,0,0,,105,27.42,2.8,113
18,"ใบอนุญาตผ่าน ExShadowLand 3 x5",162,"สำรวจอาณาเขตลับใน ShadowLand (3 วัน) จำนวน 5 ใบ",0,33,5,123,0,"item_id033_5.png",9,0,0,0,,150,39.17,4,162
19,"ตั๋วแรร์การ์ด x10+2",211,"บัตรเสี่ยงโชค จำนวน 12 ใบ",0,9,12,100,0,"item_id009_10.png",7,0,0,0,,195,50.92,5.2,211
20,"ตั๋วแรร์การ์ด x30+8+α",586,"บัตรเสี่ยงโชค จำนวน 30 ใบ+8+ดวงตราพญายม x1",0,9,38,101,1,"item_id009_30.png",7,78,0,0,,540,141.01,14.3,586
21,"ตั๋วแรร์การ์ด x50+16+α",977,"บัตรเสี่ยงโชค จำนวน 50 ใบ+16+ดวงตราพญายม x2",0,9,66,102,1,"item_id009_50.png",7,79,0,0,,900,235.02,23.8,977
22,"ใบอนุญาตผ่าน ExMoonLand1 x5",81,"สำรวจอาณาเขตลับใน MoonLand (0 นาที) จำนวน 5 ใบ",0,34,5,124,0,"item_id034_5.png ",9,0,0,0,,75,19.59,2,81
23,"ใบอนุญาตผ่าน ExMoonLand2 x5",130,"สำรวจอาณาเขตลับใน MoonLand (2 ชั่วโมง) จำนวน 5 ใบ",0,35,5,125,0,"item_id035_5.png",9,0,0,0,,120,31.34,3.2,130
24,"ใบอนุญาตผ่าน ExMoonLand3 x5",179,"สำรวจอาณาเขตลับใน MoonLand (3 วัน) จำนวน 5 ใบ",0,36,5,126,0,"item_id036_5.png",9,0,0,0,,165,43.09,4.4,179
25,"เศษเสี้ยวความทรงจำ x1",48,"เศษเสี้ยวแห่งความทรงจำที่รวมเรื่องราวที่เกิดขึ้นสมัยยังมีชีวิต จำนวน 1 ชิ้น",4,10006,1,0,0,"chara_id10006.png",9,0,0,0,,45,11.75,1.2,48
26,"เศษเสี้ยวความทรงจำ x12",488,"เศษเสี้ยวแห่งความทรงจำที่รวมเรื่องราวที่เกิดขึ้นสมัยยังมีชีวิต จำนวน 12 ชิ้น",4,10006,12,1,0,"chara_id10006_12.png",8,0,0,0,,450,117.51,11.9,488
27,"เศษเสี้ยวของเวลา x1",65,"เศษเสี้ยวของเวลาที่จำเป็นในการย้อนเวลา จำนวน 1 ชิ้น",4,10007,1,2,0,"chara_id10007.png",9,0,0,0,,60,15.67,1.6,65
28,"เศษเสี้ยวของเวลา x12",651,"เศษเสี้ยวของเวลาที่จำเป็นในการย้อนเวลา จำนวน 12 ชิ้น",4,10007,12,3,0,"chara_id10007_12.png",8,0,0,0,,600,156.68,15.8,651
29,"เศษเสี้ยวของดวงวิญญาณ x1",81,"เศษเสี้ยวของวิญญาณที่สูญเสียไป จำนวน 1 ชิ้น",4,10008,1,4,0,"chara_id10008.png",9,0,0,0,,75,19.59,2,81
30,"เศษเสี้ยวของดวงวิญญาณ x12",814,"เศษเสี้ยวของวิญญาณที่สูญเสียไป จำนวน 12 ชิ้น",4,10008,12,5,0,"chara_id10008_12.png",8,0,0,0,,750,195.85,19.8,814
31,"กำไลผู้บุกเบิก 1",65,"เพิ่มจำนวนเควสที่สามารถสำรวจได้ในเวลาเดียวกัน 1 เควส จำกัดระยะเวลา 30 วัน",0,9,1,999,0,"item_id013.png",10,0,0,0,,60,15.67,1.6,65
32,"กำไลผู้บุกเบิก 2",113,"เพิ่มจำนวนเควสที่สามารถสำรวจได้ในเวลาเดียวกัน 2 เควส จำกัดระยะเวลา 30 วัน",0,9,1,999,0,"item_id013.png",10,0,0,0,,105,27.42,2.8,113
33,"กำไลผู้บุกเบิก 3",146,"เพิ่มจำนวนเควสที่สามารถสำรวจได้ในเวลาเดียวกัน 3 เควส จำกัดระยะเวลา 30 วัน",0,9,1,999,0,"item_id013.png",10,0,0,0,,135,35.25,3.6,146
34,"มงกุฎเร้นลับ 1",65,"ลดเวลาที่ใช้สำรวจเควส 30% จำกัดระยะเวลา 30 วัน",1,57,1,100,0,"chara_id1003.png",9,0,0,0,,60,15.67,1.6,65
35,"มงกุฎเร้นลับ 2",113,"ลดเวลาที่ใช้สำรวจเควส 50% จำกัดระยะเวลา 30 วัน",1,58,1,101,0,"chara_id1004.png",9,0,0,0,,105,27.42,2.8,113
36,"มงกุฎเร้นลับ 3",146,"ลดเวลาที่ใช้สำรวจเควส 75% จำกัดระยะเวลา 30 วัน",1,59,1,102,0,"chara_id1005.png",9,0,0,0,,135,35.25,3.6,146
37,"แฟรี่รับใช้ 1",65,"เพิ่มจำนวนเควสที่สามารถสำรวจได้ในเวลาเดียวกัน 1 เควส จำกัดระยะเวลา 30 วัน",1,60,1,103,0,"chara_id1006.png",9,0,0,0,,60,15.67,1.6,65
38,"แฟรี่รับใช้ 2",113,"เพิ่มจำนวนเควสที่สามารถสำรวจได้ในเวลาเดียวกัน 2 เควส จำกัดระยะเวลา 30 วัน",1,61,1,104,0,"chara_id1007.png",9,0,0,0,,105,27.42,2.8,113
39,"แฟรี่รับใช้ 3",146,"เพิ่มจำนวนเควสที่สามารถสำรวจได้ในเวลาเดียวกัน 3 เควส จำกัดระยะเวลา 30 วัน",1,62,1,105,0,"chara_id1008.png",9,0,0,0,,135,35.25,3.6,146
40,"ต่างหูแม่มด 1",65,"ลดเวลาฟื้น AP 10 นาที จำกัดระยะเวลา 30 วัน",1,63,1,106,0,"chara_id1009.png",9,0,0,0,,60,15.67,1.6,65
41,"ต่างหูแม่มด 2",113,"ลดเวลาฟื้น AP 15 นาที จำกัดระยะเวลา 30 วัน",1,64,1,107,0,"chara_id1010.png",9,0,0,0,,105,27.42,2.8,113
42,"ต่างหูแม่มด 3",146,"ลดเวลาฟื้น AP 20 นาที จำกัดระยะเวลา 30 วัน",1,65,1,108,0,"chara_id1011.png",9,0,0,0,,135,35.25,3.6,146
43,"คทาโชคลาภ 1",65,"เพิ่ม GEM ที่ได้รับหลังการต่อสู้ 50% จำกัดระยะเวลา 30 วัน",1,66,1,109,0,"chara_id1012.png",9,0,0,0,,60,15.67,1.6,65
44,"คทาโชคลาภ 2",113,"เพิ่ม GEM ที่ได้รับหลังการต่อสู้ 100% จำกัดระยะเวลา 30 วัน",1,67,1,110,0,"chara_id1013.png",9,0,0,0,,105,27.42,2.8,113
45,"คทาโชคลาภ 3",146,"เพิ่ม GEM ที่ได้รับหลังการต่อสู้ 200% จำกัดระยะเวลา 30 วัน",1,68,1,111,0,"chara_id1014.png",9,0,0,0,,135,35.25,3.6,146
46,"ผ้าปิดตา (ขาว)",65,"ผ้าปิดตาที่ใช้รักษาอาการบาดเจ็บได้",1,79,1,200,0,"chara_id1015.png",9,0,0,0,,60,15.67,1.6,65
47,"Mash (น้ำตาล)",65,"ทรงผมที่ให้ความรู้สึกสงบ",1,72,1,201,0,"chara_id1021.png",9,0,0,0,,60,15.67,1.6,65
48,"Mash (ขาว)",65,"ทรงผมที่ให้ความรู้สึกสงบ",1,73,1,202,0,"chara_id1023.png",9,0,0,0,,60,15.67,1.6,65
49,"Twintail Drill (บลอนด์)",65,"ทรงผมที่ให้ความรู้สึกสง่างาม",1,75,1,203,0,"chara_id1030.png",9,0,0,0,,60,15.67,1.6,65
50,"Twintail Drill (น้ำตาล)",65,"ทรงผมที่ให้ความรู้สึกสง่างาม",1,76,1,204,0,"chara_id1031.png",9,0,0,0,,60,15.67,1.6,65
51,"ตั๋วแรร์การ์ด x1",0,"บัตรเสี่ยงโชค จำนวน 1 ใบ",0,9,1,999,0,"item_id003.png",10,0,0,0,,0,0,0,0
52,"เฮลธ์ 3x1",0,"สำหรับผู้ดูแล",0,6,1,999,0,"item_id003.png",10,0,0,0,,0,0,0,0
53,"เฮลธ์ 1x1",0,"สำหรับผู้ดูแล",0,5,1,999,0,"item_id003.png",10,0,0,0,,0,0,0,0
54,"One Length Long (บลอนด์)",65,"ทรงผมที่ให้ความรู้สึกสงบ",1,89,1,205,0,"chara_id1040.png",9,0,0,0,,60,15.67,1.6,65
55,"One Length Long (ขาว)",65,"ทรงผมที่ให้ความรู้สึกสงบ",1,90,1,206,0,"chara_id1043.png",9,0,0,0,,60,15.67,1.6,65
56,"One Length Long (ดำ)",65,"ทรงผมที่ให้ความรู้สึกสงบ",1,91,1,207,0,"chara_id1047.png",9,0,0,0,,60,15.67,1.6,65
57,"แว่นตา (ฟ้า)",48,"แว่นสายตาธรรมดา",1,92,1,208,0,"chara_id1017.png",9,0,0,0,,45,11.75,1.2,48
58,"แว่นตา (แดง)",48,"แว่นสายตาธรรมดา",1,93,1,209,0,"chara_id1018.png",9,0,0,0,,45,11.75,1.2,48
59,"ตู้แห่งความลับ",113,"ขีดจำกัดระยะเวลาชุดอวาตาร์ที่มีอยู่ +5",0,37,1,130,0,"item_id037.png",9,0,0,0,,105,27.42,2.8,113
60,"Casual short (บลอนด์)",65,"ทรงผมที่ให้ความรู้สึกอ่อนโยน",1,103,1,210,0,"chara_id1050.png",9,0,0,0,,60,15.67,1.6,65
61,"Casual short (ฟ้า)",65,"ทรงผมที่ให้ความรู้สึกอ่อนโยน",1,104,1,211,0,"chara_id1052.png",9,0,0,0,,60,15.67,1.6,65
